SNP,Chr,Pos,Effect,SE,FMP45_MEP1_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0216423640872305,0.112930763754076,0.848132226408377
9,1,27272,-0.045490319209637,0.111214233854091,0.68276331397939
16,1,27843,-0.0215920444954203,0.108602514001516,0.842520224237447
17,1,27848,-0.0215920444954203,0.108602514001516,0.842520224237447
18,1,28495,-0.0181577140515257,0.108606053088323,0.867317240799782
19,1,28975,-0.0217544490517914,0.107878141283984,0.840300553502117
26,1,31435,-0.0441683144922178,0.107572834027544,0.681622411391825
29,1,36146,-0.0348942492955977,0.10702758181386,0.744594516910576
31,1,37409,-0.00245280625158606,0.107622385728426,0.981829979597473
32,1,37478,-0.0362880400467979,0.107697664154923,0.736359643926683
33,1,39144,0.0214741814906892,0.107217358730844,0.84137191559285
34,1,41499,0.0333862096927516,0.106911270124941,0.755012416987732
37,1,51248,0.0362100558138406,0.10736386681791,0.736117717701566
38,1,51462,0.0333791713281121,0.107512095389389,0.756387567948478
39,1,52124,0.0742374405846269,0.107308442341179,0.489509155598288
40,1,52667,0.0257494480037967,0.107200310364392,0.81031512241072
42,1,59265,-0.0682759604811978,0.107093348809019,0.524188481294742
43,1,60165,0.0246688490883644,0.107065961992716,0.817908250756735
44,1,62308,-0.0483047188987819,0.106925349313805,0.651718501411908
45,1,62869,-0.0433338848760654,0.106917946916108,0.685502245676184
49,1,66841,-0.0203996195565662,0.106987713003411,0.848891759523819
50,1,66948,-0.0739543070436533,0.107577865382299,0.492251178178851
51,1,68621,0.00274438754351769,0.107358127063025,0.9796204040242
52,1,69417,0.0321293396477872,0.107060355940403,0.764273773414411
56,1,74327,0.0893732158042371,0.107557560124171,0.406572674211215
57,1,74572,0.152454749986311,0.107069027759591,0.155361005553383
58,1,75211,0.0659646869604144,0.10712280790533,0.538432836174844
59,1,76030,0.0638304157628139,0.107126470710647,0.551662840099931
60,1,80108,0.204100849141859,0.106602917886884,0.0563529360325223
61,1,81262,0.069611062426872,0.107050379965901,0.515944352224026
62,1,81999,0.0518490866132844,0.107340596620066,0.62937150279301
63,1,82431,0.125697649397147,0.10767671574915,0.243852341723152
64,1,83284,0.094118865644065,0.106982077575956,0.379586263669293
65,1,83613,0.132103718713604,0.10685641906409,0.217179014930265
66,1,84112,0.114942300241369,0.106924423893948,0.283115032159914
68,1,84858,0.151739596219578,0.107097477230509,0.15741269405263
69,1,85751,0.11888284197366,0.10765722540484,0.270227382099428
70,1,87445,0.101936349001364,0.107934709614841,0.345597942138332
71,1,87467,0.108774525773015,0.108482365145284,0.316695755183337
72,1,89070,0.121577741164253,0.107762710187509,0.260002239462933
73,1,89616,0.123025126946654,0.107176226248744,0.251796650242422
74,1,89679,0.105334587451088,0.107243218503961,0.326672650699493
75,1,89880,0.113879456198067,0.107245729184649,0.289027254282275
76,1,91472,0.140936934255287,0.10795389896494,0.192563040688919
77,1,93789,0.0305263127160745,0.107086972181194,0.775764628110207
78,1,94351,-0.018248943541807,0.107376770508526,0.865144901756394
79,1,99148,-0.00366422915639539,0.107099119479814,0.972726287855066
82,1,106800,-0.116776784397275,0.107063500749336,0.27613806924211
83,1,107970,-0.0481845354996629,0.106895276337843,0.652436443621369
84,1,109000,0.0160440240932622,0.107111072430242,0.881016900272993
85,1,112549,0.032495628487523,0.106979241951457,0.761492453488393
86,1,112742,0.00273897185180771,0.107409969007442,0.979670426517514
87,1,113050,0.0133349442287303,0.107227024534234,0.901099614466683
88,1,113135,0.0349684580795507,0.106940059696198,0.743868352296699
