SNP,Chr,Pos,Effect,SE,MID2_WSC2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0294307178046356,0.0937059930796111,0.753649539285632
9,1,27272,-0.0279383116290937,0.0922996593353552,0.762303350276176
16,1,27843,0.0112975493617876,0.0901255047045834,0.900315040902678
17,1,27848,0.0112975493617876,0.0901255047045834,0.900315040902678
18,1,28495,-0.0145500867926967,0.0901256428112067,0.871837449518454
19,1,28975,-0.0264740296515199,0.089515419904084,0.767596233297131
26,1,31435,-0.0138253420125435,0.0892862789452118,0.87703370404044
29,1,36146,0.0317103226180648,0.0888128623709772,0.72127033393613
31,1,37409,0.0675567011438174,0.089236770891466,0.449524884032977
32,1,37478,0.074749587986345,0.0892973721815575,0.403110522811474
33,1,39144,-0.0329178696807595,0.0889608148883761,0.711584559236296
34,1,41499,0.102016655381283,0.0885649699443387,0.250147884343854
37,1,51248,0.0858371492356731,0.0889917467490946,0.335429656873857
38,1,51462,0.087172078092141,0.0891090670438353,0.32861434824543
39,1,52124,0.0673999634696841,0.0890367034543261,0.449560342875622
40,1,52667,0.105167990263383,0.0887898671371536,0.237028149375275
42,1,59265,-0.0510459636042304,0.088879735741441,0.566112855554403
43,1,60165,-0.0601587123960259,0.0887963460068818,0.498538347430764
44,1,62308,-0.0619660320600797,0.0886950376076321,0.485236127986862
45,1,62869,-0.0679923003440141,0.0886713730866056,0.4437190331371
49,1,66841,-0.0550975429893197,0.0887385711222001,0.535067859192738
50,1,66948,-0.0375198093003352,0.0893095867143389,0.674661030323579
51,1,68621,-0.133238819896726,0.0888072132273282,0.134426602787199
52,1,69417,-0.0959359579491758,0.0887072182046874,0.280217524502868
56,1,74327,-0.13287094389679,0.0890622336901021,0.136621430227141
57,1,74572,-0.108701412000061,0.0889166828359495,0.222330952102722
58,1,75211,-0.150513105965239,0.088580772238083,0.0901696327206314
59,1,76030,-0.0486900730761864,0.0889045188418244,0.584266670374771
60,1,80108,-0.0413322483200072,0.088894034968429,0.642246151886136
61,1,81262,0.000223023796194668,0.0888876342976885,0.997999484654961
62,1,81999,-0.00033562805554499,0.0891047094528415,0.996996766798843
63,1,82431,0.0298171253444566,0.0895124421165648,0.739252075709875
64,1,83284,-0.0209127095727033,0.088868068399989,0.814094421050675
65,1,83613,-0.015723001356816,0.088861304824233,0.859658036434052
66,1,84112,-0.00640872413935642,0.0888743841500471,0.942555275460234
68,1,84858,-0.0298294473851784,0.089111729218607,0.738018451473775
69,1,85751,0.0252478646857054,0.0894821121675849,0.77798967698288
70,1,87445,0.00641097296677673,0.0896807331264746,0.943050952396409
71,1,87467,0.00320023920315149,0.0901507074961533,0.971702092322447
72,1,89070,0.00246559476147745,0.0895865462115021,0.978059000185866
73,1,89616,-0.0173189509952264,0.0890999430988737,0.845992762662067
74,1,89679,-0.00897265030971396,0.08911471515495,0.919856475697494
75,1,89880,-0.0127281008258656,0.0891360004083884,0.886534214869063
76,1,91472,-0.00340790926430376,0.0898000477772446,0.969749022469105
77,1,93789,0.00191435747630526,0.0888749803197365,0.982827151762742
78,1,94351,-0.024727411145546,0.0890992223206422,0.781538184013107
79,1,99148,-0.0510070163391205,0.0888335646539332,0.566207424475644
82,1,106800,0.0915649065683127,0.0888613800101004,0.30351645422352
83,1,107970,0.0675281856042039,0.0886584378940252,0.446767474044695
84,1,109000,0.118801538170314,0.0886624453754896,0.181129740227492
85,1,112549,0.165178346789224,0.0883506783801681,0.0623703325836125
86,1,112742,0.179893145143935,0.0886171716818203,0.0431057126357498
87,1,113050,0.126924764566731,0.0887261732259882,0.153451758321476
88,1,113135,0.11432624693609,0.0885475036343528,0.19750382701992
89,1,114076,0.178428999104842,0.0882468001999663,0.0439373531388739
90,1,114628,0.128317483981412,0.0887183853624552,0.148967482365001
91,1,116283,0.151491158843407,0.0891117372974173,0.0900092250135356
93,1,127853,0.0768957240417961,0.0892153553117056,0.389321444740027
94,1,128302,0.0451115423147056,0.0889337270134403,0.612296871012497
95,1,128704,-0.00840724407071602,0.089053567975429,0.924839741343747
96,1,128911,0.0334029481860255,0.0890468023184266,0.707798909770569
97,1,130267,0.0816822842171863,0.0889161091932783,0.358908873408161
98,1,130271,0.0807706374541801,0.0890242494890284,0.364873424054607
99,1,130613,0.0926436850976538,0.0898256462489294,0.303072368704247
100,1,132012,-0.00369391824088089,0.0897697184472979,0.967200516054095
101,1,133231,0.0516780960415636,0.0890904785392043,0.562242148712785
102,1,137074,0.046461839302689,0.0889718028463231,0.6018526493907
103,1,137304,0.0156360536665816,0.0890332104390254,0.86069282209917
104,1,139686,0.00887540970747749,0.0891528568972819,0.920755939640623
105,1,149562,0.017651846517209,0.0893525599084897,0.843508689134948
106,1,150447,0.0386618193541396,0.0903252389729399,0.668891048017831
108,1,154084,0.00186688939243629,0.0906277514674835,0.983576751280743
110,1,157269,0.0165591730446036,0.0889786161152234,0.852471013018234
111,1,160054,0.0227787269466119,0.0898202095641179,0.799949468200386
112,1,166222,0.00169851347038918,0.0891639518705573,0.984812515946771
113,1,166416,0.00798589510026926,0.0889819658679013,0.928538891356317
114,1,167326,0.0491004584768877,0.0894504633070598,0.583412669344445
115,1,168836,0.0716054190605118,0.0889829689121401,0.42152911281219
116,1,171200,0.0379818701911687,0.0891750175918578,0.670422068466305
117,1,171431,0.0527780119898665,0.0897108272784511,0.556698684634599
118,1,173339,0.0323465397921923,0.0890401612417616,0.716612927580601
119,1,173845,0.0147540298712868,0.0889795159164972,0.868398425791912
120,1,175121,0.0411384612952951,0.088779555542428,0.643379265735844
121,1,175281,0.0330187614422314,0.0888646602246013,0.710441650704992
122,1,175315,0.0213545213200222,0.088846786999793,0.810196746547244
123,1,175523,0.0244633390343044,0.0893480123296856,0.784399721790932
124,1,175541,0.027261193519949,0.0889809841894133,0.759502803435938
125,1,175653,0.0664571798880242,0.0892043150545039,0.456767670453428
128,1,175856,0.0375858483300858,0.0907261752448943,0.67892222247186
