SNP,Chr,Pos,Effect,SE,ERV25_ORM2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0190948566010274,0.14479688375785,0.895159563530923
9,1,27272,0.0345765898902193,0.142614002695148,0.808573247614231
16,1,27843,0.103454886943972,0.139142387065162,0.457662624004298
17,1,27848,0.103454886943972,0.139142387065162,0.457662624004298
18,1,28495,0.0792198445303894,0.139189702481178,0.569616179197722
19,1,28975,0.0915813697209922,0.138236810133563,0.508085534724727
26,1,31435,0.0492504049765822,0.137931332467762,0.72125675560921
29,1,36146,-0.0495575347028471,0.137219529635078,0.718199543143739
31,1,37409,-0.00678065836236752,0.137986470255479,0.960835499265617
32,1,37478,-0.033196829071045,0.138094258278951,0.810165508748057
33,1,39144,-0.117227036950125,0.137333689623789,0.393909544720592
34,1,41499,-0.126600225332486,0.136928329829591,0.35581969701658
37,1,51248,-0.237094940151311,0.137098009068184,0.0846148032171221
38,1,51462,-0.202691034158296,0.13744150649416,0.14117267952507
39,1,52124,-0.181717556925511,0.137337416256157,0.18664297824904
40,1,52667,-0.192971221514968,0.137072656822047,0.160069574482359
42,1,59265,0.0115832390924225,0.13738618618119,0.932856541737224
43,1,60165,0.00384564357453588,0.137283597539909,0.977668087857289
44,1,62308,-0.14928893097022,0.136902372297311,0.276246737766513
45,1,62869,-0.127051330060295,0.136948692551462,0.354181835452411
49,1,66841,-0.0251247132995275,0.137173647761046,0.854777700963628
50,1,66948,-0.0617192841569416,0.137982959148135,0.654935383690382
51,1,68621,-0.200652672491162,0.137233226540448,0.144595549406719
52,1,69417,-0.121370447850326,0.137131680429854,0.376724053640368
56,1,74327,-0.0262131512110673,0.138031475012294,0.849491117315982
57,1,74572,-0.0163687530754021,0.137668266668983,0.905422236730499
58,1,75211,0.0291700504875848,0.137411290656701,0.832008953660561
59,1,76030,0.0248532739764562,0.137413694521022,0.856577644585581
60,1,80108,-0.0109298198882212,0.137386337844767,0.936635978487266
61,1,81262,-0.0236597607362748,0.137329856829079,0.863312857251592
62,1,81999,-0.0490233272720773,0.137646294886467,0.721937735138555
63,1,82431,-0.112078257077463,0.138194031031182,0.417900098089499
64,1,83284,0.0328006077369957,0.137305070121602,0.811330639915701
65,1,83613,0.0808866419469668,0.137233524864758,0.555964128595843
66,1,84112,0.0504025084302594,0.137289961257759,0.713746136912704
68,1,84858,0.129616206709879,0.137530798488595,0.34660569773935
69,1,85751,0.089009588684027,0.138188531244551,0.519917829419911
70,1,87445,0.0749706042779333,0.138504539948637,0.588651724630749
71,1,87467,0.0171019318878736,0.13928441175944,0.902347821603127
72,1,89070,0.0180493281539389,0.138412296059006,0.896322160781995
73,1,89616,0.0903231345379525,0.13758706127688,0.511943133240846
74,1,89679,0.0582486038219208,0.137653549059734,0.672440828561767
75,1,89880,0.0619347200528642,0.137683887586195,0.653107149434148
76,1,91472,0.0389337573049381,0.138730158671467,0.779148033508445
77,1,93789,0.0263121259044418,0.137309026761198,0.848144517183473
78,1,94351,0.0102503007790362,0.137676479235176,0.94069283883742
79,1,99148,-0.0241268458359807,0.137310163780247,0.860622088765758
82,1,106800,0.0782779711742913,0.137438257454138,0.569345141803731
83,1,107970,0.132535224435528,0.136912419663768,0.333692530542785
84,1,109000,0.0201120430200917,0.13733145848993,0.883650612908962
85,1,112549,-0.118204860998874,0.137035820310451,0.388952039048583
86,1,112742,-0.035614419416154,0.137701573496929,0.796067766114934
87,1,113050,-0.0681478806056252,0.137435089452805,0.620305264474976
88,1,113135,-0.0619457712775921,0.137093127341351,0.651653281800491
89,1,114076,-0.0955628384945787,0.13703840931618,0.486046890282095
90,1,114628,-0.0346495394664779,0.137467319660708,0.801144036141693
91,1,116283,-0.0155971418875666,0.138241845127773,0.910233398431371
93,1,127853,0.0577094068560399,0.137952751800527,0.675962185819228
94,1,128302,0.0679691246419096,0.137409300159206,0.621156889521404
95,1,128704,0.0592127669160974,0.137557643442494,0.667125315800653
96,1,128911,0.148879081738236,0.137380632858642,0.279238463828724
97,1,130267,0.134463082347991,0.137357423036158,0.32828576769811
98,1,130271,0.118231025845767,0.137563131052913,0.390665981950733
99,1,130613,0.176205092996365,0.138677090892296,0.204702656007154
100,1,132012,0.0761933525575027,0.138639524518971,0.582955772185133
101,1,133231,0.0325471730955906,0.137703724006534,0.813293116731699
102,1,137074,0.0241908166999655,0.137512733641405,0.860460083820599
103,1,137304,-0.033854495481937,0.137554759191369,0.805735097800066
104,1,139686,0.0733074338281239,0.137692073595819,0.594783058234679
105,1,149562,0.0603854851199161,0.138024177598727,0.662016808327057
106,1,150447,0.12383140842859,0.139437326530386,0.37510278850462
108,1,154084,0.0854730769789144,0.139950356652424,0.541765712328915
110,1,157269,0.0705646606720569,0.137431634388652,0.607955811559122
111,1,160054,0.0802992027566978,0.138723322835169,0.563063397706684
112,1,166222,0.0960789968877263,0.137667679111297,0.485695892847565
113,1,166416,0.0953617730270619,0.137389222043763,0.488076412300254
114,1,167326,0.0492113988822283,0.138239385360165,0.722063088976767
115,1,168836,0.0692318373827708,0.137559625476848,0.615077080920174
116,1,171200,-0.0723226698621839,0.13776127996814,0.599922848571239
117,1,171431,-0.140121261440552,0.138474749734539,0.312283564547674
118,1,173339,-0.116371491110353,0.137457528272145,0.3977918853241
119,1,173845,-0.107176445566211,0.137364549704743,0.435776202046134
120,1,175121,-0.131850799096859,0.137030773553444,0.336608561313244
121,1,175281,-0.116082088986885,0.137187923552362,0.398040147671347
122,1,175315,-0.12724521722426,0.137116593507534,0.354037806731168
123,1,175523,-0.127536468022556,0.137894616717495,0.355658281094672
124,1,175541,-0.122007285876377,0.137344705251257,0.374968697300647
125,1,175653,-0.139098721294039,0.137734393200516,0.31323229881126
128,1,175856,-0.12737578289102,0.140046335001863,0.363693117269636
129,1,175876,-0.113539377475612,0.137929273232296,0.410966509798763
130,1,175989,-0.118109642382993,0.138312720955027,0.393721836449779
