SNP,Chr,Pos,Effect,SE,RET2_SNA3_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.044435185825614,0.0804150993279575,0.580905777909102
9,1,27272,-0.0122828006431133,0.0792389990918979,0.876902391269164
16,1,27843,0.0711820532251776,0.0772739889312784,0.357593669150574
17,1,27848,0.0711820532251776,0.0772739889312784,0.357593669150574
18,1,28495,0.103013905048774,0.0771735385017378,0.18279076583194
19,1,28975,0.0663230029440635,0.0767697850602703,0.388218113635758
26,1,31435,0.0704464345370833,0.0765555211400803,0.358096355393388
29,1,36146,0.0416034159206901,0.07621990204091,0.585524797962874
31,1,37409,0.0720972593593432,0.0765682470883202,0.347037399199072
32,1,37478,0.0625383437484333,0.0766580168556079,0.415159189865279
33,1,39144,0.0212359551226075,0.0763717451855342,0.781128815542303
34,1,41499,0.00462782906960708,0.0761678488542074,0.95158608398079
37,1,51248,-0.0974258027372368,0.0763164902583764,0.202581888446846
38,1,51462,-0.104612631864281,0.0763935360559144,0.171747597350752
39,1,52124,-0.0952157218075372,0.0763243918123545,0.213036177468496
40,1,52667,-0.114776856586,0.0761251400779734,0.132515705809628
42,1,59265,0.00556565964379974,0.0763307633924382,0.941915033018145
43,1,60165,0.0109909130211321,0.0762714137513217,0.885501641680882
44,1,62308,0.0183526582511875,0.0761835106789202,0.80977196366399
45,1,62869,0.0154631589599432,0.0761757575973526,0.839257320487125
49,1,66841,-0.00775232757024633,0.0762149896312932,0.919039398641337
50,1,66948,-0.0219468964465585,0.0766749564308775,0.774867640771065
51,1,68621,-0.065268594527612,0.0763971745651717,0.393500152414954
52,1,69417,-0.0261134822947294,0.0762609926375103,0.732236725959754
56,1,74327,0.0204683628031241,0.0766852659665952,0.789691319120621
57,1,74572,0.00670999875409289,0.0764879889628598,0.930144058333773
58,1,75211,-0.000316988770263427,0.0763493885499215,0.996689683258745
59,1,76030,-0.0128171727290428,0.0763463426392949,0.866772291626344
60,1,80108,-0.0647075016615084,0.0762536020852891,0.396688494182415
61,1,81262,-0.0535916173433332,0.0762491475449457,0.482613265338774
62,1,81999,-0.108462876644225,0.0762706606067389,0.155886386431115
63,1,82431,-0.117155856221124,0.0765975097421089,0.127036236835354
64,1,83284,-0.0779390170815067,0.0761788059638104,0.306958199162795
65,1,83613,-0.0685812715590209,0.0761958787359127,0.368699066946997
66,1,84112,-0.0757164541773828,0.0761851555438982,0.320977698061709
68,1,84858,0.00595003200813748,0.0765063314824055,0.938053674465726
69,1,85751,-0.0263868421824212,0.0768086118297849,0.731396659524431
70,1,87445,-0.00224059094309181,0.0769837534347884,0.97679751513828
