SNP,Chr,Pos,Effect,SE,ERV25_ERG5_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0692926178733293,0.101222149301263,0.494070916519245
9,1,27272,-0.0307883245727538,0.0997547208747202,0.75777724360289
16,1,27843,-0.019939148725731,0.0974018475721877,0.837916556232039
17,1,27848,-0.019939148725731,0.0974018475721877,0.837916556232039
18,1,28495,-0.00503661537105154,0.0974088372448153,0.958792251391329
19,1,28975,0.0020012105682839,0.0967580227102288,0.983510509345869
26,1,31435,-0.0102550887476654,0.0965001795951338,0.915428377866924
29,1,36146,-0.0568594886588064,0.0959564086142175,0.553858111125085
31,1,37409,-0.0329773161854179,0.0965072405345317,0.732773823171148
32,1,37478,-0.051568698922992,0.0965671769143627,0.593664574728425
33,1,39144,-0.204304676910457,0.0955485598601677,0.0331843245223235
34,1,41499,-0.202560725678097,0.0952906395071,0.0342207962554055
37,1,51248,-0.192358861391343,0.0957610330254486,0.0453259823367463
38,1,51462,-0.177534365452015,0.0959733316164717,0.0651736322225311
39,1,52124,-0.22699952714947,0.0955459202993257,0.0180433704040542
40,1,52667,-0.19197739166412,0.0956079794734716,0.0454086163722732
42,1,59265,-0.07590109118465,0.0960189875473837,0.429778210349476
43,1,60165,-0.062478938610308,0.0959737164078761,0.515469688577893
44,1,62308,-0.13185233944181,0.0956686468646217,0.169008621634777
45,1,62869,-0.152499621201544,0.0955695910174339,0.111452440817213
49,1,66841,-0.0670755380915586,0.0958924187522433,0.484708150558575
50,1,66948,-0.090191822972768,0.0964283491655207,0.350260351743668
51,1,68621,-0.162287243407925,0.0958979946392527,0.0914730414361319
52,1,69417,-0.125930457079873,0.0957971177804409,0.189513375703776
56,1,74327,-0.157224445310425,0.0961959889374395,0.103062574055055
57,1,74572,-0.143787152070158,0.0959976425780866,0.135073768314506
58,1,75211,-0.100132987155174,0.0959788054504809,0.297531514207119
59,1,76030,-0.177055304801858,0.0956636238398681,0.0650319405843428
60,1,80108,-0.140590704532425,0.0958121725010438,0.14316921603346
61,1,81262,-0.131331066233659,0.0958129599610708,0.171338621322338
62,1,81999,-0.222945395014567,0.0955683508908763,0.0202180225581965
63,1,82431,-0.198958226394229,0.096176864479723,0.0393046700583407
64,1,83284,-0.157198973370563,0.0956888930164198,0.101312014446111
65,1,83613,-0.121908636855863,0.0958239745738053,0.204134372359065
66,1,84112,-0.07984300931522,0.0959599360144326,0.405945912538445
68,1,84858,-0.020861362712905,0.0963186818863621,0.828655424484603
69,1,85751,-0.0448192680223746,0.09669158089918,0.643271525055304
70,1,87445,-0.0305705622138289,0.0969118059670184,0.752608504238562
71,1,87467,-0.0447409799646125,0.0974037685822116,0.646276203021703
