SNP,Chr,Pos,Effect,SE,ERV25_RBD2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.129770244670559,0.151186830343465,0.391285207402157
9,1,27272,-0.078726479642615,0.149012767722933,0.59760897732665
16,1,27843,0.0530612800007673,0.145517177688933,0.715599027358432
17,1,27848,0.0530612800007673,0.145517177688933,0.715599027358432
18,1,28495,0.0258770510712909,0.145540420407897,0.858982223573816
19,1,28975,0.0597144160982056,0.144539099768429,0.679757254945776
26,1,31435,0.0207282130145859,0.144186773177017,0.885772446161746
29,1,36146,-0.0337970802169877,0.143436205232045,0.813860720818207
31,1,37409,0.0231124829378969,0.144217838335456,0.87276721186322
32,1,37478,0.0155991562601388,0.144344676906545,0.914002514205205
33,1,39144,0.0165336396462498,0.143685677545567,0.908456559608284
34,1,41499,-0.0411743793544377,0.143273053204776,0.773986960426063
37,1,51248,-0.242593865089539,0.143319261277418,0.0913984274047
38,1,51462,-0.236881811427818,0.143542207776093,0.0997794174927386
39,1,52124,-0.159865021278616,0.143647939938004,0.266510959201003
40,1,52667,-0.213396016608443,0.143219441437423,0.137118918072865
42,1,59265,-0.118544492408746,0.143457940988293,0.409171557583827
43,1,60165,-0.133337460395647,0.143312502654868,0.352801620739573
44,1,62308,-0.137302974884576,0.143143884069356,0.33811675554634
45,1,62869,-0.194807430104384,0.142936734147872,0.173785082540785
49,1,66841,-0.156079968113945,0.143138986110856,0.276276989890815
50,1,66948,-0.174876496607279,0.143959202411146,0.225267945295473
51,1,68621,-0.197581183515623,0.143484125088377,0.1693772157036
52,1,69417,-0.114755392795308,0.143358059169134,0.423970604795333
56,1,74327,-0.140159954587674,0.144084008875864,0.331335949992827
57,1,74572,-0.148992827477736,0.143674204430118,0.300437009064575
58,1,75211,-0.0661929120462772,0.143587369197293,0.645086822033431
59,1,76030,-0.0925184184391473,0.143546147480908,0.519656641642693
60,1,80108,-0.0735458759526107,0.143543260101252,0.608719250792713
61,1,81262,0.0479604007369614,0.143519638242339,0.738447393266021
62,1,81999,-0.00660310231516867,0.143892459147759,0.963424552711344
63,1,82431,-0.0935145167272801,0.144488337035567,0.517915701529456
64,1,83284,0.0571668469492121,0.143489739878873,0.690573473361196
65,1,83613,0.0888230654361883,0.143428288705475,0.536127739697976
66,1,84112,0.0660462383781733,0.143478939702803,0.645569905300626
68,1,84858,0.210587126715561,0.143489963717139,0.143100933028979
69,1,85751,0.0538026167214819,0.144490263097068,0.709847136175122
70,1,87445,0.0581038090556235,0.144791116700705,0.688446478527699
71,1,87467,0.026926864573335,0.145575245885845,0.853359807418658
72,1,89070,0.0257696933256352,0.144664644434448,0.858719913583073
73,1,89616,0.141122868205798,0.143696711874643,0.326728932238908
74,1,89679,0.0873412756852961,0.143836007514497,0.544089885545135
75,1,89880,0.114474697056289,0.14381856918574,0.426586709332138
76,1,91472,0.0967445093596932,0.144924618249998,0.504856696067254
77,1,93789,0.134597436367415,0.14334309168391,0.348378970024021
78,1,94351,0.144153871101324,0.143695030434566,0.31645484095888
79,1,99148,0.130553118136567,0.143353687644667,0.363071545837089
82,1,106800,0.125897973835299,0.143559288492186,0.38109639199829
83,1,107970,0.244846042719213,0.142695975963403,0.0870654227679918
84,1,109000,0.231224410061675,0.143013791489354,0.106815149052272
85,1,112549,0.0378389840870347,0.14336570194513,0.791985321324705
86,1,112742,0.0834248235918036,0.143869951623524,0.562377097199683
87,1,113050,0.0755529384061227,0.14364003153949,0.599226800484394
88,1,113135,0.0660049566530784,0.143287246995631,0.645334955297342
89,1,114076,0.0812067999175025,0.143265123179778,0.57119072641546
90,1,114628,0.0407417381879961,0.143676544570711,0.776909470354652
91,1,116283,0.210295612805936,0.144057938096071,0.145234709208567
93,1,127853,0.206909204769121,0.143802014464424,0.151079723143704
94,1,128302,0.202428935396831,0.143264536247519,0.158544740621585
95,1,128704,0.209187553807215,0.1433804718092,0.145463078276813
96,1,128911,0.248908524794271,0.143216588235826,0.0830851950109641
97,1,130267,0.141708072561951,0.143561862403703,0.324275993378919
98,1,130271,0.130303826296967,0.143763288196359,0.365354276935302
99,1,130613,0.175426563182243,0.144975139959986,0.22707097183997
100,1,132012,-0.104393274326385,0.144860619112191,0.471604084523751
101,1,133231,-0.151694632997596,0.143711833672144,0.291896985922063
102,1,137074,-0.177604265695048,0.143422563459019,0.216417118200097
103,1,137304,-0.219813296331176,0.143306928730452,0.125958922282357
104,1,139686,-0.191798023919871,0.143610290053278,0.18255848350114
105,1,149562,-0.235701550981687,0.143754755759037,0.101977369651835
106,1,150447,-0.183208836201502,0.145575511905636,0.209037598505106
108,1,154084,-0.217491680229722,0.145893971273354,0.136919715457721
110,1,157269,-0.214342579829368,0.143242730779502,0.135453592213786
111,1,160054,-0.237442631488998,0.144509988494447,0.101255106505468
112,1,166222,-0.226242082011432,0.143484228329265,0.115743437487245
