SNP,Chr,Pos,Effect,SE,HNM1_RBD2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.109358013903136,0.0793766693653682,0.169165691868553
9,1,27272,0.0901281686389476,0.0782476243841893,0.250169347231269
16,1,27843,0.0106016851456573,0.0765376072362188,0.889911588786447
17,1,27848,0.0106016851456573,0.0765376072362188,0.889911588786447
18,1,28495,0.0463482406922568,0.0765011633971932,0.545003619730087
19,1,28975,-0.0007084891277419,0.0760292849260797,0.992570176980135
26,1,31435,0.024910782580455,0.075816264136465,0.742677219206551
29,1,36146,-0.0619064285929947,0.0753648631672881,0.411959810005461
31,1,37409,0.00791106205446877,0.0758435638417951,0.916984464999224
32,1,37478,-0.0275444712043475,0.0758957736836814,0.716878148305795
33,1,39144,-0.0267689491638871,0.075550102125113,0.72331027332107
34,1,41499,0.0497795600987393,0.0753073454680156,0.509031526261969
37,1,51248,0.0319464386913316,0.0756555754636475,0.673091205555177
38,1,51462,0.0333317078047179,0.0757565260978537,0.660217496982048
39,1,52124,0.00887600931517737,0.0756732057141236,0.906693825089892
40,1,52667,0.00804775358207867,0.0755521872681682,0.915230982901186
42,1,59265,0.0731599080375808,0.0754148259204669,0.332660963865877
43,1,60165,0.0670803679749318,0.075373709174094,0.374087913207508
44,1,62308,0.0205393517377411,0.0753673064715868,0.785378973106065
45,1,62869,0.0346504071543067,0.0753431990766368,0.645870462674169
49,1,66841,0.0546020162823105,0.075345260031814,0.469121806933628
50,1,66948,0.0385473752272665,0.0758362856136447,0.611562393360282
51,1,68621,-0.0138304545084755,0.0756549348470547,0.855052298323463
52,1,69417,-0.000189249496635346,0.0754582213764314,0.998000321394547
56,1,74327,-0.0393437125121332,0.0758441828389591,0.604264326216488
57,1,74572,-0.0404640398077547,0.0756404330455368,0.593019501153497
58,1,75211,-0.0368099199097715,0.0755077324457362,0.626207588155997
59,1,76030,0.0220873567045152,0.0755239967593877,0.770110718701217
60,1,80108,-0.107124848036952,0.0752997299938245,0.155721919353846
61,1,81262,-0.16821218942335,0.0749539248913779,0.0254381697102766
62,1,81999,-0.172279879989788,0.0751134683826604,0.0224007857587485
63,1,82431,-0.141623094222175,0.0756547064353689,0.0620378900495448
64,1,83284,-0.186276482073898,0.0748220254201288,0.013248583099197
65,1,83613,-0.171931304647952,0.0749108597062787,0.0223108041771407
66,1,84112,-0.180928274377252,0.0748591938780937,0.0161590787149299
68,1,84858,-0.138728332790276,0.0753280388295605,0.0663642493465512
69,1,85751,-0.143031181950559,0.0756179194891066,0.0593762189852982
70,1,87445,-0.139493368339752,0.0757980691244663,0.0665592494926383
71,1,87467,-0.150312276001909,0.0761403677744774,0.0491442613503502
72,1,89070,-0.16911777580504,0.0755460074423934,0.0258042971046797
73,1,89616,-0.156329868224751,0.0752122403002352,0.0383837513240191
74,1,89679,-0.170560636150362,0.0751342346087602,0.0238051548093871
75,1,89880,-0.178945187604387,0.0750982988322039,0.0177095342948581
76,1,91472,-0.173357385733129,0.0757015125145803,0.0226099676226471
77,1,93789,-0.187409041608297,0.0748140131346716,0.0126951068249505
78,1,94351,-0.159131791741227,0.0751992081632105,0.0350327834747907
79,1,99148,-0.121321061005108,0.0751993112796438,0.107567096111074
82,1,106800,-0.060665534232812,0.0755088438258936,0.422270996365352
83,1,107970,-0.0546645785833442,0.0752977484586752,0.468332744633183
84,1,109000,-0.0720691609700093,0.0753892157412267,0.339746072644717
85,1,112549,-0.0328548632573258,0.075381006467218,0.663211474984869
86,1,112742,-0.0357746540272493,0.0756710979119532,0.636672948029475
87,1,113050,-0.0446021407653291,0.0755304121594985,0.555220633183165
88,1,113135,-0.0502967638265971,0.075327680822846,0.504757401496117
89,1,114076,-0.0886114868500536,0.0752275372192895,0.239624817369669
90,1,114628,-0.0577062832647086,0.0755034759186528,0.445207136844534
91,1,116283,-0.0936963017261146,0.0758223878478223,0.217379171378474
93,1,127853,-0.0207083349645828,0.0758367235590355,0.784963132179983
94,1,128302,-0.0285071708985177,0.0755381646948239,0.706112327031848
95,1,128704,-0.0358748733933418,0.0756045014130227,0.635431730377898
96,1,128911,-0.0226160254760508,0.0756274005740721,0.765081390594513
97,1,130267,-0.111199287509009,0.0753690997359072,0.140997410964569
98,1,130271,-0.111520123605997,0.0754577629572704,0.140322321348798
