SNP,Chr,Pos,Effect,SE,HNM1_ERG11_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0239140063483627,0.0572365495386053,0.676340018370423
9,1,27272,-0.0619031041510351,0.0562945899108514,0.272243616482737
16,1,27843,0.0955074228962622,0.0548215218087468,0.0823528092585382
17,1,27848,0.0955074228962622,0.0548215218087468,0.0823528092585382
18,1,28495,0.107357356548597,0.0547602721424344,0.0507238292649991
19,1,28975,0.107278827862448,0.054390670906808,0.0493468840643793
26,1,31435,0.0964947013352672,0.0543023246513801,0.0764308938454615
29,1,36146,0.0751380139672177,0.0541158340562244,0.165870600146529
31,1,37409,0.0994694603411509,0.0542993137790554,0.067812751160532
32,1,37478,0.0976121578824657,0.0543559744543718,0.0733822892851792
33,1,39144,0.0225828914623203,0.0543412360167504,0.677973089734095
34,1,41499,0.0618947699838586,0.05410355829283,0.253396500352472
37,1,51248,0.0642568927637321,0.054326931499736,0.237691745529871
38,1,51462,0.0617386816211945,0.0544091514631444,0.257266199130087
39,1,52124,0.0632030652969883,0.0543304334454607,0.245490028102986
40,1,52667,0.0433151611313901,0.0542983170823259,0.425565991518391
42,1,59265,0.0040418207996375,0.0543193949125904,0.940727549760437
43,1,60165,0.0343151050879248,0.0542480363470008,0.527430925570833
44,1,62308,-0.0215400522143819,0.0542069560461061,0.691337053926297
45,1,62869,-0.0328243596378286,0.0541841105407359,0.545041467169011
49,1,66841,0.0436604365405209,0.0541880138414619,0.420945982739509
50,1,66948,0.0385918511995067,0.0545320116670477,0.479603715053871
51,1,68621,0.0534963901761625,0.0543483139993065,0.325630037017188
52,1,69417,0.0273198450682096,0.0542592926853915,0.614923057331944
56,1,74327,-0.00743264355756451,0.0545757600409141,0.8917491363352
57,1,74572,-0.00542809419916832,0.0544311251917542,0.920619987503335
58,1,75211,-0.000358942439382059,0.0543326640634509,0.994732638443302
59,1,76030,-0.000249153417381603,0.0543326658039127,0.99634374231874
60,1,80108,-0.021079153682424,0.0543082333998427,0.698146995923915
61,1,81262,-0.0560076723504181,0.0542173967227189,0.302301592805354
62,1,81999,-0.0621554315814741,0.0543312678997976,0.253395276535611
63,1,82431,-0.029668140877036,0.0546667566594523,0.587672651932791
