SNP,Chr,Pos,Effect,SE,noPPI_reference_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0246777227474613,0.175179309338992,0.888052031618278
9,1,27272,-0.0216972281379301,0.172549499194083,0.900005403938688
16,1,27843,-0.0782230189198587,0.168419236999472,0.642608700169808
17,1,27848,-0.0782230189198587,0.168419236999472,0.642608700169808
18,1,28495,-0.0388835362427929,0.168460705403113,0.817590959705137
19,1,28975,-0.0269708618436186,0.167341111908475,0.872049381088482
26,1,31435,-0.109825273184737,0.166801494430727,0.51069812000388
29,1,36146,-0.18695274210866,0.165744839691708,0.260104923229999
31,1,37409,-0.131961753192469,0.166793216612858,0.429376175004769
32,1,37478,-0.134935482077261,0.166930118509599,0.419442088496444
33,1,39144,-0.141964654167564,0.166150368608981,0.393443614385055
34,1,41499,-0.173969213930201,0.165602088146188,0.294195224729457
37,1,51248,-0.0392165186020864,0.16655365341709,0.813989213341675
38,1,51462,-0.0521939838016786,0.166769461813541,0.754487615382452
39,1,52124,-0.00950680613852684,0.16656596348505,0.954517486582027
40,1,52667,-0.111844612120511,0.166193207100224,0.501400690157868
42,1,59265,0.0127448826216223,0.166214507763177,0.938923688913883
43,1,60165,-0.0352752542577037,0.166079675792868,0.831917902627599
44,1,62308,-0.227830564725457,0.165463879237855,0.169409483186511
45,1,62869,-0.224531212519649,0.165455763384136,0.17563341661797
49,1,66841,-0.156719712289726,0.165755218976921,0.345056076785363
50,1,66948,-0.179467219381379,0.166710084078122,0.282428645113502
51,1,68621,-0.428935502024369,0.164958840360016,0.00970674327467288
52,1,69417,-0.366062091025269,0.164943554721853,0.0271003124283753
56,1,74327,-0.275133149373038,0.166360170491869,0.0990488987060906
57,1,74572,-0.23032443723765,0.166107074738934,0.166438144446792
58,1,75211,-0.196109763259605,0.165927221886906,0.238040034221481
59,1,76030,-0.0883995023916826,0.166188612029433,0.595114103398559
60,1,80108,-0.200780469324496,0.165872005416035,0.226914507604009
61,1,81262,-0.274055043593939,0.165511546816505,0.0986497175077815
62,1,81999,-0.336032789049069,0.165595774683352,0.04318425759927
63,1,82431,-0.378047090652427,0.166133190662264,0.0234707614260325
64,1,83284,-0.22440735134693,0.16569959127297,0.176506194801563
65,1,83613,-0.21874913800529,0.165702672681101,0.187646852779079
66,1,84112,-0.23452296772671,0.165659902746095,0.157748136356257
68,1,84858,-0.0697611703664402,0.166556995688659,0.675585876282176
69,1,85751,-0.207584345649638,0.166917876110347,0.214460432777664
70,1,87445,-0.21336413561864,0.167251669787233,0.202897912395108
71,1,87467,-0.299567102251572,0.167758350794985,0.0750051997759871
72,1,89070,-0.243283440205807,0.166958299590009,0.145963690352287
73,1,89616,-0.162811837675059,0.166333247108954,0.328334723692294
74,1,89679,-0.230192757313602,0.166128740862875,0.166735106895052
75,1,89880,-0.195986807691217,0.166295277370563,0.239372406884907
76,1,91472,-0.178460506466956,0.167589965383693,0.287665347456546
77,1,93789,-0.0901505992568774,0.166060201754871,0.587555703586028
78,1,94351,-0.152491160877105,0.166368873689848,0.359986071943625
79,1,99148,-0.105348407809577,0.166034856981848,0.526168336642364
82,1,106800,-0.101684677874372,0.166265535998342,0.54120932945091
83,1,107970,-0.037873555104224,0.165848501599658,0.819496777145313
84,1,109000,-0.0731848908874984,0.166107388728939,0.659781109959834
85,1,112549,-0.197195110209306,0.165632763442311,0.234627857504285
86,1,112742,-0.168125313939997,0.166371092980438,0.312926882366556
87,1,113050,-0.107920199839846,0.166232069391685,0.516622184686204
88,1,113135,-0.12361329168993,0.165777118989413,0.456369324183041
89,1,114076,-0.0871756700963266,0.165842730896677,0.599459610861967
90,1,114628,0.0038576065213147,0.166327215252728,0.981509525560814
91,1,116283,-0.0320229985327952,0.167243752864905,0.84826354762683
93,1,127853,0.0628663319941502,0.166907496286554,0.706657248282913
94,1,128302,0.104276108694916,0.166207147339764,0.530811557863172
95,1,128704,0.0693554414999284,0.166424391382039,0.677123027392613
96,1,128911,0.125970104481777,0.166348686868923,0.449396044446801
97,1,130267,0.0106135387327275,0.166403874501385,0.949180071471587
98,1,130271,0.00658230946589972,0.166601965715486,0.968506758175675
