SNP,Chr,Pos,Effect,SE,SSH1_ERV25_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0675397501723121,0.107512803101401,0.530277881698202
9,1,27272,0.0848908173578424,0.1058610037059,0.423145497393299
16,1,27843,0.067632111376656,0.10338774633856,0.513434774476413
17,1,27848,0.067632111376656,0.10338774633856,0.513434774476413
18,1,28495,0.113393546253135,0.103275869692859,0.272967042372461
19,1,28975,0.0684726489211453,0.102695904853078,0.505366431255725
26,1,31435,0.0752175297139975,0.102410067778667,0.463147516635264
29,1,36146,0.0626659722262127,0.101905247280265,0.53898821154985
31,1,37409,0.156021538489333,0.102174193392623,0.127652737533107
32,1,37478,0.0987972059348532,0.102464379017461,0.335600581929665
33,1,39144,0.137106446923466,0.101869993934297,0.179199705215486
34,1,41499,0.183920747943348,0.101376213388463,0.0704896431252738
37,1,51248,0.117149917624802,0.102091023763995,0.251950246745557
38,1,51462,0.140276236457973,0.102147457525615,0.170539431859979
39,1,52124,0.228745230048381,0.101554063957836,0.024907793342117
40,1,52667,0.177202405622956,0.101680858055796,0.0822513793763636
42,1,59265,0.149735693553706,0.101754199285482,0.14203519374792
43,1,60165,0.183288785890844,0.101521053949139,0.0718598445511392
44,1,62308,0.099350408329486,0.101739202694866,0.329475362133556
45,1,62869,0.134593926139563,0.101611522168614,0.186163017558787
49,1,66841,0.0163908480672328,0.101908006864315,0.87231170222209
50,1,66948,-0.0358175039712674,0.102519462176987,0.727017828573003
51,1,68621,0.0340202062239991,0.102243377313115,0.739529951475316
52,1,69417,0.112995926093776,0.10181121521858,0.267815974753312
56,1,74327,0.0279004064236245,0.10253866797814,0.785706944455981
57,1,74572,0.0482020483359307,0.10224421869395,0.637617557108499
58,1,75211,0.0471387921238709,0.102059126026934,0.644453836824966
59,1,76030,0.0477947854741014,0.102058261726804,0.639852783319891
60,1,80108,0.160474708689913,0.101707815866548,0.115506977044573
61,1,81262,0.0928881081585657,0.101907381670454,0.362656440386405
62,1,81999,0.076228196147812,0.102195896288978,0.456222597786268
63,1,82431,0.129053078075959,0.102530728608045,0.208978774481043
64,1,83284,0.0904887854273698,0.101899022331123,0.375132469763078
65,1,83613,0.128882939391789,0.101770611474492,0.206202693338164
66,1,84112,0.133857216303519,0.101763688673839,0.189238277171876
68,1,84858,0.145243580176953,0.102008185156717,0.15537540223987
69,1,85751,0.14199371773892,0.102442776104801,0.166597889975349
70,1,87445,0.130119407159415,0.102705081678325,0.206018140090907
71,1,87467,0.11017403555372,0.103310917013796,0.286957368064359
72,1,89070,0.0980989758053957,0.102696928903763,0.340116124446532
73,1,89616,0.053689782073506,0.10223647219575,0.599806565296243
74,1,89679,0.056003784765826,0.102245912449016,0.584219231593111
75,1,89880,0.051285068315331,0.102278852600122,0.61638532994163
76,1,91472,0.0713912187856675,0.103004672763441,0.488710582353538
77,1,93789,0.0859381151093786,0.101910181752201,0.399646761085008
78,1,94351,0.0554584949206148,0.102238655791788,0.587856642789818
