SNP,Chr,Pos,Effect,SE,RET2_SNA3_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0273056013437409,0.0669214148471052,0.683502786466715
9,1,27272,-0.0123478528833642,0.0659286735645478,0.851540013481342
16,1,27843,0.0297162769952932,0.0643525421663367,0.644528437748303
17,1,27848,0.0297162769952932,0.0643525421663367,0.644528437748303
18,1,28495,0.0575315979072446,0.0643001478101558,0.371538376485742
19,1,28975,0.0363270309434299,0.0639134822171362,0.570139561455021
26,1,31435,0.0167734097701924,0.0637670574883068,0.7926717236458
29,1,36146,0.029020024192204,0.0634256601185875,0.647561631462875
31,1,37409,0.0834050796917447,0.0636328421831243,0.190803190447755
32,1,37478,0.0687566842035958,0.063737362142194,0.281435714644569
33,1,39144,0.012128221312118,0.063547726819289,0.848751133740082
34,1,41499,0.0847201372882028,0.063214107652483,0.18103926964847
37,1,51248,0.107318170092001,0.0633876438403088,0.0913290431002871
38,1,51462,0.0931515900094052,0.0635376379013094,0.143515284156352
39,1,52124,0.0847564376245712,0.0634844051506242,0.18271216278306
40,1,52667,0.0902843572439006,0.0633605213349592,0.15506072755497
42,1,59265,0.186177869787331,0.0627326158604738,0.00320406843751429
43,1,60165,0.170962796243678,0.0628066943769558,0.00680970713049957
44,1,62308,0.182345983396702,0.0626453021767391,0.00383429689715761
45,1,62869,0.176285294178843,0.0626863770675251,0.00519574959698122
49,1,66841,0.125617563768573,0.0630611069734888,0.0471413256040389
50,1,66948,0.125620398361982,0.0634524415528627,0.0485072211521605
51,1,68621,0.0538092231956019,0.0635664012307596,0.397845039973178
52,1,69417,0.0595548555521628,0.0633832231297928,0.348065427523072
56,1,74327,-0.0238034310506655,0.0637987673548538,0.70929666556826
57,1,74572,-0.0304383900428036,0.063620835629438,0.632637302089729
58,1,75211,0.00431528776377541,0.0635250315122091,0.945879411996824
59,1,76030,0.013001596909326,0.0635216774823708,0.837940357175907
60,1,80108,-0.0843678263924023,0.0633514813064292,0.183804251102219
61,1,81262,-0.0632959355037745,0.063396968328471,0.318766249377825
62,1,81999,-0.0409439468938251,0.0636041376944698,0.520167967249814
63,1,82431,-0.00749857187689587,0.0639414757066028,0.906710871024553
64,1,83284,-0.0100596630068007,0.0634751617795021,0.874167722270227
65,1,83613,-0.0102034844673244,0.0634681016801951,0.872370019487367
66,1,84112,-0.0238220421824444,0.0634647557299373,0.707619225561348
68,1,84858,-0.03106153897246,0.0636351007676821,0.625768191579226
69,1,85751,-0.0104161945735913,0.0639158134915039,0.870637348324327
70,1,87445,-0.0135071806343973,0.0640493019276077,0.833096944501784
71,1,87467,-0.0254626590790645,0.0643743946311608,0.692683213561517
72,1,89070,-0.0358961688128301,0.0639571399155767,0.574980846653566
73,1,89616,-0.0231970488079074,0.0636294820677784,0.715654830253291
74,1,89679,-0.051092274459095,0.0635914007344788,0.422257504274456
75,1,89880,-0.0419191711712035,0.0636265393368794,0.510433453853853
76,1,91472,-0.0536288433774474,0.0640746757369513,0.403173390785445
77,1,93789,0.0152660494854939,0.0634722193929562,0.810070306874423
78,1,94351,0.0362822404047398,0.0636151775124059,0.568810376833999
79,1,99148,0.0430203074678533,0.0634361090425081,0.498109792284931
82,1,106800,0.0605523572574781,0.0634812852582581,0.340806438509583
83,1,107970,0.0538204814840129,0.0633099556245799,0.395839664983374
84,1,109000,-0.0145822471619003,0.0634816722641668,0.818451731818413
85,1,112549,-0.0786484360057608,0.0632762375443347,0.214715650468608
86,1,112742,-0.0563251439836247,0.0635909870740536,0.376360084424984
87,1,113050,-0.0369138753749581,0.0635241397010515,0.561543912663543
88,1,113135,-0.0646596494441506,0.0632991536878989,0.307720407801059
89,1,114076,-0.0966981347966448,0.0631833675205672,0.126804327987761
90,1,114628,-0.08238501552734,0.0634015598059261,0.19464911090266
91,1,116283,-0.0680256948736641,0.063803839829336,0.287075777927475
93,1,127853,-0.0777890763759671,0.0636529897176074,0.222492601235994
94,1,128302,-0.109299578743943,0.0632756238965464,0.0849782990915919
95,1,128704,-0.111159504128042,0.0633299720442465,0.0800851266707382
96,1,128911,-0.121493830531061,0.0632832508693129,0.0556835561945338
97,1,130267,-0.0791750288202407,0.0634428191424714,0.212867514540412
98,1,130271,-0.0813374219850713,0.0635107090379844,0.201143978042893
99,1,130613,-0.0851412965676694,0.0640929646808575,0.184903117261576
100,1,132012,-0.0952148357120974,0.0639159906004616,0.137199397235491
101,1,133231,-0.0732281281748426,0.063542191755196,0.249922955301203
102,1,137074,-0.13517739048991,0.0631626206464787,0.033027727285064
103,1,137304,-0.131197788796176,0.0632086191120724,0.0386516653773547
104,1,139686,-0.128247430512987,0.0633098259996744,0.0435462449549705
105,1,149562,-0.107975488397004,0.063562735126753,0.0902524725784557
106,1,150447,-0.118645893855158,0.0642202090947277,0.065513349617115
108,1,154084,-0.114906934799925,0.0644397289383405,0.0754179119619447
110,1,157269,-0.104028778852001,0.0633128682947749,0.101254573022963
111,1,160054,-0.14279585659051,0.0637065780465012,0.0256170976706321
112,1,166222,-0.139632517339392,0.0632486670573321,0.0279095350514141
113,1,166416,-0.136145668404419,0.0631400631495539,0.0317392813393515
114,1,167326,-0.147062405701073,0.0634345742195676,0.0210021124076986
115,1,168836,-0.13135542955303,0.0632274157848608,0.0384772545232486
116,1,171200,-0.129916854769126,0.063331666891775,0.040968199411729
117,1,171431,-0.137421886782754,0.0636871414033149,0.0316201800865717
118,1,173339,-0.143748590968836,0.0631454196871536,0.0234161466247876
119,1,173845,-0.108307659901661,0.0632925387439383,0.0879183627072541
120,1,175121,-0.079966554786774,0.0632855438293976,0.20721348681567
121,1,175281,-0.0867430136185118,0.0633143104492914,0.171545761706948
122,1,175315,-0.0863658159034119,0.0632957348253583,0.173285484825241
123,1,175523,-0.0854229232360801,0.0636598554049437,0.180502307700117
124,1,175541,-0.0867975700324501,0.0633934295431285,0.171810785740045
125,1,175653,-0.0968674768951869,0.0635538842999252,0.128359440128282
128,1,175856,-0.0876216644218369,0.0646473140657511,0.176163163614018
129,1,175876,-0.0789409974360158,0.0636835560061083,0.215953444027726
130,1,175989,-0.0881807669442584,0.0638317894825203,0.168012749684505
131,1,176001,-0.108732139550982,0.0640767962881406,0.0905963873255211
133,1,177692,-0.102708686469267,0.0632265486090265,0.105171246004347
134,1,178191,-0.103596085812143,0.0632856989613804,0.102530206832134
135,1,178224,-0.102708686469267,0.0632265486090265,0.105171246004347
136,1,178960,-0.117660942890643,0.0636620196146267,0.0654078360601982
140,1,183802,-0.075467903176295,0.0633431967385286,0.23429195138157
141,1,183954,-0.0722313796434231,0.0638168120354254,0.258463678097527
142,1,184450,-0.0759205541367079,0.0632437803073616,0.230772287880954
144,1,184718,-0.0512408993095525,0.0636744265553257,0.421515546055865
145,1,185296,-0.043438230204782,0.0634203062387899,0.493839961921165
146,1,185438,-0.0850221134835082,0.0633038921459975,0.180109339686091
147,1,185469,-0.0868382055407948,0.0633887450768311,0.171579152767644
148,1,185503,-0.0844587494025943,0.0632330537745867,0.182516363833331
149,1,185705,-0.109951186345968,0.0638334465136296,0.0858603075343842
150,1,185749,-0.0826303678262804,0.0639500895419649,0.197165279722675
151,1,185806,-0.0657268279868723,0.0640913300974143,0.305820948516165
152,1,185879,-0.0810434355139548,0.0643524865136416,0.208729665882053
153,1,185916,-0.0773055916821368,0.0643361190434553,0.230328215544022
154,1,185941,-0.0908747525484846,0.064567477449217,0.160177325591879
155,1,185954,-0.0882906555099692,0.0647672251322689,0.173688449107367
156,1,186055,-0.102339574692936,0.0634079309202106,0.107423754364381
157,1,186896,-0.0979140573279341,0.0644745642182433,0.129746642884801
161,1,190132,-0.0360149292598014,0.0636933499756921,0.572132009013006
162,1,190148,-0.0407821652734355,0.0637044372175844,0.522472323951962
163,1,190165,-0.0387318069804182,0.0641981205093355,0.546685380992955
164,1,190169,-0.0341556666265087,0.0641253495341016,0.594618570840449
165,1,190933,-0.0231321998034899,0.0636189740856988,0.716370387331064
166,1,192149,-0.0172277671251095,0.0641445595060048,0.788411938929315
168,1,192303,0.0348825751241129,0.0764552264049822,0.648491934295626
171,1,192795,-0.0118130505612493,0.0635073143120779,0.852543082508092
173,1,194187,0.00268060407068152,0.0635628834846433,0.966385048600656
174,1,194867,0.00786814822584536,0.0635270717093734,0.901500541529135
190,2,8314,0.0499452528112347,0.064549374033633,0.439594909358188
194,2,8498,0.0613566364641713,0.0644267613378876,0.341572630592296
195,2,8651,0.054773147182318,0.064504029772637,0.396377194409019
197,2,9812,0.048344378446446,0.064902549088804,0.456842050443865
198,2,9932,0.0339396328123598,0.0646723107755337,0.600055902860373
