SNP,Chr,Pos,Effect,SE,SRO9_SGN1_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0874114215150352,0.0635869545851901,0.170104086494362
9,1,27272,-0.135089869560718,0.0623864775768145,0.0310286212551374
16,1,27843,0.0654757290620149,0.0612144698166939,0.285524843027494
17,1,27848,0.0654757290620149,0.0612144698166939,0.285524843027494
18,1,28495,0.063205033586117,0.0612222247620102,0.302597607536914
19,1,28975,0.0281645645475168,0.0608862764066471,0.643952913903065
26,1,31435,0.0471373766091496,0.0606915279467758,0.437872748858937
29,1,36146,0.0172090205607699,0.0604232014330362,0.775958137139351
31,1,37409,0.0742158153079553,0.0606283364253899,0.22172670599407
32,1,37478,0.0605924703481118,0.0607235301659194,0.319039632121003
33,1,39144,0.0548582994365969,0.0604611609282902,0.364850627085894
34,1,41499,0.0946019636927949,0.0601533542223379,0.116688815261586
37,1,51248,-0.012534880781145,0.0606169855722675,0.836294453768533
38,1,51462,-0.00536025444824819,0.0607021886049154,0.92968502393451
39,1,52124,-0.0244856842484025,0.0606066465814505,0.686450098477663
40,1,52667,-0.0219898344803829,0.0605121865394102,0.716527255018178
42,1,59265,0.0260368056211867,0.0604770961096118,0.667077678307041
43,1,60165,0.0789132944307957,0.0603011608908695,0.191503274183068
44,1,62308,0.0442828302868199,0.0603347615177954,0.46346507736844
45,1,62869,0.0460957518992599,0.0603233249490467,0.44529145564829
49,1,66841,0.0527030152317651,0.0603364791499166,0.382992541470949
50,1,66948,0.042679355158079,0.0607298723835754,0.482659998979905
51,1,68621,0.0758374842362915,0.060473147650432,0.21064683255091
52,1,69417,0.0549495360999073,0.0603764640962733,0.363382783662545
56,1,74327,-0.00212126676815116,0.0607794885041578,0.972178385726196
57,1,74572,0.0121645024272273,0.0606143209481546,0.841058950595126
58,1,75211,0.00601508420848368,0.0605064309225527,0.920867338025814
59,1,76030,0.048507521859194,0.0604521712976702,0.422854798468278
60,1,80108,-0.0401431559415217,0.0604552273557569,0.507114406071428
61,1,81262,-0.120952306509477,0.0601264503274327,0.0450182539196706
62,1,81999,-0.0911802380316514,0.060423200462911,0.13218639739409
63,1,82431,-0.0917377948898761,0.0607086891844868,0.131653861714543
64,1,83284,-0.0816023168294259,0.0603053323910715,0.176872815699982
65,1,83613,-0.0870805123273251,0.0602769419277657,0.149436600221406
66,1,84112,-0.097607874717696,0.0602379236977449,0.106045207130807
68,1,84858,-0.071872155544638,0.0605113796697103,0.235732017598838
69,1,85751,-0.0853121883039733,0.0607118222507581,0.160841555227594
70,1,87445,-0.0988715603658819,0.0607827100428497,0.104705969245341
71,1,87467,-0.107702990332996,0.0610609844342956,0.0786206190573621
72,1,89070,-0.0977931982214941,0.0607229643759628,0.10818662286691
73,1,89616,-0.0979084578766524,0.0603933696890651,0.105872117255254
74,1,89679,-0.0940162242069455,0.0604185896758422,0.120584875755094
75,1,89880,-0.107023695238185,0.0603726823168735,0.077137917881186
76,1,91472,-0.0985329733840156,0.0608654201072543,0.106369112302495
77,1,93789,-0.0310124375760544,0.0604389973226842,0.608188589871009
78,1,94351,-0.0293286957194346,0.0606005552713733,0.628709075827111
79,1,99148,-0.0182728192604733,0.0604537102344649,0.762630862766913
82,1,106800,-0.0435909445200384,0.0604986169120261,0.471676851782571
83,1,107970,-0.0458520505842966,0.0603143678365067,0.447631902703695
84,1,109000,-0.0436086502306045,0.0604255406798604,0.470961401262632
85,1,112549,0.0104641979120578,0.0603990819208242,0.862553482161625
86,1,112742,0.0240200669506829,0.0606234957216828,0.692184249948172
87,1,113050,0.0148458176552191,0.060529808654065,0.806394104221131
88,1,113135,0.00612114606785311,0.0603799011069874,0.919308582161977
89,1,114076,-0.000431951413217696,0.0603807756822276,0.994296190864331
