SNP,Chr,Pos,Effect,SE,RET2_EMP47_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.104797155105876,0.0982750003687179,0.286986842024673
9,1,27272,-0.0587339252286684,0.0969045095528918,0.544837190570941
16,1,27843,0.0582147138726448,0.0946102083673984,0.538745744053416
17,1,27848,0.0582147138726448,0.0946102083673984,0.538745744053416
18,1,28495,0.0945587897491196,0.0945285803232407,0.31784107721305
19,1,28975,0.0854217615537185,0.0939197179539558,0.363696841269972
26,1,31435,0.0148324853617703,0.0937772476477049,0.874415483887248
29,1,36146,-0.013506466908,0.0932942288355687,0.884972878375148
31,1,37409,0.0365245674807816,0.0937812955147175,0.697166771505494
32,1,37478,0.0186591056660563,0.0938768246428796,0.842563680446818
33,1,39144,0.0437871879416284,0.0934246054590887,0.639580461488448
34,1,41499,0.0651949009347065,0.0931298276827995,0.484361426667841
37,1,51248,0.0196482200943254,0.0935852861248683,0.833827908996995
38,1,51462,0.0177673125298454,0.0937132680581835,0.849737602065905
39,1,52124,0.00385218558424787,0.0935909043368797,0.967191748367369
40,1,52667,-0.0694678433480918,0.0933679561041961,0.457357933109683
42,1,59265,-0.0937463394179242,0.0932606162182975,0.315485131009941
43,1,60165,-0.132388354889872,0.0930570287371703,0.155718307741592
44,1,62308,-0.0647753804665535,0.0931570122757405,0.487302524155411
45,1,62869,-0.0308645482803906,0.0931946017474437,0.740702119514494
49,1,66841,0.000230298268116394,0.0932530069051657,0.998030935815424
50,1,66948,-0.0257064985190198,0.0938153358447949,0.784235908497446
51,1,68621,-0.0998114898151147,0.0934202112627506,0.286063746380064
52,1,69417,-0.0696006988954096,0.0932498693325476,0.455929104207432
56,1,74327,0.00179215407165847,0.093836459493087,0.984773161497547
57,1,74572,0.030523218865099,0.0935725834809163,0.744467616055948
58,1,75211,0.0266240342840575,0.0934053366230316,0.775782482307187
59,1,76030,0.0651544647184358,0.0933516960830629,0.485670296382433
60,1,80108,-0.017621689044279,0.093389288015484,0.850443682702179
61,1,81262,-0.00867927565826032,0.0933575472766042,0.925981628629841
62,1,81999,-0.0442607086921459,0.0935570310448226,0.636442796571222
63,1,82431,-0.0889083021196979,0.0939105509642583,0.344422004217537
64,1,83284,-0.0865907639618973,0.0932316162185618,0.353642740368573
65,1,83613,-0.0616575481259528,0.0932774633848202,0.509035612941098
66,1,84112,-0.0830591743383678,0.0932407181761506,0.373641240843937
68,1,84858,-0.00450683494293286,0.0936086024543941,0.96162749523713
69,1,85751,-0.0492832417724205,0.0939570585322654,0.600239583747639
70,1,87445,-0.0671843830546367,0.0941244624318587,0.475833415892825
71,1,87467,-0.112337333036434,0.0944964938302958,0.235317891051903
72,1,89070,-0.0271901810066965,0.0940817277088143,0.772746456992153
73,1,89616,-0.0179104055338994,0.0935818301251911,0.848331938480964
74,1,89679,-0.0326096114631063,0.0935824427267027,0.727703489624465
75,1,89880,-0.0241198170025356,0.0936134500406189,0.796824602082053
76,1,91472,-0.0420928406907706,0.0942905774142145,0.655570360569184
77,1,93789,-0.0934592698376523,0.0932128260211646,0.316719506188812
78,1,94351,-0.128742146903377,0.0933399487902158,0.168680898007065
79,1,99148,-0.153981582904072,0.0929849819920167,0.0986138063008777
82,1,106800,-0.0820921517638087,0.0933691944401311,0.379879594194284
83,1,107970,-0.0151696531888478,0.0931909525302292,0.870784546798138
84,1,109000,-0.0640595458482095,0.0932964095297536,0.492770535927734
85,1,112549,-0.0982074140099226,0.0931063980704043,0.292244165092007
86,1,112742,-0.093683632160938,0.0934834354005851,0.316961695113547
87,1,113050,-0.0987537213137068,0.093310912441171,0.290628767424593
88,1,113135,-0.118206991623972,0.0930082358213852,0.204590304257081
89,1,114076,-0.0148881813627379,0.0932174193503332,0.873197258666284
90,1,114628,0.0174281426716511,0.0934520159420981,0.852165331009368
91,1,116283,0.000787753897339205,0.0939764063469875,0.993316574453079
93,1,127853,0.0682167804769905,0.0937311460932428,0.46722336019941
94,1,128302,0.064699057432294,0.093377661831274,0.488843513471506
95,1,128704,0.0643215854808521,0.0934714767438526,0.491815737244129
96,1,128911,0.109601424575327,0.0933624348467669,0.241212487503137
97,1,130267,0.0367158480816269,0.0934797368408238,0.69472791957731
98,1,130271,0.0319413112322018,0.0935956944775094,0.733104108539296
99,1,130613,0.0681904365558472,0.094416191672507,0.470629749994817
100,1,132012,-0.0922806483697462,0.0941573516599009,0.327723543563985
101,1,133231,-0.093291183890813,0.0934845471926895,0.31899609304348
102,1,137074,-0.0324162046792126,0.0934672568494127,0.72893408524912
