SNP,Chr,Pos,Effect,SE,SSH1_ORM2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.00261780061070471,0.16369898393592,0.987250166705933
9,1,27272,0.0257637443084975,0.161234823979779,0.873137737442246
16,1,27843,-0.0213864413958321,0.157421528307657,0.892013652055368
17,1,27848,-0.0213864413958321,0.157421528307657,0.892013652055368
18,1,28495,-0.0428639389330815,0.157411660843071,0.785546930340566
19,1,28975,-0.0179792480676287,0.156372947262109,0.908528949073279
26,1,31435,-0.026459828973172,0.155955202719227,0.865372353945061
29,1,36146,-0.0640871031673036,0.155119859077203,0.679750713214829
31,1,37409,-0.00328620430669652,0.1559961737167,0.983204965864414
32,1,37478,-0.00502467721858457,0.156130143370719,0.974344603999578
33,1,39144,-0.0234620168258444,0.15541289291676,0.88008900108722
34,1,41499,0.0376906766462689,0.154973831672877,0.807986528959303
37,1,51248,-0.0992980142321405,0.155556755085518,0.523666635443491
38,1,51462,-0.0782898503335937,0.155801855838739,0.61563180563144
39,1,52124,-0.0544524370177731,0.155619525475449,0.726616799945596
40,1,52667,-0.136374603611701,0.155227454339224,0.380244583543456
42,1,59265,0.0608893138554491,0.155284857692636,0.695210864245787
43,1,60165,0.0579767290636349,0.155170623113714,0.708902325718327
44,1,62308,-0.0993671592726434,0.154940377054337,0.521727627552596
45,1,62869,-0.0885356421509165,0.154939501629478,0.568078121637591
49,1,66841,-0.0717972638326912,0.155037111223701,0.643580011544646
50,1,66948,-0.0921324568752657,0.15595889611202,0.555067091716433
51,1,68621,-0.32216427672994,0.15466565825473,0.0379730673013207
52,1,69417,-0.254297907965234,0.154609994939956,0.10090738263062
56,1,74327,-0.0792359674244217,0.155997592111679,0.611819167728758
57,1,74572,-0.0623281309990636,0.15560376233612,0.688988837311621
58,1,75211,-0.0286182948980835,0.155347937235051,0.853946157532351
59,1,76030,-0.0474998687975826,0.155334832307569,0.759944645651895
60,1,80108,-0.0180092188887161,0.155315714267599,0.907756256394903
61,1,81262,-0.0244824657446822,0.155254485810211,0.874789284867144
62,1,81999,-0.0492150408587924,0.155617076216868,0.7519941187821
63,1,82431,-0.136900985371059,0.156206021725932,0.381401569993791
64,1,83284,-0.0224591928399522,0.15523334959034,0.885045936385185
65,1,83613,-0.037046234408375,0.155208321600897,0.811486674319972
66,1,84112,-0.0713069147312608,0.155191551258186,0.646174652065241
68,1,84858,0.0278154033251136,0.155669041585353,0.858289164329053
69,1,85751,-0.0838425924477823,0.15625224027993,0.591892376375333
70,1,87445,-0.0994279244387827,0.156556975557663,0.525780509425104
71,1,87467,-0.155727914382492,0.15724814888315,0.322690077406244
72,1,89070,-0.116636617936756,0.156357719654973,0.456187981727971
73,1,89616,-0.0699405505672481,0.155594596592241,0.653343266283404
74,1,89679,-0.0938836623839823,0.155578604106726,0.546597966374574
75,1,89880,-0.075528373969078,0.155646365780605,0.627795591262475
76,1,91472,-0.0823969378865073,0.156792663886021,0.599554985462258
77,1,93789,-0.0174444063344716,0.155235175469676,0.91059069906905
