SNP,Chr,Pos,Effect,SE,MID2_TPO4_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.032288428123594,0.0553889444533785,0.560305931657359
9,1,27272,-0.0365693206470856,0.0545486676812912,0.503042420762559
16,1,27843,0.0885334720596301,0.0530831821547298,0.0962372099745372
17,1,27848,0.0885334720596301,0.0530831821547298,0.0962372099745372
18,1,28495,0.112577805423978,0.0529548643003947,0.0342035810542854
19,1,28975,0.0809787203073315,0.0527607976082266,0.125721983260737
26,1,31435,0.0530828635015905,0.0527206461550136,0.314686680080932
29,1,36146,0.040886092105643,0.0524789568979578,0.436445738538181
31,1,37409,0.0477499038850676,0.0527468552672213,0.365942233865132
32,1,37478,0.0371133790251689,0.0528165165809732,0.48271513882703
33,1,39144,-0.006234425333429,0.0526112126566885,0.905738948051592
34,1,41499,0.0304137939927561,0.0524413462658902,0.562312720070407
37,1,51248,0.0734610144292821,0.0525443730266785,0.162968126702438
38,1,51462,0.0633710461239206,0.0526531715447226,0.229567687008031
39,1,52124,0.0500344315315555,0.0526223034496076,0.342345400931259
40,1,52667,-0.0115920757778065,0.0526015848351373,0.825706487939716
42,1,59265,-0.0159500954050627,0.0525718110519952,0.761766562298061
43,1,60165,-0.0234020682748487,0.052524166302062,0.656196473696413
44,1,62308,-0.0659011615560664,0.0523638068274962,0.20903365748701
45,1,62869,-0.0650697391825241,0.052360146399899,0.214790689779253
49,1,66841,0.0136924150131701,0.052494232434311,0.794370647195403
50,1,66948,0.00780529103545913,0.0528198516354984,0.882607136921192
51,1,68621,0.00352190956503701,0.0526780571793021,0.946733203510159
52,1,69417,0.00428823872095119,0.0525384372399457,0.934994375791415
56,1,74327,-0.0152117574243167,0.0528215834774559,0.773528187490887
57,1,74572,-0.0342961197806137,0.0526555128581932,0.515257214296036
58,1,75211,-0.0359208251028613,0.0525563365862788,0.494756512352559
59,1,76030,-7.77216484945942e-05,0.0525910995809182,0.998821683167553
60,1,80108,-0.0147268482768843,0.052572822084983,0.779547342468783
61,1,81262,-0.0444458215316297,0.0525055239657954,0.39784846592873
62,1,81999,-0.010299360404718,0.0526842918931605,0.845120235538445
63,1,82431,0.000318540780921278,0.0529365480022861,0.995202231568907
