SNP,Chr,Pos,Effect,SE,MID2_PIN2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0515932692663139,0.0516875044390558,0.318877354700717
9,1,27272,-0.107123609561449,0.0506632555542158,0.0351796783006839
16,1,27843,0.0206484045231075,0.0497646629003742,0.678451779265375
17,1,27848,0.0206484045231075,0.0497646629003742,0.678451779265375
18,1,28495,0.0406469509406067,0.0497305674585876,0.414283515678967
19,1,28975,0.0124185101828638,0.0494404497594368,0.801820190369691
26,1,31435,-0.00139441207634969,0.0493138090388135,0.977457761516465
29,1,36146,-0.00937248755220432,0.0490570455793716,0.84859403628083
31,1,37409,0.0119489385596498,0.049320739860238,0.808711604157176
32,1,37478,0.000133014417302957,0.0493672411731247,0.997851715379686
33,1,39144,-0.0346684624223351,0.0491073114540524,0.480670244236736
34,1,41499,0.00159512191460855,0.0490055839477109,0.974051999309542
37,1,51248,0.0322474994078181,0.0491843099090949,0.512478951509518
38,1,51462,0.0266361869642791,0.0492605870006128,0.58904157823842
39,1,52124,0.0302237309297817,0.0491879506814877,0.539311216531293
40,1,52667,-0.00949850676540831,0.0491327749552528,0.846817020496012
42,1,59265,0.00108003234315512,0.0491105545254695,0.982466875929112
43,1,60165,0.0198915781022503,0.0490620550116575,0.685401846479311
44,1,62308,0.0173984026399778,0.0490107592665414,0.722807962785928
45,1,62869,0.0262362824119511,0.0489934537225447,0.592637305544707
49,1,66841,0.0176666813667011,0.0490274333584731,0.71880632841775
50,1,66948,0.0126170885382072,0.0493328216870569,0.798289413590617
51,1,68621,0.0387032485047202,0.0491605957504957,0.431645115213017
52,1,69417,0.018351784234692,0.0490637550558457,0.708599464554627
56,1,74327,-0.028160110935509,0.0493205106002265,0.568389061697285
57,1,74572,-0.0330804523555515,0.0491804046616749,0.501619705261794
58,1,75211,-0.0170321351657139,0.0491138372069375,0.728956528529143
59,1,76030,0.00858760137969375,0.0491200761954464,0.86131442951425
60,1,80108,-0.00132971647274971,0.0491105371721221,0.978414424082135
61,1,81262,-0.0454848311998896,0.0490322934813289,0.35422272743082
62,1,81999,-0.0491329059061324,0.0491423809129617,0.318088676038386
63,1,82431,-0.0280738571287246,0.0494222850445927,0.570368632308342
64,1,83284,-0.0344358912490414,0.0490508340918656,0.483113749134915
65,1,83613,-0.0273853676920423,0.0490580078162215,0.577045167460402
66,1,84112,-0.0217617490895109,0.0490713974714632,0.657696661247603
68,1,84858,-0.0173870384843899,0.0492148984183614,0.72408334076446
69,1,85751,-0.0497773537394499,0.0493548615367048,0.313876376409148
70,1,87445,-0.0412868486997378,0.0494816321501177,0.404627026848104
71,1,87467,-0.0532603327818974,0.049708933325635,0.284701875368964
72,1,89070,-0.0261266718004212,0.049458533806351,0.597654934296762
73,1,89616,-0.0186710970414884,0.0492018768523329,0.704560104019734
74,1,89679,-0.0123067524620115,0.0492137845869121,0.802680861115653
75,1,89880,-0.0246793761091972,0.049213087302712,0.616345987911363
76,1,91472,-0.018125250137847,0.0495866590194379,0.714937174277197
77,1,93789,-0.00532286885480462,0.0490842475256383,0.913705489921661
78,1,94351,-0.00936579592082619,0.0492117236412267,0.849170635738055
79,1,99148,-0.0052906000643515,0.049084257408737,0.914226615061695
82,1,106800,-0.0138509591022937,0.0491457462217149,0.778235687212486
83,1,107970,-0.0133236881151123,0.0490005262688611,0.785850888269807
84,1,109000,-0.071130072802154,0.0489458251515457,0.147045278832158
85,1,112549,0.0106087295823962,0.0490331986094701,0.828833600508961
86,1,112742,0.0112785916914622,0.0492238353764953,0.818901606975038
87,1,113050,0.0126161099635538,0.0491400932647729,0.797530907096407
88,1,113135,0.0023683225634929,0.0490193446925655,0.961493288681585
89,1,114076,0.00719762985929601,0.0490180097986031,0.883344947927292
90,1,114628,0.0344952574572091,0.0491092091700408,0.482880614979554
91,1,116283,-0.00617308196352384,0.0494157564393227,0.900656941232594
93,1,127853,0.0616091059302533,0.0492157211499401,0.211465175926299
94,1,128302,0.0610958141868806,0.0490276548822877,0.213535681670501
95,1,128704,0.0482740624331969,0.0491171291849347,0.326361497997005
96,1,128911,0.0597481874448686,0.0490868277804771,0.224343546312259
97,1,130267,7.14934427298308e-06,0.0491664132980742,0.999884060834634
98,1,130271,-0.000624996976810288,0.0492247561455737,0.989876862645943
99,1,130613,-0.0173003675972429,0.0496762368696587,0.727850694099645
100,1,132012,-0.00728867507395925,0.0495777916694546,0.883204171183619
101,1,133231,-0.00770307153287242,0.0492257882977292,0.875740613205493
102,1,137074,-0.00639710003396987,0.0491563048356436,0.896531422781415
103,1,137304,-0.0073233820356223,0.0491730255342744,0.881693217253652
104,1,139686,-0.0589458547493269,0.0491391398466163,0.231110773032039
105,1,149562,-0.0386932465219792,0.0493085359400334,0.433145808323918
106,1,150447,-0.0332977490952041,0.0498674618801273,0.504745473667367
108,1,154084,-0.0430121109559927,0.0500007253379104,0.390246269118928
110,1,157269,-0.0345188826148246,0.049110326375861,0.482591063945006
111,1,160054,-0.0506068313653991,0.049538422281254,0.307685336237608
112,1,166222,-0.034310073713619,0.0492107840867042,0.486132541788997
113,1,166416,-0.033640717615978,0.0491120526846305,0.493806782849137
114,1,167326,-0.0345027210088093,0.0493898193453234,0.485274750852384
115,1,168836,-0.000949067293124495,0.0491897040834997,0.984617452520905
116,1,171200,0.00906266225899938,0.0492610335673798,0.854140873833238
117,1,171431,-0.00844256461211357,0.0495689125964166,0.86485625662302
118,1,173339,-0.00851060732231051,0.049183366925466,0.862720479449122
119,1,173845,-0.0177556783249548,0.0491355936389502,0.718045917375333
120,1,175121,-0.0135199597822314,0.04904196153809,0.78295404229157
121,1,175281,-0.00514306154106386,0.0490881664610796,0.916616295363417
122,1,175315,-0.00744119539459201,0.0490718786525347,0.879558540127828
123,1,175523,-0.0169310097010582,0.0493432965933596,0.731707286913769
124,1,175541,-0.00631017191464292,0.0491489637911263,0.897914481073452
125,1,175653,-0.0235988430411703,0.0492896371757404,0.632392281423875
128,1,175856,-0.022397930058299,0.0501054347755692,0.65513766152471
129,1,175876,-0.0114378335175284,0.0493477697345703,0.816843076250758
130,1,175989,-0.000409774083747066,0.0494923278285328,0.993398629335404
131,1,176001,-0.00587792892201033,0.0497492376217748,0.906015107951811
133,1,177692,-0.0123619035596069,0.049069065872131,0.801242823582186
134,1,178191,-0.00980507594325364,0.0491194304793429,0.841895027353933
