SNP,Chr,Pos,Effect,SE,DHH1_LSM3_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0334349962631089,0.170553928147256,0.844693476847786
9,1,27272,0.133823421124356,0.167850682399011,0.425826348726924
16,1,27843,0.0798404837662573,0.163971703008695,0.626619891368215
17,1,27848,0.0798404837662573,0.163971703008695,0.626619891368215
18,1,28495,0.116435646732489,0.163912302518129,0.477954089540894
19,1,28975,0.108000616777162,0.162831539777707,0.50759312856373
26,1,31435,0.0686809459625741,0.162460163496684,0.67273098158892
29,1,36146,-0.0990496472736117,0.161577378149936,0.540259974965538
31,1,37409,-0.0415775001658062,0.16252238531637,0.79823397435822
32,1,37478,-0.0670181076050834,0.162638062786694,0.680538947005256
33,1,39144,-0.0927656436864794,0.161859548199842,0.566925421823328
34,1,41499,-0.0956739223934443,0.16140535815169,0.553724287240005
37,1,51248,-0.0889964112453273,0.162103831910685,0.583346586301903
38,1,51462,-0.0815278108622092,0.162334946379508,0.615826101677592
39,1,52124,-0.103087376560987,0.162080180058338,0.525170946350124
40,1,52667,-0.202572070617377,0.161553738938316,0.210708460107775
42,1,59265,-0.0507277847345645,0.161808913593969,0.754082743269432
43,1,60165,-0.07787271000507,0.161656021829192,0.630304376583857
44,1,62308,-0.0552757240448081,0.161504508112306,0.732362687884652
45,1,62869,-0.0592534158705179,0.161480221038243,0.713884265733218
49,1,66841,0.0688838865976618,0.161545534623761,0.670072382322614
50,1,66948,0.00975080942707118,0.162577984377923,0.952208531267225
51,1,68621,-0.0984295033769597,0.162053723897739,0.543983890384367
52,1,69417,-0.111476573587268,0.16160026074555,0.490754864476823
56,1,74327,-0.0630392931942629,0.16256359036884,0.698410823521068
57,1,74572,-0.0173508378563678,0.162162694258504,0.914852552686566
58,1,75211,-0.0356476808167964,0.161858590797194,0.82581182632459
59,1,76030,0.0174326018369737,0.161867051617639,0.914297204772213
60,1,80108,-0.096300856583338,0.161750248221275,0.551979265411922
61,1,81262,-0.0362587233508714,0.161758746365657,0.822767860069501
62,1,81999,-0.083208886236831,0.162104837411984,0.608060542434537
63,1,82431,-0.12653301069498,0.162793726541142,0.437526101065796
64,1,83284,-0.0783768155791524,0.161693530469514,0.628172423489084
65,1,83613,-0.0547310690333154,0.161703273130972,0.735213226340636
66,1,84112,-0.0730977290170134,0.161700535203338,0.651506146060038
68,1,84858,0.06784555507648,0.162163633607471,0.675925819765649
69,1,85751,-0.00379791540257454,0.162870408709479,0.981409283855613
70,1,87445,-0.0810991292832781,0.163157743208846,0.619456424822471
71,1,87467,-0.140690311652608,0.163898297075188,0.391254058474465
72,1,89070,-0.0481747624424448,0.163022246725361,0.767777785364913
73,1,89616,0.00248141595702959,0.16216527002796,0.987800073524431
74,1,89679,-0.00706208497304303,0.162185423629203,0.965293086149918
75,1,89880,-0.0109325387499589,0.16222590980729,0.946308722378846
76,1,91472,0.0283053804062743,0.163424184748993,0.862591996062038
77,1,93789,0.0143142067739221,0.16174553906212,0.929530812750059
78,1,94351,0.0063891097779061,0.162172667131602,0.968596176613738
79,1,99148,-0.0154424852891245,0.161745245050598,0.923992418633562
82,1,106800,-0.0165763489543138,0.161963108791224,0.91853980140469
83,1,107970,-0.0203944585304797,0.161482017420634,0.899569889729256
84,1,109000,-0.0030718082510828,0.16177017538133,0.984860833622375
85,1,112549,-0.0452786876595929,0.161569161157012,0.779454944232074
86,1,112742,-0.0361146714129238,0.162205287975371,0.823938299943515
87,1,113050,-0.024553640204531,0.16193850885945,0.879570723309335
88,1,113135,-0.0488221696802373,0.161510399853252,0.762612847540843
89,1,114076,0.0443961142465843,0.161514018180931,0.783573325946843
90,1,114628,0.112654272931779,0.161828906683822,0.486804280195646
91,1,116283,0.069389499505376,0.162798754989411,0.670201002419313
93,1,127853,0.150546673875511,0.16233982273326,0.3543757743967
94,1,128302,0.191592941843837,0.161591676834036,0.236553716791594
95,1,128704,0.174386239776456,0.161808304038022,0.281888601825212
96,1,128911,0.264020109775937,0.161481955055027,0.102944169548419
97,1,130267,0.219561728605133,0.161593389888138,0.175099836257374
98,1,130271,0.210552363702084,0.161820104869067,0.19405545763874
99,1,130613,0.259513326582181,0.163139823974114,0.112562829016692
100,1,132012,-0.0809669952675001,0.163319143726195,0.620372697345975
101,1,133231,-0.102800966712727,0.162124373475265,0.526434683734474
102,1,137074,-0.125410478588296,0.161848386685221,0.438938781196044
103,1,137304,-0.175544155964414,0.161772686768353,0.278605248206107
104,1,139686,-0.0879104688069342,0.162187744815091,0.588140473673186
105,1,149562,-0.0292374256578856,0.162617937306171,0.857418921629995
106,1,150447,-0.00530616125112027,0.164429023031859,0.974274793451275
