SNP,Chr,Pos,Effect,SE,ALO1_UIP4_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0782692263276625,0.103640846480827,0.450634535543339
9,1,27272,-0.057870224838387,0.102120388584913,0.571287461574328
16,1,27843,-0.0394574926429885,0.0997274150692724,0.692599732759921
17,1,27848,-0.0394574926429885,0.0997274150692724,0.692599732759921
18,1,28495,-0.0287586051943688,0.099739395729617,0.773257654468309
19,1,28975,-0.0431339344526476,0.0990577607603678,0.663507572512089
26,1,31435,-0.0628518065399977,0.0987652022552259,0.5249437763333
29,1,36146,-0.0278004799412941,0.0983011368314193,0.777488753263946
31,1,37409,0.0921752996488352,0.0987220063839666,0.351104388319111
32,1,37478,0.0665685853001181,0.0988653358501121,0.501180603957373
33,1,39144,0.0873310488042399,0.0983676073687184,0.375251279275801
34,1,41499,0.143538841028319,0.0979065912029001,0.14351684826868
37,1,51248,-0.0674798173049527,0.0985567939903194,0.493995471317017
38,1,51462,-0.0622004980592233,0.0987004405501205,0.528974906512885
39,1,52124,-0.00340315854825372,0.0986220479368464,0.972492303229155
40,1,52667,0.0181982436153149,0.0984593947259705,0.853468569587768
42,1,59265,-0.00423211285733491,0.0984142281760485,0.965723409105184
43,1,60165,0.00660190378713783,0.0983394895431315,0.946513191960335
44,1,62308,-0.0430934096175176,0.0982051838425242,0.661067717988765
45,1,62869,-0.000884121907941168,0.0982196157613494,0.992823039965786
49,1,66841,-0.0170325297130347,0.0982617352504461,0.862484811284279
50,1,66948,-0.0423344411615008,0.0988433075400715,0.668695012063055
51,1,68621,-0.0134177542062641,0.0985985619360798,0.89183190697712
52,1,69417,0.00509936225308938,0.0983397427785409,0.958673926825864
56,1,74327,0.0182776395386592,0.0988759983500054,0.853449583922346
57,1,74572,0.0731109119584134,0.0985407293769197,0.458619482163876
58,1,75211,0.0555085418011647,0.0983934151291153,0.573011019176269
59,1,76030,0.122184365913932,0.0982227107562346,0.214342518028064
60,1,80108,0.0853244972724252,0.09830964882682,0.386030067014467
61,1,81262,0.0591456475537058,0.0983269006589148,0.547879452327208
62,1,81999,0.0263938517724537,0.0986075255737538,0.789112983758058
63,1,82431,0.106055792271224,0.0989234404159983,0.284407646384938
64,1,83284,0.0461221050097876,0.0983327022874254,0.639329614874332
65,1,83613,0.0762970808213704,0.0982686295529659,0.438024846290761
66,1,84112,0.113416894370973,0.098177932017025,0.248782605289667
68,1,84858,0.148297563140779,0.0983246482477109,0.132386532009661
69,1,85751,0.112295405982439,0.0988658913221611,0.256795902043201
70,1,87445,0.145738299862311,0.0989522032872786,0.141691957130254
71,1,87467,0.141057085348599,0.0994925126173225,0.157141239091984
72,1,89070,0.159467828838207,0.0987869631272377,0.107364553244104
73,1,89616,0.0737753995053413,0.0985393263996231,0.454542684873337
74,1,89679,0.117412994361167,0.0984318421191669,0.233734957404886
75,1,89880,0.107636397131619,0.0984885309107982,0.275190633920336
76,1,91472,0.174996714055839,0.098949903059375,0.0778345128456763
77,1,93789,0.0451531872719029,0.0983339761845955,0.646386133915218
78,1,94351,-0.0216385173872835,0.0986154893023592,0.826447291341012
79,1,99148,0.0367168377861888,0.0983439244924562,0.709111063604634
82,1,106800,0.0172359729878268,0.0984917479035759,0.86118062567413
83,1,107970,-0.0289464591307993,0.0981921255638636,0.768324467302201
84,1,109000,-0.0327900180728704,0.0983617988796425,0.739059483109388
85,1,112549,-0.0504489163158977,0.0982292245304501,0.607864468004827
86,1,112742,-0.0701152409584468,0.0985781482015746,0.477389417464232
87,1,113050,-0.0199777309490903,0.0984770652676586,0.839355992828899
88,1,113135,-0.0278419260480005,0.0982207865909647,0.776988367074045
89,1,114076,-0.0537136421828386,0.0981903540628239,0.58469976118432
90,1,114628,-0.0330370414701927,0.0984647748498818,0.737431101808929
91,1,116283,0.0624287021636298,0.0989724519550847,0.528600079948625
93,1,127853,-0.0630343316871881,0.098786878983351,0.523832677227593
94,1,128302,-0.103161280034937,0.0983109483693591,0.294741084298415
95,1,128704,-0.142870983504123,0.0982683936240656,0.14686656270483
96,1,128911,-0.113598602939472,0.0983874751708183,0.249033521843465
97,1,130267,-0.00914103498014135,0.0985251546914645,0.926132011515267
98,1,130271,0.000452602953515291,0.0986432908762546,0.996341687584557
99,1,130613,0.072860032724698,0.0994895606659684,0.464447959465576
100,1,132012,-0.00829203210147161,0.0993527931860562,0.933532705620715
101,1,133231,-0.135502035414537,0.0983847775962411,0.169302606323027
102,1,137074,-0.10993462231462,0.0983345322995717,0.264341949751223
103,1,137304,-0.14506361326053,0.0982397627365896,0.140666816849328
104,1,139686,-0.15227124063681,0.0983387987351042,0.12241362509644
105,1,149562,-0.144096452730325,0.0985994749280613,0.144786429227222
106,1,150447,-0.180277688368446,0.0995328702670533,0.0709539182447176
108,1,154084,-0.138867517239061,0.100030540031499,0.165936025590301
110,1,157269,-0.1481352789186,0.0981666874641646,0.132188735089866
111,1,160054,-0.0881040608698284,0.0993078195762082,0.375585231489451
112,1,166222,-0.0726940163355032,0.0986072695112936,0.461485895906756
113,1,166416,-0.0767577278248766,0.0983980309749287,0.435870152579986
114,1,167326,-0.0626517594143553,0.0989862865424015,0.527186720485999
115,1,168836,-0.102696623602878,0.0984214168143352,0.297459629533949
116,1,171200,-0.0188049649196754,0.0987156273708156,0.849029722359796
117,1,171431,-0.0535297017712467,0.0992961541825694,0.590163625655046
118,1,173339,-0.115323789540739,0.0983732014268992,0.241863564019902
119,1,173845,-0.122496849812847,0.0982667521045563,0.213380025350983
120,1,175121,-0.0798472346489168,0.0981956193675411,0.416683269213084
121,1,175281,-0.083162181401562,0.0982714515908829,0.397986784266099
122,1,175315,-0.0892223731415991,0.0982253903488812,0.364316590743161
123,1,175523,-0.0923170904707161,0.0987751713765048,0.350623888528524
124,1,175541,-0.0864354311763437,0.0983861880219508,0.380252579679694
125,1,175653,-0.0917123185660714,0.0986847017381912,0.353344416146953
128,1,175856,-0.0680976258941248,0.100371090379139,0.497925506064213
129,1,175876,-0.0755206792343672,0.0988155884498339,0.445223610011767
130,1,175989,-0.0773353719145128,0.099094026544482,0.435664250971814
131,1,176001,-0.0823699082576106,0.0995998285133202,0.408790900151553
133,1,177692,-0.076870895278243,0.0982549689143096,0.434526696357274
134,1,178191,-0.0691633387171608,0.0983689054795343,0.482455851944885
135,1,178224,-0.076870895278243,0.0982549689143096,0.434526696357274
136,1,178960,-0.0975389190662604,0.098989505493658,0.325128994740472
140,1,183802,-0.00284827094681856,0.0983523835499328,0.976912972261907
141,1,183954,-0.0297652179777198,0.0990558669912117,0.76398092593158
142,1,184450,0.0315024059748029,0.0981868141314958,0.748520355821136
144,1,184718,-0.00121683957839881,0.0987590603175813,0.990176237686705
145,1,185296,0.0522911904389834,0.0983007252646623,0.595094402487972
146,1,185438,0.0742222907346316,0.0982653846265916,0.450557740643309
147,1,185469,0.0675580033549128,0.098421029399929,0.492899941967834
148,1,185503,0.0661789258147844,0.0981687930784526,0.50066730081756
149,1,185705,0.0573596689931816,0.0992829150183177,0.563808286973503
150,1,185749,0.00907543669496191,0.0993286684508674,0.927252213496935
151,1,185806,0.0614244408259485,0.0994087309038394,0.537041102583349
152,1,185879,0.0114137135249179,0.0999412440516976,0.909140820529136
153,1,185916,0.0458742420307981,0.0998677920789326,0.646265793255795
154,1,185941,0.0133301204582687,0.100330295005901,0.894377933657005
155,1,185954,0.00146166602475004,0.100625788914197,0.988418734276413
156,1,186055,0.0794341569548319,0.0985268634709577,0.420659802531301
157,1,186896,0.036015293751198,0.100216002207966,0.719528198576872
161,1,190132,0.152706310951559,0.0984075523390746,0.121612292374414
162,1,190148,0.151414862818431,0.0984430852126856,0.124921128675468
163,1,190165,0.144356194853093,0.0992343995379222,0.146641178239799
164,1,190169,0.140624903390323,0.099125105765844,0.156880205268354
165,1,190933,0.0562123815379119,0.0985557459934322,0.56879553640798
166,1,192149,0.0513130431146549,0.0993697562084243,0.605908924972109
168,1,192303,0.11302499056226,0.118355632067892,0.340251009169209
171,1,192795,-0.00429088816497472,0.0984142209669125,0.965247675847629
173,1,194187,0.0162693326916508,0.0984922136750715,0.868893753909235
174,1,194867,0.0029217837862357,0.0984422948967581,0.976338902028782
190,2,8314,0.0960649328031394,0.099978545997818,0.337282529282663
194,2,8498,0.150060124268424,0.0996430075244435,0.132967245192861
195,2,8651,0.158533560398363,0.099699760574696,0.112705222408261
197,2,9812,0.157788716556831,0.100299713880532,0.116574779433913
198,2,9932,0.153943105433843,0.099918621259295,0.124289420414354
199,2,10135,0.179492397626451,0.0994120848808141,0.0718421916333125
200,2,11616,0.140623625467077,0.0994829063859996,0.15837658713747
201,2,12133,0.192300921355754,0.0996363477289572,0.0544043058400982
202,2,12194,0.20585720093904,0.0999492270883348,0.0401679407281726
203,2,12359,0.190175167014851,0.0997417186379683,0.057374199493913
204,2,13061,0.186350160456965,0.0997547546743779,0.0625787914491506
205,2,14298,0.186617082567451,0.100071146589076,0.063032878021317
206,2,15222,0.178465464455288,0.10109825511181,0.0783833712942744
207,2,17986,0.143875778586932,0.0994697320742017,0.148944592065734
208,2,19770,0.147533916694321,0.100146444518631,0.141593132541799
209,2,19836,0.153181672555078,0.0998455229824083,0.12587947581768
210,2,19851,0.177597953889251,0.100025500369347,0.0766724450519422
211,2,21595,0.118995386134259,0.0998555316957672,0.234189088147384
212,2,22385,0.127176284778136,0.0999218539541877,0.203941749393117
213,2,23441,0.0430642289605688,0.101097601429373,0.670391592813207
214,2,24209,0.0654107795801545,0.100230472937029,0.514436540782571
215,2,24341,0.0881871542629443,0.100418501147067,0.380434550390061
216,2,26815,0.0772658496978859,0.100323417434618,0.441715561099053
217,2,28209,-0.0282061795392732,0.100430236536089,0.778987334816729
221,2,41245,0.0252074238180369,0.100047189897594,0.8012222097377
