SNP,Chr,Pos,Effect,SE,TPO1_MID2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0572696231045489,0.156292942315051,0.714267577010961
9,1,27272,-0.0646625648521513,0.153936583110311,0.674697356510698
16,1,27843,0.0270303602692022,0.150325062686226,0.857402760664703
17,1,27848,0.0270303602692022,0.150325062686226,0.857402760664703
18,1,28495,0.0340463842028718,0.150323459289003,0.820953373543416
19,1,28975,0.0487528123530623,0.149306935175098,0.744218836711507
26,1,31435,-0.00115312684179553,0.148933824447587,0.993826778270833
29,1,36146,-0.0742138993836478,0.148113209819353,0.61663979438324
31,1,37409,0.0153933753733536,0.148964730405465,0.917755219723847
32,1,37478,0.0197914379520776,0.149091320192625,0.894469041932177
33,1,39144,0.0401950982180141,0.148399262736524,0.786658707714937
34,1,41499,0.00582756766384274,0.148002688461761,0.968613876256441
37,1,51248,-0.0173140142402924,0.148630126189909,0.907329970785271
38,1,51462,-0.0120640301460285,0.148833145426754,0.935442228281573
39,1,52124,-0.017394348030237,0.148630099618115,0.906901942977777
40,1,52667,-0.166664839152378,0.148129407804269,0.26129837847912
42,1,59265,-0.0704686099986032,0.148272486429811,0.634892582424782
43,1,60165,-0.000757795534448859,0.148207830773179,0.995923274394497
44,1,62308,0.106175887902609,0.147936942276755,0.47341053036415
45,1,62869,0.104683363350961,0.147921348369198,0.479600967469684
49,1,66841,0.159945658391525,0.1478511278591,0.280078933930665
50,1,66948,0.140199666604703,0.148817926769531,0.346791574982259
51,1,68621,-0.0556803053800037,0.148571680278496,0.708056091707983
52,1,69417,-0.00431629408084427,0.148207658209469,0.976782721723406
56,1,74327,0.0402538421870865,0.149007269751907,0.787205157788313
57,1,74572,0.0447768014268831,0.148606817148486,0.763355109625912
58,1,75211,0.0258990498233807,0.148348589896284,0.861507879991756
59,1,76030,0.0849275731875909,0.148286114451801,0.567193649680908
60,1,80108,-0.0803535796549552,0.148258243604574,0.588171548652708
61,1,81262,0.00268652245516704,0.148263775817776,0.985553452340527
62,1,81999,-0.0855511493221112,0.148556158314781,0.565060384108137
63,1,82431,-0.148551872352715,0.149120017185854,0.31984019961668
64,1,83284,-0.156438171338779,0.148008815753195,0.291256408278756
65,1,83613,-0.120541537065801,0.148087584572023,0.416200485750417
66,1,84112,-0.132698143495104,0.148074490020111,0.37077907664715
68,1,84858,-0.0399249127349961,0.148646032724841,0.788401720000273
69,1,85751,-0.100352538953538,0.14917666750406,0.501572333209191
70,1,87445,-0.104638802109631,0.14948409506734,0.484388629595073
71,1,87467,-0.162539523456699,0.150121844537694,0.279672927951654
72,1,89070,-0.102847550270271,0.149329485202479,0.49144620609928
73,1,89616,-0.0857492429276265,0.148555834769969,0.564159500269614
74,1,89679,-0.115212548700196,0.148518206172719,0.438417798247073
75,1,89880,-0.0795676183222796,0.148622085138693,0.59273201316922
76,1,91472,-0.0943968362025675,0.149701760102502,0.528732357364154
77,1,93789,-0.152829928221989,0.148019494565003,0.302545437273778
78,1,94351,-0.227028662433322,0.148140987787201,0.126290463939204
79,1,99148,-0.224621061268024,0.147759963911083,0.12936206902492
82,1,106800,-0.217656745429942,0.147990062452362,0.142248883324207
83,1,107970,-0.124735580324645,0.147854034809063,0.39944191275352
84,1,109000,-0.0839735360471449,0.148196462810038,0.571321212889764
85,1,112549,-0.131579174579884,0.147930329724582,0.374357793051248
86,1,112742,-0.101931450296457,0.148573971243231,0.493122266158186
87,1,113050,-0.0783576042544523,0.14836427496768,0.597731697819459
88,1,113135,-0.0674833449291135,0.148001262776637,0.648695769040005
89,1,114076,-0.063160765194935,0.148006667267621,0.669826882702635
90,1,114628,-0.0176568630480722,0.148416392011322,0.905368050895129
91,1,116283,0.0401810423539821,0.149229537085568,0.787889516119336
93,1,127853,0.215039204501771,0.148526648785465,0.148556163614961
94,1,128302,0.180067880118877,0.148084963373638,0.224806275625699
95,1,128704,0.153717671056118,0.14831700741711,0.300718957827366
96,1,128911,0.178788445886727,0.148253849256359,0.228639980052899
97,1,130267,0.168350667447055,0.148217915311642,0.256797390644821
98,1,130271,0.162072244785096,0.148414273272008,0.275566416531423
99,1,130613,0.222183448866728,0.149587306206143,0.138354320978483
100,1,132012,-0.0944583551284147,0.149651086164564,0.528324401860562
101,1,133231,-0.138454482356217,0.14849024707829,0.351759562962349
102,1,137074,-0.122460247592295,0.148318401330471,0.409555873942404
103,1,137304,-0.210652858722536,0.148089327127917,0.155772435378824
104,1,139686,-0.156345796951068,0.14847531099634,0.293057243928116
105,1,149562,-0.140970299846369,0.148858600532743,0.344282462635892
106,1,150447,-0.0798291207296795,0.150640939743628,0.596493762464262
108,1,154084,-0.136650637298165,0.150991364203062,0.366070534745197
110,1,157269,-0.153078106521187,0.148199087173266,0.30234751096077
111,1,160054,-0.109033956017637,0.149720590916695,0.4669436311716
112,1,166222,-0.0997975607581616,0.148629931923568,0.502373082580383
113,1,166416,-0.108529139757091,0.148310433029893,0.464794422195265
114,1,167326,-0.138934380574788,0.149083018358053,0.352011566977454
115,1,168836,-0.0920586220527517,0.148478110162678,0.535648082387654
116,1,171200,-0.168942374163683,0.148509442258834,0.256064629590872
