SNP,Chr,Pos,Effect,SE,MID2_TPO4_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0233997617967165,0.171565934964508,0.891591262416821
9,1,27272,0.070895002326304,0.168951724680384,0.675020585044424
16,1,27843,0.0533672021327961,0.164970950091619,0.746512299536232
17,1,27848,0.0533672021327961,0.164970950091619,0.746512299536232
18,1,28495,0.0662779320282096,0.164960358996023,0.688088373517436
19,1,28975,0.0197255235453971,0.163891792721093,0.904268830643589
26,1,31435,-0.0188382001591695,0.163457844194913,0.908314030928827
29,1,36146,-0.0992168027777443,0.162532280705408,0.541960749240175
31,1,37409,-0.072838320432297,0.163451329777059,0.656139902419303
32,1,37478,-0.0780568288340394,0.163585099986857,0.633541021825313
33,1,39144,-0.0446871854704989,0.162873761013564,0.783963089190303
34,1,41499,-0.132534021169777,0.162286065636299,0.414668320851644
37,1,51248,-0.284067642618031,0.162428555447185,0.0811813631056209
38,1,51462,-0.264300137504936,0.162745087667226,0.105265600136538
39,1,52124,-0.240319850816315,0.162628483704902,0.140373575923532
40,1,52667,-0.355831153151268,0.161764389217579,0.0284767571088136
42,1,59265,-0.0335507800792504,0.1627773222042,0.836820229400121
43,1,60165,0.0160120515667146,0.162661871461785,0.921640655506146
44,1,62308,-0.0376547618980837,0.162472848412779,0.816858455458987
45,1,62869,-0.0405434672722883,0.162450469701201,0.803061715921889
49,1,66841,0.0747523951992244,0.16249266751897,0.645773963689619
50,1,66948,0.0192493033871505,0.163535695887729,0.906366730278422
51,1,68621,-0.142906085249085,0.162918418733848,0.38099442356365
52,1,69417,-0.0608581186686428,0.162631850000158,0.70847434214967
56,1,74327,0.0548898961881533,0.163532325009012,0.737332963155404
57,1,74572,0.0569474268353986,0.163094812287351,0.727171664790234
58,1,75211,0.0594366400039486,0.162794881567427,0.715254360428788
59,1,76030,0.12124979515651,0.162697676099931,0.456618913056101
60,1,80108,-0.0198528213033155,0.162783687511175,0.903001443223523
61,1,81262,-0.0815827449604197,0.162667630949969,0.616310594721242
62,1,81999,-0.105380243960331,0.163026518943748,0.518440758213152
63,1,82431,-0.156799201546164,0.163682538106849,0.338745089042067
64,1,83284,-0.0730858350872228,0.162656007394982,0.653471090632037
65,1,83613,-0.0346834815980431,0.162674112905988,0.831287523609297
66,1,84112,-0.0504859376841174,0.16268032486905,0.756486843046724
68,1,84858,0.0889394701826936,0.163093027787018,0.585871184047756
69,1,85751,0.0137775295654243,0.163830708209283,0.933027667225238
70,1,87445,-0.00501193121252838,0.16417846277577,0.975663744102351
71,1,87467,-0.0706103268028007,0.164995366334815,0.668946023320301
72,1,89070,0.0028521769519099,0.164005169900293,0.986134693871013
73,1,89616,0.012880043812761,0.163121533929719,0.937109338168823
74,1,89679,0.00728594183254391,0.163143170200708,0.964403726550302
75,1,89880,0.0136706131608205,0.163183345783267,0.933283161371924
76,1,91472,0.0494889791968106,0.164375151232474,0.763535814869422
77,1,93789,-0.00710057608703793,0.162702076671154,0.965214780681296
78,1,94351,-0.0581126601505553,0.163101394625127,0.721830448792948
79,1,99148,-0.0550496265806362,0.162676131329596,0.735262844861649
82,1,106800,-0.0370522030315745,0.162910046431334,0.820213564739569
83,1,107970,-0.010981975983802,0.162438251063008,0.946136694908846
84,1,109000,-0.00291448426825455,0.162725501674407,0.985720424407112
85,1,112549,-0.118651106095916,0.162418642834607,0.465553042471523
86,1,112742,-0.0593423675259881,0.163144059540444,0.716268332705377
87,1,113050,-0.0260458032035093,0.162894225631594,0.873056056381775
88,1,113135,-0.0717254700566083,0.162440356301395,0.659085528634026
89,1,114076,0.0211153764326172,0.162481322233298,0.896675483922907
90,1,114628,0.0710711140287152,0.162852341204734,0.6628028573637
91,1,116283,0.0314649906181376,0.163793718969813,0.847773295421065
93,1,127853,0.0676759091382518,0.163457615734612,0.679105587842622
94,1,128302,0.0801212831447611,0.16281344325896,0.622951123878138
95,1,128704,0.0512285016699115,0.163008602880356,0.753502620161015
96,1,128911,0.128968849797993,0.162904892161396,0.429077842694379
97,1,130267,0.0840052801912083,0.162910816126819,0.606420314990853
98,1,130271,0.0797799335534149,0.163110325250014,0.62506305975611
99,1,130613,0.119579842273096,0.16456733277221,0.467933156113608
100,1,132012,-0.0998490432552411,0.164254838580183,0.543650632622345
101,1,133231,-0.138300580601338,0.16300851466009,0.396775987538451
102,1,137074,-0.133225458986605,0.162788200627139,0.41368234751994
103,1,137304,-0.193130220610847,0.162674752868601,0.235940358681151
104,1,139686,-0.104976353542563,0.163117740996788,0.520277472334307
105,1,149562,-0.150949430754125,0.163388337669328,0.356185569114403
106,1,150447,-0.10254753550331,0.165310205799498,0.535438201344314
108,1,154084,-0.132392223866756,0.165761580079918,0.425006835742971
110,1,157269,-0.189507023133518,0.162587558617271,0.244575695085434
111,1,160054,-0.182644904056739,0.164160225390805,0.266636739719371
112,1,166222,-0.160522028111931,0.163007761905821,0.325420945748868
113,1,166416,-0.171274988481648,0.162644852927263,0.293033212868303
114,1,167326,-0.190891462210211,0.163510452939121,0.243813736053
115,1,168836,-0.18261348736377,0.162759495588248,0.262632005692369
116,1,171200,-0.207079935572065,0.162921237210872,0.204550199361067
117,1,171431,-0.26050862124383,0.163727017663102,0.112478648450636
118,1,173339,-0.256722240735676,0.162461676128296,0.114956240916313
119,1,173845,-0.242813543537734,0.162386666632777,0.135734793639164
120,1,175121,-0.247811266387184,0.162041225352382,0.12708318932654
121,1,175281,-0.219591275885296,0.162295026594438,0.17690950804549
122,1,175315,-0.235675270379506,0.162179732385158,0.147063996595087
123,1,175523,-0.213210114916428,0.163191666233111,0.192232733631623
124,1,175541,-0.228275453578445,0.162464444704025,0.1608770519815
125,1,175653,-0.241603926454746,0.162926968577727,0.138993970550112
128,1,175856,-0.208248077398134,0.165761581955831,0.209834055556745
129,1,175876,-0.197622359625191,0.163247240241836,0.226869817715792
130,1,175989,-0.19088317572555,0.163737592980668,0.244487605854346
131,1,176001,-0.195940457997557,0.164577217491282,0.234623008159338
133,1,177692,-0.286302020497769,0.1619487708117,0.0779488629101789
134,1,178191,-0.279294966873708,0.162145619412182,0.0858558054236077
135,1,178224,-0.286302020497769,0.1619487708117,0.0779488629101789
136,1,178960,-0.315703038926444,0.163099998246769,0.0537099383784505
140,1,183802,-0.328646938004268,0.161741462888209,0.04290942604715
141,1,183954,-0.299242518709315,0.163093133337857,0.0673773769294645
142,1,184450,-0.203482126766881,0.162072749751565,0.210128205403581
144,1,184718,-0.273807396130674,0.162705761726278,0.0932907005259578
145,1,185296,-0.215851540909908,0.16225788850579,0.184278492612687
146,1,185438,-0.179622541693301,0.162390606856658,0.269430379415673
147,1,185469,-0.189527120470569,0.162593932556453,0.2445442215579
148,1,185503,-0.17628507120241,0.162214080552888,0.277891760754823
149,1,185705,-0.196327819534512,0.163968578881491,0.231973480439068
150,1,185749,-0.179304482780205,0.164023808132513,0.275068410563249
151,1,185806,-0.225997562090575,0.164080278020233,0.169273757275429
152,1,185879,-0.192767125624847,0.164996888645743,0.24347111740252
153,1,185916,-0.10396178976454,0.165147717702377,0.529423814232152
154,1,185941,-0.0925134694206937,0.165887137690471,0.577410098566387
155,1,185954,-0.136733934688739,0.166285697743795,0.411470812810671
156,1,186055,-0.163536455018326,0.162890583715993,0.316083147182731
157,1,186896,-0.169531936585128,0.165551600191676,0.306516265161572
161,1,190132,0.0457098275774004,0.163311774138433,0.779723510965523
162,1,190148,0.0712275361447715,0.163335164247481,0.663043754457352
163,1,190165,0.0500625187471809,0.164613034335067,0.761213799645551
164,1,190169,0.0822888294144155,0.164370954705356,0.616944394743536
165,1,190933,-0.0663703035801262,0.163057613973024,0.684228313785219
166,1,192149,0.217898030644222,0.164019786469341,0.184875711214931
168,1,192303,0.0978275111624147,0.195955262526399,0.617925597761792
171,1,192795,0.255221017179188,0.162219355178201,0.116543320221905
173,1,194187,0.102535759504962,0.162830552563119,0.529292769744085
174,1,194867,-0.0457128706701005,0.162815140520815,0.779054766690029
190,2,8314,0.136688832079563,0.165430449014207,0.409213802752921
194,2,8498,0.0523932951312078,0.165324314811809,0.751497552497085
195,2,8651,0.0458293460763286,0.165484671008847,0.781988172809715
197,2,9812,0.0795079288533624,0.166432239058264,0.633145522813683
198,2,9932,0.0471263994220184,0.165810888122186,0.77641014852108
199,2,10135,0.0431363080934836,0.165178834871629,0.794129800943558
200,2,11616,0.0916684541254598,0.164947307302769,0.578738013876088
201,2,12133,0.0985160238292078,0.165592479902419,0.55227105859375
202,2,12194,0.107445614833918,0.166217778326713,0.518430865444526
203,2,12359,0.0894815576946532,0.165761453718049,0.589660663125921
204,2,13061,0.0977166839091432,0.165736070424155,0.555841289823902
205,2,14298,0.0777602900960309,0.166289260994932,0.640344451146658
206,2,15222,0.0846850768077484,0.167902331160875,0.614315321327929
207,2,17986,0.109345873345269,0.164916790704597,0.507739810397961
208,2,19770,0.0876538918374697,0.166094875002458,0.598015609693085
209,2,19836,0.0917603115884923,0.165631893770707,0.579928609914415
210,2,19851,0.0888382790298737,0.166121760677699,0.593139990535253
211,2,21595,0.0666934377843721,0.165464575276095,0.687142378338054
212,2,22385,0.0718970637596176,0.165615046818765,0.664465379081849
213,2,23441,0.0775592955392963,0.167217276587547,0.643060113387484
214,2,24209,0.136067783341789,0.165732760619364,0.412196288993712
215,2,24341,0.156279783504397,0.166075129229428,0.347338838517123
216,2,26815,0.195494183742555,0.165757779269155,0.239034494951247
217,2,28209,0.243227887487714,0.165634786733168,0.142870108642174
221,2,41245,-0.0128857283649941,0.165501226295707,0.937984478563255
222,2,43214,-0.114862473579235,0.16807475726179,0.494801735025918
223,2,47104,0.0438155018165817,0.163480666150353,0.788843227283007
224,2,50915,0.090421064403614,0.165033547574642,0.584110243011707
225,2,55834,0.0505825482568282,0.164318736008341,0.758391798394539
226,2,56422,0.0984410239655163,0.164551203955972,0.550063799844199
227,2,57715,0.0790960716755122,0.164037879175149,0.629975672913998
228,2,59046,0.0966167828104209,0.164841792576465,0.55817062506803
229,2,59191,0.0904919027391758,0.163906948636549,0.581233900272115
230,2,59383,0.131609610851538,0.163875277661526,0.422452498801431
231,2,59477,0.0802820582676508,0.166438050442585,0.629853452604055
233,2,60471,0.0515064052657426,0.164222957788297,0.753981958893861
234,2,60478,0.0650434408667762,0.164396815242045,0.692602965651423
235,2,60786,0.0753344259319927,0.164113914804929,0.646489827692916
236,2,61035,0.109956929721002,0.164046689857692,0.503118677658019
237,2,61071,0.134048422099238,0.163250563519731,0.4121316890506
238,2,61675,0.0757589151774142,0.163827214759748,0.644056595380208
240,2,62939,0.117536252190182,0.163473906513398,0.472622194456771
241,2,63527,0.134117323511934,0.164052409090569,0.414178596132348
242,2,63857,0.137954441862097,0.164081631501059,0.401047544663153
243,2,65527,0.0483281458406955,0.163684134254879,0.767974599537835
247,2,67976,0.0899499117883248,0.1659932175836,0.588236796198247
250,2,72389,0.181952250473126,0.164753781686156,0.270176682606249
251,2,72392,0.0853037258447982,0.166098341355279,0.607871424984521
252,2,73646,0.157919880134388,0.162536589457992,0.331916905483728
253,2,74564,0.173439325442009,0.162171683405107,0.285584315677553
254,2,74739,0.260634072666651,0.162376814747805,0.10936188182504
257,2,80873,0.291430363162725,0.162619021941581,0.073972430186405
258,2,81501,0.294634205964399,0.162575323401988,0.0707903428132156
259,2,83526,0.296173078597209,0.162312842704402,0.0688906110623372
260,2,83845,0.346743922220428,0.162184854311911,0.0332067043782737
263,2,84447,0.313654538657162,0.164470500353832,0.0573247752649555
264,2,87391,0.357384105146244,0.16139366303282,0.0274421826890981
265,2,87562,0.369695288234161,0.161729379454612,0.0228528467580452
266,2,87849,0.359926244016578,0.161776254096001,0.0267236218978943
267,2,87878,0.345692178798349,0.162568688389974,0.0341601815586398
269,2,89785,0.3251370270508,0.162707123224005,0.0464512231097715
272,2,93721,0.314293831493334,0.162270761283811,0.0535615753523503
273,2,93952,0.27954282132595,0.161982218446103,0.085265247153165
274,2,95085,0.349246327246722,0.161827026555297,0.0315903317733083
276,2,107124,0.454616907767438,0.1611658749983,0.00506117060164562
277,2,111645,0.490592241743609,0.160972476126214,0.00247999639882004
278,2,111916,0.463592190711464,0.161587871087514,0.00436578219292842
