SNP,Chr,Pos,Effect,SE,ADE17_GIS2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0133025420241715,0.151744087099755,0.930193188213164
9,1,27272,-0.172005453843302,0.149186226606129,0.249707741084531
16,1,27843,-0.024387286880462,0.145924650126699,0.867369385251656
17,1,27848,-0.024387286880462,0.145924650126699,0.867369385251656
18,1,28495,0.108267292921043,0.145818968988984,0.45829189378308
19,1,28975,0.0717726727147168,0.144906964518639,0.62069531185926
26,1,31435,-0.0156144976048602,0.144570859159051,0.914052418980439
29,1,36146,-0.0988417137222212,0.143731522285514,0.492104068485146
31,1,37409,0.0542097185918056,0.144576636011225,0.707919176820143
32,1,37478,0.0387223427511275,0.144715057253705,0.789181622230295
33,1,39144,-0.0282244143407654,0.144061461560895,0.844786097304374
34,1,41499,-0.0801828487733329,0.143606277615274,0.576958031066063
37,1,51248,-0.0258413749923575,0.144274646587905,0.857952222347459
38,1,51462,-0.0371184640873522,0.144463340684604,0.797374500410678
39,1,52124,-0.204781944739415,0.143868924739746,0.155505631600336
40,1,52667,-0.247057204468043,0.143448542827735,0.0858964280508628
42,1,59265,-0.117501288398397,0.143841411142186,0.414547494837169
43,1,60165,-0.176371040255468,0.143561921094264,0.220064105449012
44,1,62308,-0.234621541406719,0.143166697059385,0.102145899596266
45,1,62869,-0.289708273698536,0.142862494708663,0.0433229712267949
49,1,66841,-0.33752846086782,0.142633055103469,0.0185008136346267
50,1,66948,-0.33759626034121,0.143521802751418,0.0192098608791975
51,1,68621,-0.307100625741054,0.143321330363219,0.0328171938342418
52,1,69417,-0.200919917853075,0.143470509272505,0.162263959649124
56,1,74327,-0.286620041244175,0.143852852337822,0.0470911296017421
57,1,74572,-0.307305728892796,0.143344209090658,0.0327291452451266
58,1,75211,-0.283947039969935,0.143216157166747,0.0481817673438771
59,1,76030,-0.267059356824817,0.143308157738104,0.0632175808281849
60,1,80108,-0.296368907149775,0.143110588631492,0.0390937084827799
61,1,81262,-0.210302984442516,0.143486944265116,0.143631256276938
62,1,81999,-0.0929106625891662,0.144189577607247,0.51975750126876
63,1,82431,-0.0922638503811816,0.144874104881064,0.524631836245343
64,1,83284,0.00978441776626215,0.14390153428141,0.945829034966424
65,1,83613,0.0232985618603365,0.14388127576523,0.871454351210434
66,1,84112,-0.0118292279611717,0.143901099258244,0.934531182945017
68,1,84858,0.06196881180832,0.144270916674785,0.667798990345406
69,1,85751,-0.0299506162555326,0.144892990767837,0.836356678378631
70,1,87445,0.0264832637291117,0.145201230305233,0.855381309466207
71,1,87467,0.00887476738298999,0.145967478521958,0.951553199456818
72,1,89070,-0.0593970763131874,0.145020218788653,0.682364034537651
73,1,89616,-0.00117238703444289,0.14427433854515,0.993520975686077
74,1,89679,-0.0501994029212224,0.144267882651337,0.728077881420733
75,1,89880,-0.0225161994516746,0.144324206757722,0.876113335117274
76,1,91472,-0.0323651864169141,0.14539030166298,0.823968594216977
77,1,93789,-0.0930101197469008,0.143817300846787,0.518230775004041
78,1,94351,-0.0472562886597712,0.144259277494976,0.743424300309314
79,1,99148,-0.0898891387454056,0.143822922690224,0.532375705583071
82,1,106800,-0.182261738437318,0.143769676385895,0.205728451638747
83,1,107970,-0.146249157779129,0.143458651559617,0.308686768954947
84,1,109000,-0.0332286914916616,0.143912005100665,0.817529443197295
85,1,112549,-0.142910545448339,0.143558582824123,0.320181883395675
86,1,112742,-0.130932454898026,0.144151688194232,0.364341333478688
87,1,113050,-0.167868807846906,0.143799946731712,0.243845920878014
88,1,113135,-0.123603411200983,0.143559620085945,0.389827925320423
89,1,114076,0.0514934854369123,0.143684142687292,0.720273375239816
90,1,114628,0.0363157269261656,0.144060874755976,0.801121312432633
91,1,116283,0.0151103963301674,0.14487293278723,0.916989693908393
93,1,127853,-0.0211373861653615,0.144601047368605,0.883864889008381
94,1,128302,0.000957226527415922,0.144049963329321,0.994701769404762
95,1,128704,-0.0284192153335506,0.14418542954101,0.843861270191722
96,1,128911,-0.0181518639467164,0.144206085916152,0.89990295514873
97,1,130267,-0.165589420389976,0.143871265563277,0.250529570720094
98,1,130271,-0.167297327672664,0.14403707151591,0.246228272229189
99,1,130613,-0.0990606579487017,0.145565174680019,0.496618558965329
100,1,132012,-0.144340805713915,0.145148281308384,0.32069137944708
101,1,133231,-0.0999127540238764,0.144222032360211,0.488909155490519
102,1,137074,-0.047457475057228,0.144092649187192,0.742083543820889
