SNP,Chr,Pos,Effect,SE,HUG1_ALO1_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0719948466928502,0.0598923096566114,0.230141535801779
9,1,27272,-0.139312866764306,0.058646596213912,0.0180603203141563
16,1,27843,0.00468738422613525,0.0577142956754542,0.935315376616344
17,1,27848,0.00468738422613525,0.0577142956754542,0.935315376616344
18,1,28495,0.031678998626145,0.0576911353279834,0.583274526796393
19,1,28975,0.0118526549870709,0.0573265015044893,0.836318853501043
26,1,31435,0.0341773384251796,0.0571491346294897,0.550198247466183
29,1,36146,0.0260508200417051,0.0568663427233915,0.647158069230749
31,1,37409,0.00237234591526683,0.0571906642426633,0.966935613054299
32,1,37478,0.00987478898746486,0.0572375541184663,0.863125328481152
33,1,39144,-0.0371120086730439,0.0569445180809378,0.515004457881782
34,1,41499,-0.0533882980177939,0.0567496229509543,0.3474664670688
37,1,51248,-0.00266828881210257,0.057062398778604,0.962730239342343
38,1,51462,-0.00230623477913913,0.0571398209789018,0.967827938104437
39,1,52124,-0.011850165147688,0.0570590896802301,0.835596771232519
40,1,52667,-0.0702591036568813,0.0568482639868433,0.217315341482036
42,1,59265,0.0379989167000837,0.0569064559018645,0.504733645068927
43,1,60165,-0.0191616629304283,0.0568902139855088,0.736454061768048
44,1,62308,0.00904699693383648,0.0568347382321614,0.873617494445207
45,1,62869,-0.0258662296136283,0.0568129612578641,0.649182338800631
49,1,66841,0.00140649118459413,0.0568563734947198,0.980278228212918
50,1,66948,0.0029446825947449,0.0572051426864228,0.958975471432166
51,1,68621,0.00447820900747226,0.0570498888437261,0.937477696492544
52,1,69417,-0.0413331409913644,0.0568568100220571,0.467726735558189
56,1,74327,-0.0390978166760378,0.0571743254731149,0.494527873512925
57,1,74572,-0.0218431174850994,0.0570480211160958,0.702031771600002
58,1,75211,-0.0428533434699093,0.0569101633253302,0.451951894939125
59,1,76030,-0.0027078656257184,0.0569556688098247,0.962107034761138
60,1,80108,-0.0213132407739607,0.056931083800135,0.708354482708859
61,1,81262,-0.0239889686960713,0.0569065355183326,0.673609850096919
