SNP,Chr,Pos,Effect,SE,PLM2_SNA3_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0145414009205334,0.072320892752895,0.840761383627871
9,1,27272,-0.000124768693088972,0.0712388757853787,0.998603564650745
16,1,27843,0.0043205539250886,0.0695529587257512,0.950503295525808
17,1,27848,0.0043205539250886,0.0695529587257512,0.950503295525808
18,1,28495,0.043687986283801,0.069515586016049,0.530106971348057
19,1,28975,0.0167091530451826,0.0690838091539579,0.809023001471898
26,1,31435,-0.0113414263768853,0.0689038381940307,0.869354702524402
29,1,36146,-0.00550043105396997,0.0685505463209806,0.936092598944896
31,1,37409,0.0488619403158814,0.0688727345732789,0.478511986573551
32,1,37478,0.0391738823581428,0.0689495479902952,0.570292397472827
33,1,39144,-0.0648171137329492,0.0685795705304412,0.345235224473523
34,1,41499,-0.0304372092553156,0.0684566568688517,0.656866757264649
37,1,51248,-0.0910576311060158,0.0685962914451876,0.185220197118344
38,1,51462,-0.0953378002006017,0.0686733193381055,0.165927246526617
39,1,52124,-0.0684208083840645,0.0686707948853253,0.319757923067047
40,1,52667,-0.0729300811668131,0.0685472614578819,0.288083733177602
42,1,59265,0.04612992963521,0.0685785054993484,0.501604512198595
43,1,60165,-0.0163385375968345,0.0685650726451461,0.811792558630995
44,1,62308,-0.0437631503851624,0.0684555577083604,0.523047047530933
45,1,62869,-0.044768462733672,0.0684451081526982,0.513487214097535
49,1,66841,-0.0183850927881914,0.0685118609284457,0.788587402869812
50,1,66948,-0.0100422254158054,0.0689372849869298,0.884263548731919
51,1,68621,0.00373413879589551,0.068752311425886,0.956716581056656
52,1,69417,0.0200796971289803,0.0685622579818453,0.769795063306707
56,1,74327,-0.0398949410860508,0.0689148779832559,0.563024686996431
57,1,74572,-0.0728799293451281,0.0686545272140098,0.28916762173354
58,1,75211,-0.0452788404703509,0.0685963513938076,0.509635185430076
59,1,76030,-0.0180354910197124,0.0686319591087781,0.792869132510353
60,1,80108,-0.0273135687967795,0.0686070423426584,0.690785267317691
61,1,81262,-0.108226880485546,0.0683542126127074,0.11424305364558
62,1,81999,-0.141662206441938,0.0683493996593898,0.0389331824733261
63,1,82431,-0.0987480569934004,0.0688893306261886,0.152619994739652
64,1,83284,-0.156702248699486,0.0680777769476532,0.0219274165413551
65,1,83613,-0.125753375413815,0.0682518205764998,0.0662417820405667
66,1,84112,-0.12030901905252,0.0682872077025794,0.0789671228127643
68,1,84858,-0.0931890632470212,0.0686012808311323,0.175199255738804
69,1,85751,-0.113270283472635,0.0687994176161196,0.10057461096093
70,1,87445,-0.126977670482018,0.0688782820034399,0.0660929131719351
71,1,87467,-0.152837076998784,0.0690941493831379,0.0276056929499697
72,1,89070,-0.108411357190016,0.0688947269835881,0.116480410758584
73,1,89616,-0.116171047024147,0.0684854679833486,0.0907130407393361
74,1,89679,-0.0858929019922763,0.0686206146135669,0.211505449847285
75,1,89880,-0.105351416499237,0.0685612414571673,0.125286346678616
76,1,91472,-0.0909052200151489,0.0691316617664892,0.189377657915185
77,1,93789,-0.0858994482333176,0.0684342270319877,0.210232191732293
78,1,94351,-0.077101351848918,0.0686447344486673,0.262118425206369
79,1,99148,-0.0982590973961429,0.068387100062225,0.151658406321135
82,1,106800,-0.0632645555328392,0.0685967004105102,0.357018606715381
83,1,107970,-0.0989558866348994,0.06827296803908,0.148109427193545
84,1,109000,-0.0956932209328021,0.0684071545440132,0.162727752827903
85,1,112549,-0.0670011949026398,0.0684259852720599,0.328162797020307
86,1,112742,-0.0423129075118081,0.0687489209189733,0.53864088049172
87,1,113050,-0.0702972016393487,0.0685680745972994,0.305962517148675
88,1,113135,-0.0760492022414117,0.0683754715914661,0.266796457694973
89,1,114076,-0.0451856059101986,0.0684529396853019,0.509621813702856
90,1,114628,-0.0254378102079216,0.0686551064043078,0.711220341099138
91,1,116283,-0.169999419366555,0.068454993472985,0.013478032738992
93,1,127853,-0.0983257821653557,0.0687228419538712,0.153384090606227
94,1,128302,-0.129126433631742,0.0683122270912562,0.0595449430730037
95,1,128704,-0.121480896359017,0.068420591555936,0.0766765411974797
96,1,128911,-0.118839026851789,0.0684413724445007,0.0833722255103732
97,1,130267,-0.13909796732044,0.0683003704310893,0.042439774627391
98,1,130271,-0.134383614554036,0.0684090862231539,0.0502665150083676
99,1,130613,-0.111354327025851,0.0691713021182705,0.108327908458795
100,1,132012,-0.119267889107806,0.0689859382454496,0.084706246989574
101,1,133231,-0.131104197259626,0.0684309428092553,0.0561902530653933
102,1,137074,-0.109803904912961,0.0684388909054505,0.109518409817868
103,1,137304,-0.116125498905085,0.068433297460124,0.0905941819716188
104,1,139686,-0.112496634077198,0.0685411094868605,0.10162543032189
105,1,149562,-0.1430170144059,0.0685376912353266,0.0376331670372419
106,1,150447,-0.185629441851393,0.0690204530779215,0.00749599123073848
108,1,154084,-0.109842098892443,0.069694650029291,0.115910524775271
110,1,157269,-0.144340050391319,0.0682389919489019,0.0351118811841385
111,1,160054,-0.138594853760842,0.0689289069549468,0.0451179631351363
112,1,166222,-0.109842043968061,0.0685609649844558,0.110026241404412
113,1,166416,-0.109682733135512,0.0684214865293094,0.109819044250771
114,1,167326,-0.130731340002449,0.0687088764131527,0.0578951403155158
115,1,168836,-0.0888829876321581,0.0685700300602402,0.195740757489841
116,1,171200,-0.0280852218199968,0.0688197280812541,0.683448842306577
117,1,171431,-0.0253948258538705,0.0692525185707703,0.714063292819549
118,1,173339,-0.0236006831846093,0.0687155712300239,0.731460908475307
119,1,173845,-0.00372408426065352,0.0686697947127792,0.956781191048463
120,1,175121,0.000911467696982554,0.0685339097969141,0.989396349081291
121,1,175281,-0.0162001664031899,0.0685867596395865,0.813414765513283
122,1,175315,-0.0167101996581819,0.0685648189014872,0.807593979103588
123,1,175523,-0.0329865608326865,0.0689367507994268,0.632587240926694
124,1,175541,-0.0165015020230617,0.0686720524696944,0.810241607486915
125,1,175653,-0.0127792534285872,0.068891629656372,0.852945056690929
128,1,175856,-0.0283804262558991,0.0700160672798449,0.685471964933382
129,1,175876,-0.00668312387380884,0.068958187020119,0.922848422574111
130,1,175989,-0.00672135426875259,0.0691549307721506,0.922628526031479
131,1,176001,-0.00451946797709474,0.0695157888688671,0.948200016212723
133,1,177692,-0.0342867262088943,0.0685462993837358,0.617247299377319
134,1,178191,-0.0221739810795373,0.0686285247156648,0.746809662042185
135,1,178224,-0.0342867262088943,0.0685462993837358,0.617247299377319
136,1,178960,-0.0495168847669687,0.0690679845557868,0.473891601016242
140,1,183802,-0.0277538473490652,0.0685633104717328,0.685875931699087
141,1,183954,-0.042136801330011,0.0690420822170065,0.542051783643716
142,1,184450,-0.0235994398632117,0.0684621519967803,0.730519310813549
144,1,184718,-0.0278336157592387,0.0688467856417517,0.686249129574926
145,1,185296,-0.0223953610182,0.0685602259708851,0.744124411444109
146,1,185438,-0.0233782756955014,0.0685625345285455,0.733323438790751
147,1,185469,-0.0197560056848853,0.068664739747444,0.773732295085701
148,1,185503,-0.0197567353367664,0.0684871022015295,0.773153388924765
149,1,185705,-0.0215002272629163,0.0692512486868119,0.756389079147587
150,1,185749,-0.0420953956045281,0.0692244542713206,0.54351214638382
151,1,185806,-0.0157090185993903,0.0693481448276163,0.820925015238041
152,1,185879,-0.0335940863445374,0.0696653658864635,0.629947984689011
153,1,185916,-0.0223489510233007,0.069646455609451,0.748482554852806
154,1,185941,-0.042489085494749,0.0699234865420521,0.543809586901399
155,1,185954,-0.0456465555093983,0.0701222858294667,0.51549808753261
156,1,186055,-0.0285293342833721,0.0687472550251107,0.678402273605751
157,1,186896,-0.0439225084197684,0.0698522777670376,0.529892320610468
161,1,190132,-0.136385576617398,0.0684675134782211,0.0471437974171314
162,1,190148,-0.140686771301791,0.0684637437414672,0.0406233120687802
163,1,190165,-0.140508000926069,0.0689971362711935,0.0424528935316034
164,1,190169,-0.148035145456127,0.0688654266156287,0.0322636604561707
165,1,190933,-0.122865479391058,0.0684408881037577,0.0734761873077651
166,1,192149,-0.125210610720754,0.0689935845497464,0.0704009089673972
168,1,192303,0.0799218679826992,0.0825239741593614,0.333473521761673
171,1,192795,-0.100419085029117,0.0684139832933471,0.143044856424579
173,1,194187,0.0138584513196896,0.0686753339433754,0.840191951206372
174,1,194867,0.0960882714901754,0.0684511312955055,0.161272428658998
190,2,8314,0.0387797044246926,0.0697736130030776,0.578704273108718
194,2,8498,0.0120502258095421,0.0696989539159687,0.862837276213277
195,2,8651,0.0290066972790313,0.0697500827242719,0.677760661111976
197,2,9812,0.0685550649367201,0.0700867919565545,0.328672336269361
198,2,9932,0.0606892996135578,0.0698304325995373,0.385385538865642
199,2,10135,0.0529348405868412,0.0695803723522832,0.447300773953494
200,2,11616,-0.00552062099088135,0.0695628560455987,0.936789964323782
201,2,12133,0.0233648067365816,0.0698289498734248,0.738125131067116
202,2,12194,0.0429406130896645,0.0700728247002051,0.540403301892172
203,2,12359,0.032551690019284,0.0698836286331233,0.641646997972114
204,2,13061,0.0182638578100836,0.0698931978774354,0.794005115426639
205,2,14298,0.0358324630590395,0.0700945290764982,0.609529207370085
206,2,15222,0.00851651862810709,0.0708027945744722,0.90432576774715
207,2,17986,-0.0143580768188046,0.06955927883714,0.836585776657208
208,2,19770,-0.0163980707403815,0.0700389957633888,0.815021551074606
209,2,19836,-0.0156144043631653,0.0698470531056931,0.823235722840886
210,2,19851,-0.0100572039035467,0.0700544686532356,0.885927767370734
211,2,21595,-0.0344352166658046,0.0697430886536484,0.621794198879024
212,2,22385,-0.0196298920539062,0.0698253664052234,0.778776645127227
213,2,23441,-0.01198012366746,0.0705085572100347,0.865178085198253
214,2,24209,-0.0290238660030554,0.0699137770567624,0.678293081529083
215,2,24341,-0.0163819903788572,0.0700908265478567,0.815333829447564
