SNP,Chr,Pos,Effect,SE,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0622340253987532,0.151693657120522,0.681863219063674
9,1,27272,-0.0486120191705799,0.149428781480883,0.745132398127661
16,1,27843,0.0059482485102145,0.145914768141288,0.967506108164355
17,1,27848,0.0059482485102145,0.145914768141288,0.967506108164355
18,1,28495,0.0201737849465764,0.145913523582351,0.890114956360496
19,1,28975,-0.00541907652909804,0.144941812462632,0.970196818545483
26,1,31435,-0.0397431502482158,0.144542601481044,0.783509334444313
29,1,36146,-0.10718826831521,0.14369947217062,0.456212343003543
31,1,37409,-0.0219209841656354,0.14458554408443,0.879579137008615
32,1,37478,-0.0240641610370715,0.144708879040922,0.868021105411737
33,1,39144,-0.0420579513710476,0.144036784063345,0.770462343364639
34,1,41499,-0.0707995719395755,0.143605171064084,0.622308192896156
37,1,51248,-0.178201226448977,0.143953943453251,0.216574186943395
38,1,51462,-0.176271337451564,0.144156714781917,0.222230135363626
39,1,52124,-0.103715975780475,0.14416041121913,0.472340714583235
40,1,52667,-0.211543458459947,0.143594108787234,0.141587062862844
42,1,59265,0.0738258810501737,0.14390856142181,0.608268370795091
43,1,60165,0.040820502782148,0.143837000414915,0.77673236788134
44,1,62308,-0.0783175596884907,0.143634727900749,0.585922460761982
45,1,62869,-0.065535632551023,0.143634806060033,0.648479525179992
49,1,66841,-0.0276640072942032,0.143737325861059,0.847490819190505
50,1,66948,-0.060686933850761,0.144590972764165,0.674949326644032
51,1,68621,-0.244393456502782,0.143647503615857,0.0897594513493963
52,1,69417,-0.144704710574848,0.143647083361787,0.314450525692309
56,1,74327,-0.0552984555151377,0.144614355926951,0.702405445114791
57,1,74572,-0.030824328905999,0.144249885105306,0.830914496927025
58,1,75211,0.016200523620429,0.143993661080893,0.910484111339914
59,1,76030,0.0448318700429549,0.143976470916733,0.755693051116569
60,1,80108,-0.05664373875408,0.143930624296677,0.694151708442774
61,1,81262,-0.0623032272960643,0.143869560274394,0.665240327940738
62,1,81999,-0.115518764004368,0.144128129138723,0.423381148397068
63,1,82431,-0.144606935760575,0.144737603131979,0.318431967011819
64,1,83284,-0.0371383683545331,0.143873799979574,0.79645580420162
65,1,83613,-0.0264502851171284,0.143864634611838,0.854232485516426
66,1,84112,-0.0600171963197816,0.143851914901369,0.676774673919722
68,1,84858,0.0736164360830786,0.144240264308369,0.610108673134094
69,1,85751,-0.0238902676184754,0.144880976527082,0.869120366783134
70,1,87445,-0.0325730119370548,0.145182485410682,0.822607695702152
71,1,87467,-0.105185808228358,0.145845514581586,0.471255322389823
72,1,89070,-0.0463303907414618,0.145018489896012,0.749552147820279
73,1,89616,-0.0233315563215053,0.144253869496879,0.871603489548447
74,1,89679,-0.0619888156919366,0.144239752950122,0.667630733796155
75,1,89880,-0.0464848577454051,0.144292828931388,0.747524916680522
76,1,91472,-0.0208455949514803,0.145381017069682,0.886067194498105
77,1,93789,-0.0530247176361486,0.14385969774951,0.712657038885908
78,1,94351,-0.108363167617125,0.144150727271443,0.452711257613092
79,1,99148,-0.0749448319860601,0.14383207624647,0.602653180958595
82,1,106800,-0.118530117299234,0.143943283026868,0.410808020716705
83,1,107970,-0.0269779241455095,0.143647427118642,0.851136228208476
84,1,109000,-0.0274898978705948,0.143900333184176,0.848608553734921
85,1,112549,-0.206379404646323,0.143324555829015,0.15076935102781
86,1,112742,-0.185123522327701,0.143968118602929,0.199333121100982
87,1,113050,-0.16870281143208,0.143782035474045,0.24145726483164
88,1,113135,-0.186122150221102,0.143353327053827,0.195016217172106
89,1,114076,-0.0720811286568906,0.143643977055222,0.616118196567039
90,1,114628,-0.0134564375516367,0.144056944233626,0.925630407817664
91,1,116283,-0.0347422482389741,0.144848161843465,0.810583529905984
93,1,127853,0.0185447742074547,0.144586882484091,0.898015926168892
94,1,128302,0.0389688968006008,0.144019923978734,0.786872290094521
95,1,128704,-0.00438431807709294,0.14417804553584,0.975758008763053
96,1,128911,0.056553886568985,0.14416277051056,0.695079299721101
97,1,130267,-0.0332900931827128,0.14411494932794,0.817451108385423
98,1,130271,-0.03928708851629,0.144281747932256,0.78555498679242
99,1,130613,0.0620023318813239,0.145607955204998,0.670500756082725
100,1,132012,-0.173659557440102,0.145041989070805,0.231990931995778
101,1,133231,-0.192563004259937,0.143940471803801,0.181824117124471
