SNP,Chr,Pos,Effect,SE,SSH1_ORM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0380208757994214,0.0720901145303324,0.598241866127049
9,1,27272,-0.121867759426079,0.0707386951338222,0.085802700109864
16,1,27843,-0.0344458529382096,0.06933049483458,0.619614310437377
17,1,27848,-0.0344458529382096,0.06933049483458,0.619614310437377
18,1,28495,-0.0448861611149572,0.0693146951539821,0.517683616135002
19,1,28975,-0.0328440949569607,0.0688700676350487,0.633728840097077
26,1,31435,-0.0183127354257082,0.0687028081686748,0.789971269183685
29,1,36146,0.0127417646523822,0.0683520612466094,0.852227385214722
31,1,37409,0.0823216746935913,0.06858519961332,0.230834181300947
32,1,37478,0.0722400777401362,0.0686765441982725,0.293570162508007
33,1,39144,-0.00957693709521759,0.068468315746362,0.888839317806442
34,1,41499,0.043128838364184,0.0682416945447977,0.527795132783362
37,1,51248,0.0402404325810017,0.0685374676059341,0.557491440975361
38,1,51462,0.0431243231626855,0.0686255336824648,0.530147940893547
39,1,52124,0.00724115264128258,0.0685698414567233,0.915957653938182
40,1,52667,-0.0416020760885905,0.0684252129123773,0.543582829701971
42,1,59265,0.0610650018711918,0.0683492607450031,0.372237805666123
43,1,60165,0.0864405074803838,0.0682198233024093,0.205959193024244
44,1,62308,0.0623368325407541,0.0682189534425976,0.361458334170286
45,1,62869,0.0419054396390183,0.0682545777057085,0.539638576730927
49,1,66841,0.147108293778098,0.0678730687399895,0.0308722044093597
50,1,66948,0.126772943061999,0.0684105524086494,0.0646995133814083
51,1,68621,0.157576137772841,0.0680413299148129,0.0211367841862524
52,1,69417,0.118789584989648,0.0680818398271244,0.081888944327469
56,1,74327,0.0811512834639539,0.0686148931806408,0.237721444237299
57,1,74572,0.0912872090205264,0.0683953067023419,0.182834803844436
58,1,75211,0.0733727780817184,0.0683311716815724,0.283653881427663
59,1,76030,0.0764313489811012,0.0683216733145353,0.264029497109371
60,1,80108,0.0247030859788767,0.0684138601909127,0.71825335664899
61,1,81262,-0.0159193469272588,0.0683953767931882,0.816086767539948
62,1,81999,-0.0348212116617224,0.068542616843875,0.611754654197339
63,1,82431,-0.0483072596793035,0.06884425451986,0.483335457158461
64,1,83284,-0.0311918267094153,0.0683707786446329,0.648515384462657
65,1,83613,-0.0288386340743298,0.0683661669690706,0.673408717970994
66,1,84112,-0.0199112510304195,0.0683827203151617,0.771089472376989
68,1,84858,-0.0385066901726482,0.0685533223351004,0.574674006770643
69,1,85751,-0.0241554040030615,0.0688538478236699,0.725931602647492
70,1,87445,-0.0103201712989439,0.0690092415235508,0.881206900674119
71,1,87467,-0.0351546553461082,0.069347467732636,0.612516972479078
72,1,89070,-0.0431260776022531,0.0689002996831531,0.531771883186324
73,1,89616,-0.0311549059532773,0.0685476152786087,0.649748188955263
74,1,89679,-0.0163325671614936,0.0685708418187908,0.81187556990458
75,1,89880,-0.0309491291510083,0.0685739454272278,0.652032538427967
76,1,91472,-0.0222260941819891,0.0690927572891525,0.747881844451335
77,1,93789,-0.0341158229840927,0.0683668224426293,0.618082188790359
78,1,94351,-0.0491179897600994,0.0685210712186493,0.473952733425991
79,1,99148,-0.0575553153648464,0.0683222904430659,0.400129415980642
82,1,106800,-0.0700697291150843,0.0683815596140395,0.306212335602081
83,1,107970,-0.0674461191766714,0.0681858610274352,0.32326673745337
84,1,109000,-0.05548210790469,0.0683368508966776,0.417401031725289
85,1,112549,-0.0170906199246542,0.0683171394024155,0.802604568015832
86,1,112742,-0.0313202896262932,0.0685691215974679,0.648117602626588
87,1,113050,-0.069361319067561,0.0683744042701749,0.311070510435907
88,1,113135,-0.0272484164664672,0.0682841887803471,0.690101854300131
89,1,114076,-0.0316779884898475,0.0682787742090447,0.642968999388672
90,1,114628,0.0395004282420277,0.0684400903987691,0.564203753601163
91,1,116283,-0.0275772008207086,0.0688375640028976,0.688947661999055
93,1,127853,0.0714955986402416,0.068619581704608,0.298165301863961
94,1,128302,0.0641620567873895,0.0683758031109415,0.348693983776714
95,1,128704,0.0366056497060939,0.0685014767872586,0.59341675233731
96,1,128911,0.0401636786804269,0.068503416830137,0.558047409494972
97,1,130267,-0.00452472761765121,0.0685038520377782,0.947374849379528
98,1,130271,-0.012445141131566,0.0685823822566582,0.856108592805487
99,1,130613,0.00131718640121248,0.069226474070528,0.984830151778091
100,1,132012,0.0232005038843996,0.0690685318711936,0.737141648205052
101,1,133231,-0.00920058987549149,0.0685876341447663,0.893365496078138
102,1,137074,0.0207909018422587,0.0684828941673798,0.761617125543975
