SNP,Chr,Pos,Effect,SE,TPO1_TPO2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.026889146007917,0.127993536074889,0.833724826801318
9,1,27272,-0.0764185704951355,0.126013620500441,0.54461835059619
16,1,27843,0.0222780966087296,0.123090453522008,0.856479578538351
17,1,27848,0.0222780966087296,0.123090453522008,0.856479578538351
18,1,28495,0.0583095439642264,0.123059029341014,0.635911259489843
19,1,28975,0.0476968187988224,0.12224896085636,0.696652563541196
26,1,31435,0.0280653345198423,0.121942202798175,0.818106382373961
29,1,36146,-0.0159273716177456,0.12131955735716,0.895625080378281
31,1,37409,0.0593825181811919,0.121937538301309,0.626566757890254
32,1,37478,0.0466834125622702,0.122058062769222,0.702343768629595
33,1,39144,0.0504033629992779,0.121496639036162,0.67850081777847
34,1,41499,0.00182893269687728,0.121189127113855,0.987967662013005
37,1,51248,-0.0255247397800972,0.12169742086184,0.833992095702038
38,1,51462,-0.0192896689773631,0.121865711820834,0.874321736922883
39,1,52124,-0.0195899582602743,0.121700537103684,0.872210257278196
40,1,52667,-0.143874492845736,0.121268418305584,0.236256911899235
42,1,59265,-0.0450410287789307,0.121424993324736,0.71090692533166
43,1,60165,-0.00428024212404896,0.121356667227838,0.971884429862183
44,1,62308,0.0264876708577451,0.121215216891626,0.827152042059279
45,1,62869,0.0625348367846859,0.121162482014515,0.606091105251017
49,1,66841,0.0701265312910594,0.121207859181313,0.563252192083471
50,1,66948,0.0580765643607958,0.121970370859936,0.634259907213687
51,1,68621,-0.150164408520617,0.121416232664662,0.216993275276184
52,1,69417,-0.0737574400651687,0.121293368993362,0.543517970077555
56,1,74327,0.041336019752015,0.122004256647191,0.734955809809104
57,1,74572,0.0630952863636972,0.121652882098903,0.604329689109929
58,1,75211,0.0707231267966426,0.121419043514281,0.560621016330791
59,1,76030,0.080131034511605,0.121402486255099,0.509655750748898
60,1,80108,-0.000830411964474309,0.121448647830548,0.994548324364461
61,1,81262,0.0416262166419104,0.121382524512416,0.731852102037649
62,1,81999,-0.0783788066325502,0.121627704277055,0.519724402537004
63,1,82431,-0.124761595088646,0.122094874487883,0.307555750272887
64,1,83284,-0.0889423776728479,0.121293193832368,0.463871819065274
65,1,83613,-0.0653952709633626,0.12132224429347,0.59021195190031
66,1,84112,-0.0841674198288251,0.12130284617532,0.488225175844216
68,1,84858,0.0182096175495453,0.121724267179166,0.881167798309634
69,1,85751,-0.0422466246125994,0.122207775566088,0.729777818286834
70,1,87445,-0.0198968366983159,0.122482264378706,0.871047065049844
71,1,87467,-0.0697040211678193,0.123072161426195,0.571504158840136
72,1,89070,-0.0763172206128979,0.122290004733227,0.532986325616956
73,1,89616,-0.00109883270115341,0.121699211032219,0.992801029680081
74,1,89679,-0.0303566619971714,0.121703911582571,0.803172906160782
75,1,89880,-0.00284697335962583,0.121745381541814,0.981356660695173
76,1,91472,-0.0253743049771556,0.122641730125475,0.83620896121694
77,1,93789,-0.00601559531936115,0.121385116068266,0.960502699116475
78,1,94351,-0.0590845103143093,0.121664367949323,0.627527057802138
79,1,99148,-0.0415960888787072,0.121365346793369,0.732002217345403
82,1,106800,-0.0124916001335608,0.121547455003294,0.918202774302179
83,1,107970,0.0518399814968038,0.121157752626856,0.669005398436744
84,1,109000,0.082036764988312,0.12132419639505,0.499370344554466
85,1,112549,-0.0083555444108771,0.121264498507736,0.945105472300029
86,1,112742,0.035519624678613,0.121723083488027,0.770605748177475
87,1,113050,0.0366277557563706,0.121517329085704,0.763271710267322
88,1,113135,0.01276448975094,0.121221511159799,0.916198456472062
89,1,114076,-0.0136737928906749,0.121221230255723,0.910252988238967
90,1,114628,0.0151748742324848,0.121527404954053,0.900699193754235
91,1,116283,0.0623185364300889,0.122161005558908,0.610276092874347
93,1,127853,0.103756596442879,0.121853419099346,0.395076165252005
94,1,128302,0.0736914388986566,0.121446636373641,0.544386704662744
95,1,128704,0.0253270062198507,0.121623438851675,0.835160767471713
