SNP,Chr,Pos,Effect,SE,ADE17_GIS2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0468572886158107,0.093477975167983,0.616496689796037
9,1,27272,-0.0728979944807551,0.0920251542746233,0.428803526188793
16,1,27843,0.0263264403723841,0.0899167120460686,0.769857026704494
17,1,27848,0.0263264403723841,0.0899167120460686,0.769857026704494
18,1,28495,0.084131774595717,0.0898175315006952,0.349555042616145
19,1,28975,0.0566276268990742,0.0892770995245708,0.526302004785198
26,1,31435,0.0639713125811427,0.0890262024726041,0.472882949849817
29,1,36146,-0.0378029668586783,0.0886090556314756,0.669911488276029
31,1,37409,0.0426411908412108,0.0890822103852664,0.632468086267013
32,1,37478,0.0441068212451037,0.08915681885366,0.621112186471024
33,1,39144,-0.00833521613568853,0.088779625454556,0.925252513946829
34,1,41499,0.0329319282642241,0.0885171234536877,0.710086156623908
37,1,51248,0.106708165036179,0.0887297358174762,0.229929392535868
38,1,51462,0.0910367148305798,0.0888999355378026,0.306519611362533
39,1,52124,-0.00182190515084524,0.0889112668015962,0.983663050166955
40,1,52667,0.0202673928657382,0.0887622727081489,0.819519259325055
42,1,59265,0.0317195096606653,0.0887079817346506,0.720877165516703
43,1,60165,-0.000941349993268146,0.0886569854137245,0.991534307912768
44,1,62308,-0.0568624083337612,0.0885077667937668,0.520993720926914
45,1,62869,-0.0467433886304845,0.0885134158958625,0.59776602693679
49,1,66841,-0.0546533286472467,0.088542334877322,0.537463517479723
50,1,66948,-0.0362672992032465,0.089112889200214,0.684268220168775
51,1,68621,0.0345022382368276,0.0888733577241732,0.69808872165863
52,1,69417,0.0490677549337443,0.0886185254329632,0.580137208387773
56,1,74327,-0.0577596923261957,0.0890914042013007,0.517199831672511
57,1,74572,-0.0430841032364047,0.0888775204831363,0.628148567520039
58,1,75211,-0.0743455388613986,0.0886567658317044,0.402274107989346
59,1,76030,-0.0238282931939353,0.088735965776749,0.788448036556756
60,1,80108,-0.0947501483304037,0.0885806072143444,0.285508236213172
61,1,81262,-0.11078928278242,0.0884942603971964,0.211421532740909
62,1,81999,-0.0684313314639138,0.0888324617550797,0.441612586044418
63,1,82431,-0.0519117894099502,0.0892852200057493,0.561331680515109
64,1,83284,-0.0285700275244729,0.0886648964211055,0.747473151145419
65,1,83613,-0.0173751881061634,0.0886633405404312,0.84474788021737
66,1,84112,-0.0394931552829852,0.0886530187317758,0.656245913928365
68,1,84858,-0.0423779684177907,0.0888996022568255,0.63387449061384
69,1,85751,-0.0561069615065057,0.0892437803422626,0.52995649006778
70,1,87445,-0.031016855800516,0.0894672607058079,0.729035400121024
71,1,87467,-0.00419539979075717,0.0899506581135174,0.962825630458411
72,1,89070,-0.0536626111135961,0.0893423178742485,0.548464919388348
73,1,89616,-0.0381839545693934,0.0888838667307414,0.667753273858198
74,1,89679,-0.0552363576367258,0.0888697414891697,0.534643648487751
75,1,89880,-0.0507698756313262,0.0888998278220665,0.568301472938528
76,1,91472,-0.0512461945817995,0.0895595508146083,0.567549043440561
77,1,93789,-0.0538236995736551,0.0886316500912672,0.544059488667871
78,1,94351,-0.0231270085031777,0.0889027985360395,0.794908886853448
79,1,99148,-0.0096355293722839,0.0886764521037074,0.913534389307521
82,1,106800,-0.00144680622539906,0.0887975179600956,0.98700959293061
