SNP,Chr,Pos,Effect,SE,HNM1_MAM33_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.000928446327199239,0.157659410596474,0.995304661853573
9,1,27272,0.0743480092957591,0.15524130540601,0.632292780868217
16,1,27843,-0.0470579729879444,0.15159678471585,0.756428296410874
17,1,27848,-0.0470579729879444,0.15159678471585,0.756428296410874
18,1,28495,0.00767666539258788,0.15161937827032,0.959648067269359
19,1,28975,-0.0675003218482497,0.150563579026307,0.65419895212405
26,1,31435,-0.0699088916959141,0.150161315340036,0.641818579634876
29,1,36146,-0.122776362193362,0.149289924983272,0.411403194113976
31,1,37409,0.0420395126774149,0.15022417546894,0.779760188447819
32,1,37478,0.0243805672317137,0.150364392015435,0.871285839201809
33,1,39144,0.00928447529980537,0.149682998998857,0.950575967642955
34,1,41499,0.0294324153636068,0.149260404703408,0.843793622555312
37,1,51248,-0.0163982675479104,0.149901440738068,0.912952420343705
38,1,51462,-0.0172151469090976,0.150104456088395,0.908757805502007
39,1,52124,-0.0574809534968769,0.149872758556523,0.701556455114388
40,1,52667,-0.0948632629422722,0.149578548351819,0.526358681381002
42,1,59265,0.0315567496002211,0.149578808662164,0.833031850793656
43,1,60165,0.0347511714573478,0.149463755236168,0.816280021612002
44,1,62308,-0.138738467270395,0.149128098656229,0.352835599119806
45,1,62869,-0.148644805331807,0.149082276657978,0.319415654924586
49,1,66841,-0.137016617834712,0.149184277015571,0.359016335809687
50,1,66948,-0.182324177838601,0.14996542580441,0.224883160387
51,1,68621,-0.322313734042732,0.148886902893434,0.0310709513177139
52,1,69417,-0.256414151793964,0.148850863765126,0.0858322720404791
56,1,74327,-0.150874212649851,0.150082325913821,0.315452386962303
57,1,74572,-0.157535825741797,0.149662170517765,0.293239981619549
58,1,75211,-0.117934209625128,0.149491891313185,0.430699745428658
59,1,76030,-0.06219804604736,0.14958698859611,0.67781010702563
60,1,80108,-0.138922512564448,0.149405382569808,0.353091389944568
61,1,81262,-0.098270096642847,0.149440183280933,0.511231354471659
62,1,81999,-0.112648631863791,0.149776906500039,0.452486415314573
63,1,82431,-0.133410875326965,0.150438951420789,0.375784580763128
64,1,83284,-0.06879068246829,0.149465658308958,0.64562441245377
65,1,83613,-0.0569043454139725,0.149463337730817,0.703636742187533
66,1,84112,-0.131240193429148,0.149347230948634,0.38012983056899
68,1,84858,0.00024534201060647,0.149932460489911,0.998695306359567
69,1,85751,-0.0410423201958913,0.150532873505403,0.785284081292694
70,1,87445,-0.0148777437876018,0.150864893959449,0.921498869741693
71,1,87467,-0.0680465306562806,0.151613515491601,0.65383998165997
72,1,89070,-0.0171710016291456,0.150704824229705,0.909351740442861
73,1,89616,0.0193990822798595,0.149893308206369,0.897099611710116
74,1,89679,-0.00658165829401436,0.149915436793268,0.965006967869134
75,1,89880,0.0053810744827934,0.149953557793008,0.971394387436575
76,1,91472,0.0620041116662648,0.151030854826082,0.681659405170796
77,1,93789,0.0672127742234902,0.149467691988148,0.6532165002871
78,1,94351,0.023571117027283,0.149898731715675,0.875140136811317
79,1,99148,0.0324632462978283,0.149500512087537,0.82822101515653
82,1,106800,-0.120643144708088,0.149574402423904,0.42045379053717
83,1,107970,-0.164018154577918,0.149013130033101,0.271778991051151
84,1,109000,-0.0973979729826582,0.149441800702335,0.514989673128673
85,1,112549,-0.20881638975403,0.148948334983323,0.161812338984364
86,1,112742,-0.214284860774901,0.149509944355265,0.15267198582445
87,1,113050,-0.179357581424472,0.149387378982686,0.230703406122495
88,1,113135,-0.232633111148402,0.148796533896965,0.118847267128449
89,1,114076,-0.135550757558924,0.149136403113192,0.364020624341744
90,1,114628,-0.0860746968258364,0.149618416441288,0.565458451139566
91,1,116283,-0.0142211116334037,0.150519188486997,0.92478116519637
93,1,127853,-0.0482656293068168,0.150218874041788,0.748171670198685
94,1,128302,0.00723194877240696,0.149663245295824,0.961487367238641
95,1,128704,0.0423777514104576,0.149795739094927,0.777416567864022
96,1,128911,0.0808167315050986,0.149767542549732,0.589803154501254
97,1,130267,0.128156508852911,0.149602857146047,0.392222373805649
98,1,130271,0.142437949664802,0.149744235386745,0.342149495620013
99,1,130613,0.233192390860623,0.15082735370578,0.122979275139338
100,1,132012,-0.0749450806285914,0.150963247521975,0.619888861497091
101,1,133231,-0.0399442174074879,0.149929259455474,0.790070987633761
102,1,137074,-0.0433955560384566,0.149713264979051,0.772095218753106
103,1,137304,-0.0286407995900669,0.149775367361149,0.848459230073066
104,1,139686,-0.00245676103654549,0.149979905907455,0.986940009825513
105,1,149562,-0.101504999422149,0.150225002692922,0.499682132694174
106,1,150447,-0.0702945273529006,0.151943473276396,0.643910313646773
108,1,154084,-0.090842466152168,0.152382409970985,0.551458442255879
110,1,157269,-0.141282241564641,0.149503089936569,0.34529903242389
111,1,160054,-0.0909145843322955,0.151036785253838,0.547602682936315
112,1,166222,-0.093622391754999,0.149913806301387,0.532697347557156
113,1,166416,-0.0699003636032236,0.149645842512021,0.640712738833797
114,1,167326,-0.128069561881304,0.150388313559013,0.395017633215464
115,1,168836,-0.0601970914570195,0.149795039244707,0.688028012795273
116,1,171200,-0.11556326083351,0.149927563916084,0.441344654168696
117,1,171431,-0.177042941831204,0.15069614926262,0.240853057563073
118,1,173339,-0.0883359950060098,0.149742478410076,0.555622087983347
119,1,173845,-0.0789004185999269,0.149633166009621,0.598321839691243
120,1,175121,-0.133867359013744,0.149225282556152,0.37028639962091
121,1,175281,-0.11040729963988,0.149406748929656,0.460415492357152
122,1,175315,-0.116990938505914,0.149345445817596,0.433942208698376
123,1,175523,-0.105135795015474,0.15021792843199,0.484457933543926
124,1,175541,-0.114019648854612,0.149585572337998,0.44642760039835
125,1,175653,-0.134664985603615,0.150011217837996,0.369957661708477
128,1,175856,-0.125067209349902,0.152516481158843,0.412755646669515
129,1,175876,-0.105131721960953,0.150217936507423,0.484474870745188
130,1,175989,-0.113218521839121,0.150630523692849,0.452774017693831
131,1,176001,-0.126726674573949,0.151386340848298,0.403098381323057
133,1,177692,-0.159375492819017,0.149234309027568,0.286270700501975
134,1,178191,-0.174542740612066,0.149334934836586,0.243272719930933
135,1,178224,-0.159375492819017,0.149234309027568,0.286270700501975
136,1,178960,-0.200047152531326,0.150292348747098,0.184030449904133
140,1,183802,-0.24152766480179,0.148940275723566,0.10577302843014
141,1,183954,-0.263513829373107,0.149927785505539,0.0796814879939038
142,1,184450,-0.211749654427126,0.148837845430615,0.155710017532675
144,1,184718,-0.235300115429845,0.14958867993678,0.116619095838972
145,1,185296,-0.187313163215426,0.149142350869203,0.20996999308784
146,1,185438,-0.153301705346256,0.149259401204453,0.305084927118499
147,1,185469,-0.160674430812205,0.149453518598796,0.283073354387561
148,1,185503,-0.1456462721722,0.149109438754987,0.329349790167669
149,1,185705,-0.175890303375862,0.150689042429866,0.243901246756973
150,1,185749,-0.209505237721951,0.150567219745664,0.164968308701323
151,1,185806,-0.217902500577121,0.150735648561174,0.149178388794203
152,1,185879,-0.224739895357607,0.151440018311803,0.138696159232068
153,1,185916,-0.14218375973095,0.151653898317395,0.349114528567641
154,1,185941,-0.14552654396379,0.152307222101613,0.339988748670609
155,1,185954,-0.156114091985824,0.15272355769588,0.307386039745877
156,1,186055,-0.152588082621113,0.149676691787376,0.308686979401609
157,1,186896,-0.20525642252331,0.151962186601789,0.17765443802555
161,1,190132,0.131284525850573,0.149924259678861,0.381803644200456
162,1,190148,0.155481380919723,0.149904024093306,0.300349736501992
163,1,190165,0.118691903633745,0.151153968946679,0.432840491047056
164,1,190169,0.145516419852432,0.15089863679097,0.335539532708505
165,1,190933,-0.053957662333151,0.149844443345076,0.71899429641904
166,1,192149,0.0293561763345693,0.151089189501858,0.846055099820365
168,1,192303,0.0367024951738353,0.180120054289034,0.838653120325826
171,1,192795,0.0455374934580893,0.149568601800109,0.760957699654488
173,1,194187,0.0448138319285717,0.149693167251384,0.764832972647552
174,1,194867,-0.131247884833889,0.149467540731345,0.380485136092664
190,2,8314,0.129032552042136,0.152009117353278,0.396541442259619
194,2,8498,0.111796141202113,0.151824771377153,0.46200688933823
195,2,8651,0.0710832605723206,0.152036525035873,0.640401583535655
197,2,9812,0.0790354372731003,0.152929396159689,0.605612449415576
198,2,9932,0.0706265459872366,0.152337900780056,0.643207410441646
199,2,10135,0.0594396538274351,0.151767725778774,0.695554012583226
200,2,11616,0.0887467714515988,0.151565987156315,0.558564031434931
201,2,12133,0.073022396961798,0.152192789410923,0.631665372877063
202,2,12194,0.110381542950294,0.152718150517205,0.470293976096246
203,2,12359,0.0835873946084236,0.152319315423466,0.58351416417989
204,2,13061,0.0937559418089368,0.152291324913854,0.538531851420948
205,2,14298,0.0658828960578854,0.15281352034555,0.666635086548751
206,2,15222,0.107122542723183,0.154238946873669,0.487810939475638
207,2,17986,0.088210491697173,0.151566874010195,0.560944525334849
208,2,19770,0.0527111974202459,0.152662221080022,0.730089603658306
209,2,19836,0.0762163100160491,0.152214465750693,0.616882635823999
210,2,19851,0.0741300008004269,0.152663354096323,0.627567481375246
211,2,21595,0.0106939586124188,0.152082526750188,0.943981318568325
212,2,22385,0.0340544883840137,0.152216706543861,0.823101704478908
213,2,23441,0.0837106174091655,0.153641425045883,0.586204814331841
214,2,24209,0.0788021114652924,0.152382671307975,0.605387168890556
215,2,24341,0.0716750666746648,0.152753321486209,0.639201347466668
216,2,26815,0.132181208586996,0.152455601912294,0.386523056766806
217,2,28209,0.0717746881694182,0.152621394094366,0.638445875852073
221,2,41245,-0.0345803772736064,0.152072454337824,0.820248956923743
222,2,43214,-0.119050250659355,0.154419341920312,0.441249749289998
223,2,47104,-0.0299480313631673,0.150232382393702,0.842107878684171
224,2,50915,0.0449618422149847,0.151698120915324,0.767106378858826
225,2,55834,-0.0298455017889712,0.151007583372173,0.843438614721119
226,2,56422,0.0265327907622671,0.151279333408152,0.860874233945108
227,2,57715,0.0489297788215768,0.150764729515902,0.745718498447538
228,2,59046,-0.0108011548033198,0.151548918580841,0.94322184921812
229,2,59191,0.0189587118442264,0.150678907748184,0.899944506680519
230,2,59383,-0.00213715142909277,0.150725637990902,0.988695117330618
231,2,59477,-0.0105057367054083,0.15299252484944,0.94529253094816
233,2,60471,-0.0037583606911572,0.150928552502216,0.980147530871957
234,2,60478,0.0066807714144631,0.151100494675035,0.964758747695483
235,2,60786,0.00733154968373662,0.150851957719149,0.961264792108491
236,2,61035,0.0409110000553687,0.150825865630758,0.78635993908742
237,2,61071,0.00475876443074319,0.150157091831091,0.974735660658056
238,2,61675,-0.0147008323395839,0.150587563570149,0.922286946570047
240,2,62939,0.0222372549427876,0.150324636755818,0.882483881683778
241,2,63527,0.0439998723539518,0.150875409976487,0.770740446363146
242,2,63857,0.0268893819882314,0.150921899360629,0.858693610166396
243,2,65527,-0.14112607230653,0.150243448437858,0.348210812914953
247,2,67976,-0.0537131250460164,0.152571034007449,0.725008418793064
250,2,72389,0.117299440136483,0.151528206535546,0.439384116493045
251,2,72392,-0.00478748343684354,0.152687785486203,0.97500436819747
252,2,73646,0.0544251037040162,0.149529542257261,0.71609414140776
253,2,74564,0.111065981625934,0.149146835817396,0.456963430607721
254,2,74739,0.153883272512793,0.149530588539958,0.304133075823182
257,2,80873,0.214279540224902,0.149678137687725,0.15314249173915
258,2,81501,0.272132176440894,0.14938647740923,0.0693519432627045
259,2,83526,0.211169390747047,0.149432096095039,0.158493899543889
260,2,83845,0.274913039277191,0.149281211549342,0.0663756493503789
263,2,84447,0.258572401603123,0.151287002565206,0.0883017964793188
264,2,87391,0.317824006951621,0.148373070489886,0.0328724488676286
265,2,87562,0.332732744017614,0.14866103854016,0.0258312114405722
266,2,87849,0.332744990994623,0.148646681536172,0.0258115638093034
267,2,87878,0.320260736584315,0.149371808248516,0.0327113835034999
269,2,89785,0.3197602576961,0.14939171089982,0.0330060433652928
272,2,93721,0.262108539361568,0.149253420818157,0.0799332303365345
273,2,93952,0.223728818336803,0.149000125933034,0.134111339803579
274,2,95085,0.28740490504148,0.148900119467737,0.0543846514006621
276,2,107124,0.398459494671872,0.148249009280101,0.00753375741676264
277,2,111645,0.438449264410576,0.148025987096908,0.00326379197696787
278,2,111916,0.387975667742648,0.14878121107051,0.0095024112062956
279,2,111931,0.406619758164965,0.148872207165289,0.00662465339833411
280,2,111999,0.442766324841322,0.148032800736807,0.00297599043491235
281,2,114528,0.39239308587413,0.149305833591388,0.00896079376235394
282,2,116024,0.435684087001397,0.149328134825532,0.00375291726971196
286,2,120090,0.182555426627605,0.150207156013476,0.225041906832264
287,2,120291,0.169937424816576,0.151973488813821,0.264240097700788
288,2,120726,0.182237704451632,0.151051707275694,0.228448443808986
289,2,121716,0.244154041807337,0.150631397477443,0.105938213660018
290,2,123100,0.179896717241001,0.151096381740701,0.234607124779206
291,2,124677,0.0862797696026947,0.151121142692159,0.568409580384813
293,2,127887,0.119606686383184,0.152094328667761,0.432161902820026
294,2,128935,0.0724023888575795,0.152034761657367,0.634210416089064
295,2,129053,0.104624981895993,0.152444860273313,0.492965913249811
296,2,130040,0.0626230000549215,0.153441407703759,0.683430654032528
297,2,130976,0.0323231663977877,0.152217775922471,0.831957979163322
298,2,132199,0.0601828402956119,0.152899496448193,0.694106296185842
299,2,133355,0.114258671730419,0.153847424134905,0.458172250241552
300,2,133435,0.10987017809677,0.154189432848463,0.476584958382324
302,2,135183,0.0933026334436344,0.154305855615479,0.545793150781405
303,2,135402,0.107116199754014,0.154257103220975,0.487887872806988
304,2,135898,0.183855508570819,0.154872218689895,0.235969378470728
305,2,135912,0.18322312943453,0.154989192035281,0.23793508675073
306,2,135925,0.194471909113997,0.154245306084704,0.208214929528293
307,2,136002,0.166442056841052,0.154222315478192,0.281220025111954
308,2,136173,0.13312823954096,0.155407988030916,0.392226652572829
310,2,138318,0.19014259836745,0.159355540124533,0.233593447481963
311,2,138695,0.11951232849653,0.156810848838778,0.446483442978709
312,2,138818,0.133626537359025,0.15649047255519,0.39374187436883
313,2,139728,0.171087918996309,0.156105801695512,0.273837243844015
314,2,140174,0.148404986961661,0.156171544045283,0.342625698443413
315,2,140863,0.112709018094101,0.156192760624106,0.471016854194226
316,2,141152,0.11006346019517,0.156638714846958,0.482731951955131
317,2,141292,0.0981607243541733,0.155533450523116,0.528368587296753
318,2,141545,0.14529021327806,0.156187930654175,0.352889323028375
322,2,146723,0.178368198220394,0.15580823099982,0.25307044388202
323,2,147946,0.208978655834373,0.157133918278394,0.184396765510475
326,2,151397,0.231662450440361,0.157438817718731,0.142061892048098
327,2,153035,0.12526110018311,0.156059432435299,0.42271713248447
