SNP,Chr,Pos,Effect,SE,ALO1_ADE17_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.147494205550495,0.155028539099734,0.342052138823667
9,1,27272,-0.0927783905340185,0.152816250140979,0.54415902911982
16,1,27843,-0.01848770244192,0.149275196600759,0.901504694442481
17,1,27848,-0.01848770244192,0.149275196600759,0.901504694442481
18,1,28495,-0.0807637544539335,0.149218953494188,0.588681319099223
19,1,28975,-0.068903172931973,0.148237642310207,0.642350069635579
26,1,31435,-0.117743084308449,0.147757289776696,0.426063213306871
29,1,36146,-0.200995051754187,0.146738097934777,0.171634457117189
31,1,37409,-0.0998218022915641,0.147827597394177,0.499953781283072
32,1,37478,-0.118551263174401,0.147915679522967,0.42339374601577
33,1,39144,-0.00690678591567815,0.147374153107463,0.962646805126998
34,1,41499,0.00239075115063427,0.146965772070453,0.987030254550471
37,1,51248,-0.13408183917239,0.147418747150596,0.363690773654841
38,1,51462,-0.129987887936935,0.147629489174483,0.379187117550742
39,1,52124,-0.127957472064866,0.147434165842713,0.386041079151148
40,1,52667,-0.133637105398785,0.147183080464992,0.364516071871577
42,1,59265,0.0973261834622792,0.147189383372099,0.508895519702739
43,1,60165,0.059352716994629,0.147135305994823,0.686906539655439
44,1,62308,-0.00971342490393801,0.147006451446441,0.947355662365059
45,1,62869,-0.014940859773077,0.146986745783368,0.919094054896093
49,1,66841,0.0762166304631773,0.147002210026102,0.604453348601058
50,1,66948,0.0318828219588551,0.147950953400054,0.829505173917799
51,1,68621,-0.0386212144545579,0.147545537327851,0.793660742569708
52,1,69417,0.0116533294107247,0.147167907556186,0.936931215793354
56,1,74327,-0.0817950786485776,0.14791428601363,0.580620475287449
57,1,74572,-0.0644050987619894,0.147544558730295,0.66273152828398
58,1,75211,-0.0276435607030582,0.147307993609737,0.851252378045504
59,1,76030,-0.0594914207568144,0.147281307754638,0.686508378686767
60,1,80108,-0.00469729852322404,0.147280297482077,0.974574929513866
61,1,81262,-0.0792317092219953,0.147164421614826,0.590647818888432
62,1,81999,-0.0238502192437782,0.147578914963363,0.8717054885685
63,1,82431,-0.0934808333800761,0.148199502680136,0.528594527764507
64,1,83284,0.00405240679477684,0.147203809171796,0.978053186845392
65,1,83613,0.0597684581107234,0.147153365240019,0.684867916774543
66,1,84112,-0.0114224386415092,0.147202711749055,0.938192863606403
68,1,84858,0.046444934126552,0.147598722566018,0.753197905453737
69,1,85751,-0.0224272728386326,0.148221369869997,0.879818159254086
70,1,87445,0.0210200429660705,0.148535302843436,0.887543467339514
71,1,87467,-0.0511177815404742,0.149292337960661,0.732253238481418
72,1,89070,-0.00676581985542879,0.148382161185983,0.963657037183757
73,1,89616,0.0294910081473548,0.147576027091208,0.84172388570707
74,1,89679,-0.00979123508606519,0.147602143383669,0.947148418794421
75,1,89880,0.00888769384264376,0.147639704761274,0.952031578955466
76,1,91472,0.0503922348759182,0.148712180896023,0.734918574624457
77,1,93789,0.065653504261068,0.147162485844709,0.65577733649156
78,1,94351,0.0210437075728037,0.147587131963712,0.886699312512211
79,1,99148,0.0971840104567491,0.147113059723539,0.509294832692351
82,1,106800,0.00695543367551263,0.147402063419602,0.962391021300885
83,1,107970,0.0179390354763448,0.146962725586506,0.902916835891186
84,1,109000,-0.0166499962443641,0.14722216343288,0.910020035371318
85,1,112549,-0.163275631390413,0.146801174104403,0.266799189670087
86,1,112742,-0.128104347940076,0.147473575158525,0.385623499188099
87,1,113050,-0.131795022718214,0.147215722966364,0.371262966851072
88,1,113135,-0.105474688358236,0.146900131802672,0.473230544781093
89,1,114076,0.0293350922034249,0.146999068830716,0.841939840215042
90,1,114628,0.0648431579709944,0.147338847885503,0.660137311268893
91,1,116283,0.105028983924872,0.148093503096459,0.478664023023708
93,1,127853,0.268802334948031,0.147229544486137,0.0687346804340859
94,1,128302,0.23106420160311,0.146840738719311,0.116482667836829
95,1,128704,0.190375563492305,0.147153082525727,0.196606416147085
96,1,128911,0.252377889308332,0.146904999529267,0.0866796169745949
97,1,130267,0.203982132664027,0.147047677358104,0.166260967415701
98,1,130271,0.202079256511875,0.147230588280312,0.170768104955052
99,1,130613,0.307652463700312,0.148099971822363,0.0384937566696744
100,1,132012,0.140034160978647,0.148499259934668,0.346328038828379
101,1,133231,-0.0191198685354296,0.147627602655306,0.897024566737976
102,1,137074,0.136846994224033,0.147241107295218,0.353313032704492
103,1,137304,0.0293118022443598,0.147464137099844,0.842555210412915
104,1,139686,0.0831126877549677,0.147599916569391,0.573728071042996
105,1,149562,0.03163856958039,0.147993487472676,0.830839297608978
106,1,150447,0.0521057987623524,0.14961905527047,0.727855201766653
108,1,154084,0.0205917820776,0.15010307908808,0.890963350441508
110,1,157269,-0.0125897243556004,0.147381229033287,0.931973657399074
111,1,160054,0.0329656739790056,0.148772661897536,0.82476569568821
112,1,166222,0.0630710767349889,0.147644412976119,0.669507008575547
