SNP,Chr,Pos,Effect,SE,ERV25_EMP47_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0736462146859949,0.0736715314166254,0.318161588156039
9,1,27272,-0.143383131734193,0.0722659536235327,0.0480184073639327
16,1,27843,0.0592963755114528,0.0708782163977989,0.403386115853095
17,1,27848,0.0592963755114528,0.0708782163977989,0.403386115853095
18,1,28495,0.0563030618480106,0.0708862808443352,0.427570130983591
19,1,28975,0.0421149212724287,0.0704396813130689,0.550299165965076
26,1,31435,0.0552481600557206,0.0702270783056935,0.431981015058797
29,1,36146,0.0233414662153028,0.0699151407010892,0.738687787844497
31,1,37409,0.0222110826246136,0.070294318613902,0.752210002298701
32,1,37478,0.0213879331546252,0.0703554860387163,0.761308463099124
33,1,39144,-0.0877677419670469,0.0698876546803865,0.210004404013519
34,1,41499,-0.0999893383116392,0.0696462819079616,0.151980703923738
37,1,51248,-0.0190424357514108,0.0701393061676689,0.786169433111023
38,1,51462,-0.0132107702451216,0.0702382286212343,0.850917947454533
39,1,52124,0.00744681128861499,0.0701455088335297,0.915513854343075
40,1,52667,-0.0646956881587721,0.0699495062580221,0.355654287334181
42,1,59265,0.0830371648637581,0.0698592150895415,0.235382027306508
43,1,60165,0.0874891372841202,0.0697908072651025,0.210820261634276
44,1,62308,0.0419504327099516,0.0698333716094281,0.548410756877371
45,1,62869,0.0364102556958347,0.0698333978652683,0.602423852969982
49,1,66841,0.0189876753526371,0.0698858996976563,0.786015089438167
50,1,66948,0.0248767232587265,0.0703096833630068,0.723687666231042
51,1,68621,0.00778789385656575,0.0701304200877242,0.911640818775629
52,1,69417,-0.0461707706944165,0.0699028008273389,0.50936406570694
56,1,74327,-0.122769764366781,0.0700263297328207,0.0804366373710501
57,1,74572,-0.120711265643064,0.0698484363076611,0.084828922703579
58,1,75211,-0.0867996750368769,0.0698628483385282,0.214902796397333
59,1,76030,-0.0359992840313258,0.069989210826961,0.607325838906542
60,1,80108,-0.0860885851041687,0.0698487506526827,0.218582606636169
61,1,81262,-0.110565057786404,0.0697245169048425,0.113693331708507
62,1,81999,-0.1179611635491,0.0698617453959863,0.0921995040475111
63,1,82431,-0.0912574822219774,0.0703077619503894,0.19514452248512
64,1,83284,-0.121081734483226,0.069665051455118,0.0830730320985441
65,1,83613,-0.0993250021210049,0.0697547505009857,0.15535370870352
66,1,84112,-0.0788485893667424,0.0698365175650727,0.259645420358777
68,1,84858,-0.0609394030609878,0.070084942727228,0.385160285972881
69,1,85751,-0.0938030682368458,0.0702711958702307,0.182778439739477
70,1,87445,-0.0544749957259699,0.070537689809672,0.440464092705244
71,1,87467,-0.0456112709884487,0.0709252991161526,0.520583941895282
72,1,89070,-0.0304017507337528,0.0705041085209415,0.666582250075263
73,1,89616,-0.0305908932895194,0.0701243985336131,0.662931087083882
74,1,89679,-0.0185317103045742,0.0701452461536519,0.791787273737053
75,1,89880,-0.0199026012647607,0.0701619591788185,0.776832225664237
76,1,91472,-0.0169390481350309,0.0706850622979053,0.810747564159704
77,1,93789,0.0237690838960953,0.0699510606588973,0.734212318988072
78,1,94351,0.0141967144798127,0.0701425587785146,0.839722180744088
79,1,99148,0.00522868155788869,0.0699619462217969,0.940467034597563
82,1,106800,0.0285438778374949,0.0700403961787431,0.683862495321957
83,1,107970,0.0455454725397984,0.0698072395678847,0.51453796313762
84,1,109000,0.0358097398205279,0.0699464527973152,0.608999597378432
85,1,112549,0.0394875193552976,0.0698615998538843,0.572279815379749
86,1,112742,0.0487868393006491,0.070117445816969,0.487019763895427
87,1,113050,0.0576927246247293,0.0699801349957044,0.410260075621145
88,1,113135,0.0208290598178144,0.0698602614747438,0.765761659988727
89,1,114076,0.0225689380622278,0.0698587305339245,0.746837004764912
90,1,114628,0.0314647280073739,0.0700257910045634,0.653468963833451
91,1,116283,0.0219809451362835,0.0704256844917112,0.755137052549705
93,1,127853,0.11119401841608,0.0700547140780316,0.11335238341145
94,1,128302,0.0729456076827682,0.0699265087633603,0.297580974503643
95,1,128704,0.0772327001782984,0.0699833003210713,0.270523822630757
96,1,128911,0.0724002925603151,0.0700057043508766,0.301748033852516
97,1,130267,0.0396915406844745,0.0700465981398877,0.571315628536819
98,1,130271,0.0393294328225736,0.0701303877693997,0.575286640655424
