SNP,Chr,Pos,Effect,SE,FMP45_MEP1_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0114587587370523,0.0608426106150831,0.850722713670748
9,1,27272,-0.0561778793319494,0.0598572691481389,0.348613504781422
16,1,27843,-0.0294241400606433,0.0584929317631238,0.615251597950484
17,1,27848,-0.0294241400606433,0.0584929317631238,0.615251597950484
18,1,28495,-0.00465185422367154,0.0585143168554157,0.936680441574044
19,1,28975,-0.0174116335345233,0.058116314091877,0.764658798121643
26,1,31435,-0.0249479855001321,0.057954495413792,0.667112549935416
29,1,36146,-0.0254013724150233,0.0576549395323333,0.659789782648125
31,1,37409,0.0189178068717142,0.0579738635492117,0.744378558705508
32,1,37478,-0.0045043544939426,0.0580319557371875,0.938175486352108
33,1,39144,-0.0359959983536885,0.0577358552165376,0.533384882835398
34,1,41499,-0.0107018099300787,0.0576045834542796,0.85272358118193
37,1,51248,0.00310189675526459,0.0578523677703631,0.957270279514677
38,1,51462,-0.00987701429539395,0.0579286666362777,0.864712218174145
39,1,52124,-0.0171504616448669,0.0578454013788912,0.767031866579416
40,1,52667,-0.0236560449163176,0.0577461619932817,0.682306998994367
42,1,59265,-0.0454334118059673,0.0576800807071854,0.431412826547515
43,1,60165,-0.0379037390786446,0.0576518360570151,0.51131405379584
44,1,62308,-0.0960788988993919,0.0573963228868427,0.0950250834071715
45,1,62869,-0.11473016818485,0.0572919317642258,0.045989621893592
49,1,66841,-0.0508228527021622,0.0575800923643767,0.378028094393366
50,1,66948,-0.0649247051271074,0.0578943250846998,0.262865152397516
51,1,68621,0.0171088652939428,0.0578330772332563,0.767532457722188
52,1,69417,0.0236701717995291,0.0576733644500357,0.681748527981169
56,1,74327,-0.114443529418013,0.0576835668718153,0.0480312937970957
57,1,74572,-0.0908521383208228,0.0576474036861657,0.115922217915206
58,1,75211,-0.108108914750444,0.0574569988999336,0.0607181470182737
59,1,76030,-0.113415278178849,0.0574280134481749,0.0490569611638251
60,1,80108,-0.101433541134298,0.0574777578728689,0.0784714681283245
61,1,81262,-0.142949636683875,0.0572051696673323,0.0129119609609566
62,1,81999,-0.146997945463655,0.0573183418833052,0.0107427595126662
63,1,82431,-0.0989783419756166,0.0578844716828386,0.0881577151612457
64,1,83284,-0.113461696921087,0.0573838566088776,0.0487920728704773
65,1,83613,-0.0835366587588164,0.0575228087222463,0.147324398348345
66,1,84112,-0.107584192085911,0.0574159163272495,0.0617881395858889
68,1,84858,-0.0771545389995248,0.0577176926231562,0.182162794252573
69,1,85751,-0.107856571895059,0.0578171363514886,0.0629438446985457
70,1,87445,-0.0945220354424232,0.0580064951647022,0.104097558451185
71,1,87467,-0.102500374960062,0.0582742452114434,0.079455608707876
72,1,89070,-0.121437160874936,0.0578024956011884,0.0363586238345545
73,1,89616,-0.0931764616261089,0.0576368928546021,0.106855447758157
74,1,89679,-0.103866252470154,0.0575924653477652,0.0721670348282927
75,1,89880,-0.104534320442044,0.057603769045235,0.0704166361796518
76,1,91472,-0.100764585463921,0.0580542089555839,0.083489834715274
77,1,93789,-0.166051190326458,0.0570198695455309,0.00381762003806544
78,1,94351,-0.139500726453196,0.0573741662477266,0.0155367303262174
79,1,99148,-0.122191404239081,0.0573330557929336,0.0337584886334611
82,1,106800,-0.117124349297465,0.0574412955217154,0.0421918253731648
83,1,107970,-0.0865856428527851,0.0574227682218464,0.132484125969682
84,1,109000,-0.0795343556925927,0.0575534529714216,0.167869667822296
85,1,112549,-0.0582122640125444,0.0575602691562974,0.312552561423881
86,1,112742,-0.0621204521388052,0.0577736437655606,0.283002282861473
87,1,113050,-0.0620195937003436,0.0576764408546586,0.282973936511194
88,1,113135,-0.0582547856652335,0.0575402016558733,0.31203125481823
89,1,114076,-0.0490034634307837,0.0575646228153162,0.395192365088408
90,1,114628,-0.0340696827460772,0.0577409905582713,0.555539144384202
91,1,116283,-0.0741183965369792,0.0579566612447739,0.201786801794035
93,1,127853,-0.0674037470117698,0.0578715150091681,0.244921398552842
94,1,128302,-0.0463983573127051,0.0577070698709256,0.421919348665042
95,1,128704,-0.0533088370637582,0.0577477202778221,0.356568343335244
96,1,128911,-0.0556656912455276,0.0577478276911191,0.335733709851554
97,1,130267,-0.070571442697567,0.0576741887195958,0.221910748830974
98,1,130271,-0.0715746867700358,0.0577394323329119,0.215941161345795
99,1,130613,-0.0566195454351197,0.0583279169911511,0.332356905474256
100,1,132012,-0.00745911316871556,0.0582803897679035,0.898232400801744
101,1,133231,-0.0267402647221494,0.0578506713117459,0.644201784824314
102,1,137074,0.00574280063730381,0.0577850670602213,0.920891317147879
103,1,137304,-0.0238189477380229,0.0577920575516515,0.680480269742949
104,1,139686,-0.0211942228120906,0.0578709335793542,0.714410908821284
105,1,149562,-0.0137771191767596,0.0580093407243104,0.812408026665066
106,1,150447,-0.0126508160229395,0.0586536163881583,0.829356392654175
108,1,154084,-0.00188214142914445,0.0588386169596444,0.974499539872753
110,1,157269,0.0120630356008346,0.0577672571856073,0.834708162754262
111,1,160054,-0.00484391688463182,0.0583191249523216,0.933851859302046
112,1,166222,-0.00306003230834301,0.0578881182469155,0.9578724430257
