SNP,Chr,Pos,Effect,SE,ERG11_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0455412219455639,0.0672765348642874,0.49889638010525
9,1,27272,-0.0747377387997314,0.0661897656986089,0.259604071546142
16,1,27843,0.041493824015332,0.0647026106560197,0.521743540832692
17,1,27848,0.041493824015332,0.0647026106560197,0.521743540832692
18,1,28495,0.0937478233118592,0.0645487719629622,0.147290779688177
19,1,28975,0.0633397395649714,0.0642201548770106,0.324666031323669
26,1,31435,0.0594851889220927,0.0640600046483148,0.353738469688817
29,1,36146,-0.0158192824373355,0.0638019174583124,0.804322144595534
31,1,37409,0.0546307449251949,0.0640865414389261,0.394540870979763
32,1,37478,0.030049992368607,0.0641876954473842,0.639960426571667
33,1,39144,-0.0312636231514249,0.0638929587676638,0.62492437676963
34,1,41499,-0.0396843335824273,0.0637023309133978,0.533709660614834
37,1,51248,0.0150701671053341,0.0640036080698653,0.813989744194854
38,1,51462,0.00830971617622322,0.064093904181155,0.896917907718736
39,1,52124,-0.0205235953398872,0.0639993122217626,0.748639157803303
40,1,52667,-0.0547984367522842,0.0638394603977998,0.391265813040447
42,1,59265,-0.0573551388682767,0.0638008219821517,0.369280482038982
43,1,60165,-0.0738603111621519,0.0637043636709215,0.247067410418788
44,1,62308,-0.11349629523353,0.0634685237509005,0.0745964979876721
45,1,62869,-0.135584519030233,0.0633375625773737,0.0329856885659475
49,1,66841,-0.104274125932638,0.0635354476393927,0.101647348330326
50,1,66948,-0.124968911931262,0.0638231381752179,0.0510114510234034
51,1,68621,-0.0264327464519448,0.0639794951596027,0.679751937634443
52,1,69417,-0.0677338257932014,0.0637236485557796,0.288539957148985
56,1,74327,-0.19380039464917,0.0633420779669871,0.00238597778966672
57,1,74572,-0.17823368843664,0.0632986885182154,0.00513952021057072
58,1,75211,-0.181120670304858,0.0631574440044326,0.00438218543925248
59,1,76030,-0.105776928271987,0.0636403778027399,0.0973796155685956
60,1,80108,-0.140296700604321,0.0634358276349879,0.0276321981881975
61,1,81262,-0.140827179744071,0.0634081822509958,0.0269876323999636
62,1,81999,-0.127089906685213,0.0636471542029422,0.0466156255790617
63,1,82431,-0.0927864827160621,0.0641186749044282,0.148754828685701
64,1,83284,-0.121350132855725,0.0635130541199059,0.0568616583931681
65,1,83613,-0.0876548265145494,0.0636628640767664,0.169428214495767
66,1,84112,-0.0931781642457179,0.0636476940879042,0.144092713102766
68,1,84858,-0.0600207109709667,0.0639410415687573,0.348532600013596
69,1,85751,-0.0959862920789453,0.0640806080822962,0.135053091538095
70,1,87445,-0.101102789844888,0.0641946838882271,0.116166010316333
71,1,87467,-0.107934767538032,0.0645017475027529,0.095141939674867
72,1,89070,-0.0929524564836355,0.0641613168359307,0.148300549932449
73,1,89616,-0.104349745930408,0.0637641710952905,0.102627232050078
74,1,89679,-0.0849659061944551,0.0638537609262751,0.184168772086955
75,1,89880,-0.0927866878841406,0.0638391843513999,0.146988897914493
76,1,91472,-0.0926937941255566,0.0643162534664971,0.150409339859023
77,1,93789,-0.146178143571992,0.0633647506693835,0.021636929724373
78,1,94351,-0.11858130434083,0.0636967100119792,0.0634826272967005
79,1,99148,-0.103599216626689,0.0636020425768681,0.104233408932277
82,1,106800,-0.110165433648236,0.0636572545069696,0.084396499748533
83,1,107970,-0.0826772431088987,0.0635852513326814,0.194360792678259
84,1,109000,-0.100639103955832,0.0636245852345425,0.1145988967163
85,1,112549,-0.0222526403727221,0.0637663884398131,0.72731890548246
86,1,112742,-0.0121504270414756,0.0640225974346249,0.849587935839939
87,1,113050,0.0164505109310306,0.0639121565154468,0.797025750471819
