SNP,Chr,Pos,Effect,SE,ALO1_UIP4_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0808643355033176,0.140257421973586,0.564616132348544
9,1,27272,-0.0117502123668494,0.138214688210185,0.93229828936103
16,1,27843,-0.0838949871409911,0.134871963848537,0.534320865097048
17,1,27848,-0.0838949871409911,0.134871963848537,0.534320865097048
18,1,28495,-0.0864052473260548,0.134869660465419,0.522160953503116
19,1,28975,-0.104617978603272,0.133930293218234,0.435245154794903
26,1,31435,-0.0885836229988971,0.133607679851999,0.507754953870139
29,1,36146,-0.191101994824581,0.132611979222237,0.150453794363725
31,1,37409,-0.108941585229241,0.133594824481988,0.415357420005747
32,1,37478,-0.12477099117123,0.133670688158289,0.351240799094654
33,1,39144,-0.158361119497155,0.132957927462978,0.234429543337662
34,1,41499,-0.14380639429334,0.132634622560978,0.279002931063313
37,1,51248,-0.247317053605556,0.132769841869323,0.063327876823547
38,1,51462,-0.236651631134482,0.133006627626917,0.0760596462902396
39,1,52124,-0.186888983687316,0.133049465167424,0.161002333286198
40,1,52667,-0.253206785119246,0.132523462669204,0.0568586464573898
42,1,59265,0.0220849656617987,0.133134567706748,0.868342785231661
43,1,60165,0.00160984488549149,0.133039119782446,0.990352239165736
44,1,62308,-0.0723033680076859,0.132837101676345,0.586577997039957
45,1,62869,-0.0667432535246295,0.132828648227747,0.615645799560987
49,1,66841,-0.0218947847999481,0.132933657915915,0.869270770103851
50,1,66948,-0.0545220588158522,0.13372314325364,0.683723895951812
51,1,68621,-0.19399348028287,0.132992069617164,0.145541130954509
52,1,69417,-0.167167374488782,0.132741292080571,0.208737016897899
56,1,74327,-0.109989027243282,0.133642429906762,0.411058057942054
57,1,74572,-0.0817526938062856,0.133343470618004,0.540205957658955
58,1,75211,-0.0906609097317121,0.133083792485213,0.49617148247123
59,1,76030,-0.0764730657986496,0.133109027879987,0.565985628535637
60,1,80108,-0.231924756130334,0.13256627701628,0.081073551726289
61,1,81262,-0.171329462967171,0.132776652557436,0.197770835876696
62,1,81999,-0.19601505527549,0.133005904672847,0.141444939359413
63,1,82431,-0.252581382077772,0.133370160960876,0.0590639821214194
64,1,83284,-0.172948378053331,0.132751801145754,0.193493999831817
65,1,83613,-0.12436261789641,0.132891155689656,0.350004013498019
66,1,84112,-0.158487822595342,0.132802928834899,0.233511811700762
68,1,84858,-0.0644343789376259,0.133402053926917,0.629388838761087
