SNP,Chr,Pos,Effect,SE,PMC1_GTR2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.012291191179904,0.165894769493593,0.94098050937255
9,1,27272,0.0304424155655922,0.163396643565457,0.852308748735737
16,1,27843,0.029837815351414,0.159530559525621,0.851740556918887
17,1,27848,0.029837815351414,0.159530559525621,0.851740556918887
18,1,28495,0.0341514317217504,0.159530692140427,0.83061266589321
19,1,28975,0.0407099047144644,0.158459793227557,0.797397929806017
26,1,31435,-0.059493152093862,0.158023009821667,0.706783214089082
29,1,36146,-0.15711373727025,0.157017215581545,0.317698515139505
31,1,37409,-0.0705018760093375,0.158045368131956,0.655808391220258
32,1,37478,-0.0704791340982072,0.158181335527459,0.656188885381672
33,1,39144,-0.00500540401701506,0.157503558944117,0.974665755950198
34,1,41499,-0.0926670540539022,0.15698944536065,0.555383506948065
37,1,51248,-0.230630182279418,0.157257090688362,0.143380478354597
38,1,51462,-0.226627087449379,0.157488094666112,0.151033516610712
39,1,52124,-0.17636823733587,0.157455882608136,0.263427509812297
40,1,52667,-0.228145426559686,0.157013812011955,0.147104402594053
42,1,59265,-0.0989689752629139,0.157315048574408,0.529681846679585
43,1,60165,-0.0846961377000092,0.157219656165043,0.590425046652384
44,1,62308,-0.0976042192644664,0.157025381712562,0.534617680260967
45,1,62869,-0.0982129699626168,0.157004562869447,0.532019502182353
49,1,66841,-0.00100910263119738,0.157165585688892,0.994880737742862
50,1,66948,-0.0464118741880228,0.158110842853948,0.76928184747705
51,1,68621,-0.219720168096648,0.157267553485705,0.163257895625508
52,1,69417,-0.157285472033647,0.157061326472688,0.317306317720649
56,1,74327,-0.117427426256732,0.158025458754617,0.457920333845681
57,1,74572,-0.0972732072642843,0.157642969865981,0.537601149888108
58,1,75211,-0.0715241353689049,0.157394409468873,0.64980143590108
59,1,76030,-0.0400812760213277,0.157425986385436,0.799177272765337
60,1,80108,-0.0613473937467891,0.157369344221467,0.69689687520251
61,1,81262,-0.0650334144190437,0.157305630898454,0.679549396532284
62,1,81999,-0.0937535770762652,0.157649010794112,0.552426234155499
63,1,82431,-0.153916660643372,0.158262723089371,0.331448437014762
64,1,83284,-0.0768020433066498,0.157268295208289,0.62560484639608
65,1,83613,-0.0440103296682786,0.157286633804393,0.779787375925921
66,1,84112,-0.0725981156964376,0.157273951770113,0.64465041962635
68,1,84858,0.0347280771446096,0.157754592409598,0.825889470867356
69,1,85751,-0.0596902662076557,0.158382017251425,0.706492744253333
70,1,87445,-0.0480861282130312,0.158728121109171,0.762109083556208
71,1,87467,-0.116666634518047,0.159458952700094,0.464873414216378
72,1,89070,-0.0610064289973321,0.158547804424805,0.700630244498127
73,1,89616,-0.0046935781832192,0.157727766392878,0.976277299912953
74,1,89679,-0.0229371934431772,0.157743213595082,0.884471398718334
75,1,89880,-0.0116511804345185,0.15778668879119,0.941178456929535
76,1,91472,0.0188722876862676,0.158955958997932,0.905559558920855
77,1,93789,0.00610326655666368,0.157321075950042,0.969075785198342
78,1,94351,-0.0374682715879122,0.157722846416395,0.812362003198132
79,1,99148,-0.00430681182545847,0.157321244325363,0.978175383817065
82,1,106800,-0.0575331299974425,0.157503855164981,0.71512059576439
83,1,107970,-0.0108662611783057,0.157065838933729,0.944883252858013
84,1,109000,-0.0448145631270491,0.15732562822499,0.775924361988284
85,1,112549,-0.201788291824225,0.156798196129777,0.198961962536961
86,1,112742,-0.17235751343622,0.157510994624109,0.274588366154303
