SNP,Chr,Pos,Effect,SE,SRO9_GIS2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0259837201343243,0.0694053359623407,0.708349082135693
9,1,27272,-0.029779615035296,0.0683582224452501,0.663363792739174
16,1,27843,0.10674762196537,0.0665165710932699,0.109426007178508
17,1,27848,0.10674762196537,0.0665165710932699,0.109426007178508
18,1,28495,0.143408222439861,0.0663220836013469,0.0312663343637537
19,1,28975,0.106716814714323,0.0660699096011833,0.10715850407668
26,1,31435,0.090230730722557,0.0659633210020963,0.172215879554915
29,1,36146,0.0850710595413204,0.0656408993327598,0.195819814802353
31,1,37409,0.134832382259049,0.0657622245695716,0.0410731706811142
32,1,37478,0.113081837519065,0.0659353685709411,0.087215360888585
33,1,39144,-0.0306326007921858,0.0658872008518755,0.642271884427903
34,1,41499,-0.00834758407744542,0.065723056228253,0.899003611962137
37,1,51248,0.0268460865585247,0.0659888441274492,0.68438113096815
38,1,51462,0.0183655207948587,0.0660865857946342,0.781251136466917
39,1,52124,0.051729061467555,0.065946863352245,0.433328454602638
40,1,52667,-0.0234300215835373,0.0658867307938752,0.722344589720008
42,1,59265,-0.00877359599985786,0.0658636316854821,0.894104388056401
43,1,60165,-0.0111053157055847,0.0658128605870176,0.8660971584164
44,1,62308,0.00145328046279584,0.0657430865928782,0.982376329508806
45,1,62869,-0.00338468533927368,0.0657346281318744,0.958964080812495
49,1,66841,0.0469528812197883,0.0657183571161141,0.475417371322391
50,1,66948,0.0350018264954443,0.0661432376520607,0.597011641343746
51,1,68621,0.00680644645389716,0.06598921904661,0.917906600536451
52,1,69417,-0.00735868835666448,0.0658143494178841,0.911037776944695
56,1,74327,-0.104808106531376,0.0659418320161107,0.112864759328398
57,1,74572,-0.0890263777324603,0.0658308677421147,0.177129048407035
58,1,75211,-0.079438973389245,0.0657450480121925,0.22774519074593
59,1,76030,-0.0258870205374584,0.0658664546202866,0.694539857781393
60,1,80108,-0.0801992777058086,0.065726823238354,0.223206998267327
61,1,81262,-0.123165731788279,0.0655132246801069,0.0609295842726116
62,1,81999,-0.104114694364044,0.0657681358884794,0.114303999957545
63,1,82431,-0.0987098582756158,0.0661051629206222,0.13627163349346
64,1,83284,-0.126102869548366,0.0654880144136763,0.0549589620810405
65,1,83613,-0.097587272344216,0.0656185555932636,0.137857245251127
66,1,84112,-0.0824199844806952,0.0656847335695481,0.210388230930902
68,1,84858,-0.0197997438607053,0.0660084402254067,0.764385930079576
69,1,85751,-0.0524384430434814,0.0662294155556199,0.429026699886884
70,1,87445,-0.0468408675480407,0.06638152722518,0.480882989407808
71,1,87467,-0.0517822815939542,0.0667191812002989,0.438196136280708
72,1,89070,-0.0231722100074668,0.0663466894960641,0.727102766889925
73,1,89616,-0.0181070945527452,0.0659941417294444,0.783957507640171
74,1,89679,-0.0110814539174393,0.0660069011780694,0.86677125829675
75,1,89880,-0.0226557424010993,0.0660152494088675,0.731660172603843
76,1,91472,-0.0173793442345746,0.0665099279765996,0.7940100748745
77,1,93789,-0.0328454413903959,0.0658078403142575,0.618011826638098
78,1,94351,0.00160290428063922,0.066004257051224,0.980639109774066
79,1,99148,0.00518424018340106,0.0658304782432337,0.937275008750929
82,1,106800,0.0253091232438066,0.0659060899195704,0.701196331711138
83,1,107970,0.0232545284376889,0.0657129027266437,0.72363955774706
84,1,109000,-0.0113215416972328,0.0658376292833397,0.863566286708617
85,1,112549,0.000363192986304356,0.0657658523688996,0.995596811539418
86,1,112742,0.0205637577571079,0.0660130062301501,0.755596301878633
