SNP,Chr,Pos,Effect,SE,TPO1_MID2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0862244922678637,0.157696353003073,0.584878476573375
9,1,27272,-0.0949534406703991,0.155311668143114,0.541345836958135
16,1,27843,0.0733107971698336,0.151667014242941,0.629135001100106
17,1,27848,0.0733107971698336,0.151667014242941,0.629135001100106
18,1,28495,0.0789056166038491,0.151661518177075,0.603198423609119
19,1,28975,0.0824639774453284,0.150641568734372,0.584437195087149
26,1,31435,0.04913691144288,0.15028345118987,0.743890749897147
29,1,36146,-0.0338790498806044,0.149520290770438,0.820877635169236
31,1,37409,0.0626544471734048,0.150302667951634,0.677037705099768
32,1,37478,0.0582858622886551,0.150436912342808,0.698661116012098
33,1,39144,0.0810043619684714,0.14972020333093,0.588822447888334
34,1,41499,0.0712174032704541,0.149318700621996,0.633693572952442
37,1,51248,0.0285628722370525,0.149994875398758,0.849085059624454
38,1,51462,0.0307946730879413,0.150197041252884,0.837668035547469
39,1,52124,0.00475187211210164,0.15000236609447,0.974746226381906
40,1,52667,-0.107831078430323,0.149652167840021,0.471666548233439
42,1,59265,-0.0690300144526454,0.149641530734508,0.644865691240565
43,1,60165,-0.00514396316903703,0.149573264445643,0.972584856650596
44,1,62308,0.0968685476066383,0.14932003246288,0.516934008533007
45,1,62869,0.0899397623719541,0.149313535137493,0.547324546394116
49,1,66841,0.166817061331673,0.149196700831005,0.264283962363735
50,1,66948,0.145618700454761,0.150178051666036,0.332889681595019
51,1,68621,-0.0285828168803255,0.149962821931578,0.848949063223533
52,1,69417,0.0316817538500946,0.149564009566973,0.832363948404349
56,1,74327,0.0302317904634264,0.150387251068215,0.840793799619416
57,1,74572,0.0454050106274446,0.149975987888205,0.762259828803
58,1,75211,0.0419180681835356,0.149705404910192,0.779638668190258
59,1,76030,0.0683831383033769,0.149677783159717,0.648046218029161
60,1,80108,-0.0313032860135434,0.149677355670111,0.834460816400048
61,1,81262,0.0503750552639765,0.149606015782758,0.736529498457175
62,1,81999,-0.0655719235775958,0.149954849283299,0.66217730071327
63,1,82431,-0.118526247819859,0.150573401332026,0.431712931347179
64,1,83284,-0.126611622606994,0.149456988583902,0.397488716798187
65,1,83613,-0.0877978016975496,0.149519343329403,0.557444576820877
66,1,84112,-0.0919509900856785,0.149528765889526,0.538991549707199
68,1,84858,0.0457930198817551,0.150011278590138,0.760345126805768
69,1,85751,-0.0371397578060027,0.15063477471079,0.805395942857519
70,1,87445,-0.054432600102428,0.150938401371932,0.718593323575948
71,1,87467,-0.104631268614917,0.151654302591354,0.490689806281329
72,1,89070,-0.0628744769016197,0.150769587191002,0.676914630102733
73,1,89616,-0.0284325661207713,0.149987823160425,0.849758318006989
74,1,89679,-0.0578581657017981,0.14998284065401,0.699902920050105
75,1,89880,-0.0213189155623809,0.150048171494079,0.887097494892694
76,1,91472,-0.0317426271302874,0.151156827085511,0.833790406879594
77,1,93789,-0.0689207343805532,0.149563857077451,0.645217669013102
78,1,94351,-0.112685951605199,0.149882626674943,0.452655494061668
79,1,99148,-0.107075328861282,0.149500249215477,0.474327979287466
82,1,106800,-0.131346557308319,0.149647437946772,0.380699887945547
83,1,107970,-0.0301299420237949,0.149358195915833,0.840244461648916
84,1,109000,0.00743171856525549,0.149629516798878,0.960415475150509
85,1,112549,-0.109716590201011,0.149346533232864,0.46304383969806
86,1,112742,-0.0620959762740554,0.150006551685809,0.679158391371768
87,1,113050,-0.0375938756193774,0.14977717647479,0.801961158027214
88,1,113135,-0.0278926941161106,0.149401640951097,0.85200621336103
89,1,114076,-0.0181966432770334,0.149405877664845,0.903131977927171
90,1,114628,0.000538792886748907,0.149786992539924,0.997131998981934
91,1,116283,0.0844761327066876,0.150552971316977,0.575081475355887
93,1,127853,0.154867278534695,0.150113522476085,0.30293410247742
94,1,128302,0.15596085227835,0.149531951892527,0.297665059169233
95,1,128704,0.117903684206699,0.149779853871258,0.431704775167697
96,1,128911,0.143506986369,0.149733159890057,0.338507874058842
97,1,130267,0.142585090776065,0.149664495367118,0.341394901599201
98,1,130271,0.14031172098616,0.14984866320076,0.349729975364649
99,1,130613,0.232463064489875,0.15093041751567,0.12440745557045
100,1,132012,-0.112975525985133,0.150995585691161,0.454835204144948
101,1,133231,-0.145300236212039,0.149843521689684,0.332870044817479
102,1,137074,-0.123856836538813,0.149684470992384,0.408539471821871
103,1,137304,-0.193840729111589,0.149526132555624,0.195695957464078
104,1,139686,-0.17389792541985,0.149792931248326,0.246458036582017
105,1,149562,-0.154392151517581,0.150196363853603,0.304684073742635
106,1,150447,-0.0921893419016677,0.152010327377537,0.544594089807669
108,1,154084,-0.152672019288014,0.152342813870346,0.316952325542811
110,1,157269,-0.179720546258575,0.149484803058228,0.230066213433267
111,1,160054,-0.143853301542958,0.151019708434877,0.34147164438032
112,1,166222,-0.124953917991004,0.149947842946372,0.40523008285592
113,1,166416,-0.141789098673527,0.149600314210794,0.34388672394051
114,1,167326,-0.184317120715286,0.150321958857502,0.220959916787362
115,1,168836,-0.12861537904303,0.149771488894596,0.391064462236259
116,1,171200,-0.201664113178738,0.14976824804554,0.179002735878345
117,1,171431,-0.20064330558253,0.150711906956861,0.183948245882058
118,1,173339,-0.266023443158875,0.149244676980791,0.0755327561818102
119,1,173845,-0.259002239453964,0.149154858540075,0.0833540169287003
120,1,175121,-0.274300155628148,0.148778946093606,0.0660683768785804
121,1,175281,-0.27040086645161,0.14892682429878,0.070270450724631
122,1,175315,-0.27658852347237,0.148847301228344,0.0639724630229564
123,1,175523,-0.258803804327762,0.149788955128582,0.0849005344948073
124,1,175541,-0.274264182100059,0.149094181250383,0.0666758891540905
125,1,175653,-0.295795796433093,0.14945419648735,0.0485731179532663
128,1,175856,-0.274602591038438,0.152061302722376,0.0717907148752265
129,1,175876,-0.2652764384524,0.149756874648192,0.0773601619496226
130,1,175989,-0.265802314179343,0.150185314255175,0.0776188528469831
131,1,176001,-0.264499945333597,0.150981287051268,0.080664102309624
133,1,177692,-0.24724386782584,0.148993506307766,0.0979178577813605
134,1,178191,-0.263638901604155,0.149063028948297,0.0778174594555423
135,1,178224,-0.24724386782584,0.148993506307766,0.0979178577813605
136,1,178960,-0.281214491172313,0.150023343212869,0.0616911006599562
140,1,183802,-0.2347292885577,0.149069736969971,0.11623825699761
141,1,183954,-0.22271467659689,0.150214435713094,0.13906095111726
