SNP,Chr,Pos,Effect,SE,SSH1_PIS1_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.106704587509528,0.141715030107766,0.451980720134544
9,1,27272,-0.058849619454524,0.139663719581441,0.673743897474373
16,1,27843,0.013361539991554,0.136391660378543,0.922016088438236
17,1,27848,0.013361539991554,0.136391660378543,0.922016088438236
18,1,28495,0.0440330038178826,0.136375586408591,0.746976986531708
19,1,28975,0.0169452825299818,0.135480993546964,0.90053538837321
26,1,31435,0.00137814050422272,0.135125014177415,0.991868275023181
29,1,36146,-0.0950850231176736,0.134332974706216,0.479517388277164
31,1,37409,0.0500744896589862,0.135128826446568,0.711181192535292
32,1,37478,0.0111107144633687,0.135269999329765,0.934584073577056
33,1,39144,-0.0471863737954652,0.134630591377792,0.726181728646074
34,1,41499,0.0220998715546783,0.134275362360436,0.869363897938641
37,1,51248,-0.013765996350568,0.134850084010906,0.918748196381288
38,1,51462,-0.00830587781753278,0.135034211349958,0.95098831248161
39,1,52124,-0.0320162835298649,0.134841307430632,0.812455715281894
40,1,52667,-0.0620314578709682,0.134595468129062,0.645173316572373
42,1,59265,-0.041672466553156,0.13454975487256,0.756958244557636
43,1,60165,-0.0272729019556559,0.134458511056929,0.839380803039669
44,1,62308,-0.156782039861287,0.134059001851671,0.242991186736417
45,1,62869,-0.120169991416115,0.134149204120106,0.370973476576667
49,1,66841,-0.0764426225032619,0.134303273737675,0.569596547412601
50,1,66948,-0.12155587409086,0.135034600510488,0.368636472355252
51,1,68621,-0.321500293965858,0.133732952523114,0.0167294461562141
52,1,69417,-0.248788123272892,0.133812767939582,0.0638270502255485
56,1,74327,-0.198260365958475,0.134793216595273,0.142222978549446
57,1,74572,-0.1586042913583,0.134581178744717,0.239390025395246
58,1,75211,-0.161759390069433,0.134324225003727,0.229301403381358
59,1,76030,-0.0539651863682278,0.134569210361597,0.688646704810597
60,1,80108,-0.143721187521979,0.13435044142302,0.285463434355737
61,1,81262,-0.164072625314661,0.134233403878306,0.222412141356766
62,1,81999,-0.177606022271313,0.134513923881132,0.187572242355561
63,1,82431,-0.225648923810832,0.134950624365958,0.0953936336251782
64,1,83284,-0.108872639320887,0.134373212019908,0.418356289726833
65,1,83613,-0.0861636806084005,0.134405061374294,0.521890148716083
66,1,84112,-0.106972921036461,0.134377534250559,0.426530695897685
68,1,84858,-0.00921874207860052,0.134876801824011,0.945546236843843
69,1,85751,-0.148079467519488,0.135202550985465,0.274157475037458
70,1,87445,-0.192370740853209,0.135331599753347,0.156061010998287
71,1,87467,-0.227846795704115,0.135888811010344,0.0944835332705577
72,1,89070,-0.181419244438383,0.135230699346872,0.180603142999305
73,1,89616,-0.12398985169666,0.134684090602245,0.357889242567323
74,1,89679,-0.146630163011817,0.134636744754249,0.276861623793178
75,1,89880,-0.137775426876678,0.134697457758905,0.307078753820052
76,1,91472,-0.140866121523428,0.135691250608283,0.299916802648092
77,1,93789,-0.165322117602273,0.134209957362925,0.218837349122159
78,1,94351,-0.167866176268833,0.134555767793412,0.213019811085315
79,1,99148,-0.187205753710389,0.13412851407537,0.163676303290615
82,1,106800,-0.196216482891618,0.134273995387237,0.144818819580501
83,1,107970,-0.154070190172486,0.134029888929024,0.251119380430294
84,1,109000,-0.222196465673442,0.133996286869928,0.0981596346710307
85,1,112549,-0.206685540993201,0.133913801897272,0.123624324736819
86,1,112742,-0.178449486467421,0.134553569497698,0.185619718119994
87,1,113050,-0.14516606015453,0.134439612584335,0.280974528769697
88,1,113135,-0.158135733568999,0.134054497583949,0.238938744443494
89,1,114076,-0.0781520281918508,0.134254039230631,0.560857109720592
90,1,114628,-0.0512825824264481,0.134630598773576,0.703496736593305
91,1,116283,-0.0404909637765036,0.135390068971447,0.765063440401849
93,1,127853,0.140747890217646,0.134947338307877,0.29766953188247
94,1,128302,0.112224475066312,0.13450339258056,0.404641483364746
95,1,128704,0.1264970708038,0.134601695301526,0.347968884505832
96,1,128911,0.222199599691541,0.134265040765145,0.0988269307729927
97,1,130267,0.152109251409103,0.134477521315527,0.258775465284135
98,1,130271,0.148618317759592,0.134648750622217,0.2704542077421
99,1,130613,0.145127024064421,0.135922046033045,0.286375355867766
100,1,132012,0.0782365747286111,0.135788545582236,0.564870981602737
101,1,133231,-0.0551801994741322,0.134856396464618,0.682657574622446
102,1,137074,-0.0112846033572453,0.13469519537708,0.933279784450601
103,1,137304,-0.00917111459562847,0.134742468714254,0.945773205027712
104,1,139686,0.0296041188192301,0.13491122544642,0.826438764096833
105,1,149562,0.0788418774589986,0.135163100841599,0.560057660578996
106,1,150447,0.0832527562773338,0.136656391537415,0.542775598894279
108,1,154084,0.0842986541874147,0.137077221084126,0.538969422483066
110,1,157269,0.0598517341103749,0.134623767883908,0.656892000510119
111,1,160054,0.116525403311077,0.135799294858309,0.391435623279869
112,1,166222,0.11536390562457,0.134795615789455,0.392665086382175
113,1,166416,0.12506747509172,0.13449682369459,0.353062638459558
114,1,167326,0.0935204151855908,0.135335165840624,0.490001985703844
115,1,168836,0.0800607809001549,0.134717516301622,0.552701283158527
116,1,171200,-0.00896784618760327,0.134985897809746,0.94706877340491
117,1,171431,-0.0690334232227739,0.135779766708624,0.611474996640245
118,1,173339,-0.0217194931871177,0.134768213921788,0.872058131074587
119,1,173845,-0.0375799547816441,0.134646597146378,0.780331015327422
120,1,175121,-0.0292865804184946,0.134385416253905,0.827609767229107
121,1,175281,-0.0402744926140046,0.134491606890306,0.764767390359659
122,1,175315,-0.0382698794759254,0.134450917985411,0.776088179551476
123,1,175523,-0.03823299036391,0.135212913750962,0.777525490790095
124,1,175541,-0.039382223031671,0.134660019638463,0.770109291873592
125,1,175653,-0.0473561526798605,0.135078978618994,0.726111662024471
128,1,175856,-0.0453136073396182,0.137311690877206,0.741591589642614
129,1,175876,-0.0354655274890904,0.135215050306828,0.79325102707925
130,1,175989,-0.0516731958866197,0.135586162846128,0.703351149167608
131,1,176001,-0.0537843912051141,0.136290634949536,0.693354193132712
133,1,177692,-0.0357296053574535,0.134452898315602,0.790594058917373
134,1,178191,-0.0343812365138986,0.134587420342239,0.79851928754342
135,1,178224,-0.0357296053574535,0.134452898315602,0.790594058917373
136,1,178960,-0.0438854181178415,0.135520180279026,0.746258974772094
140,1,183802,-0.122278108158126,0.134325706532861,0.363279908935221
141,1,183954,-0.092161419223913,0.135373513679712,0.496448420606346
142,1,184450,-0.0285178558993615,0.134267720649862,0.831921108873432
144,1,184718,-0.0728208688307776,0.134983587812667,0.589896200606527
145,1,185296,-0.0259292787038586,0.134459264087711,0.847194276936518
146,1,185438,-0.0419867324012375,0.134454125027535,0.755015518753881
147,1,185469,-0.0455727533996989,0.134644919910487,0.735213123174181
148,1,185503,-0.040082660401967,0.134301519341596,0.765533221397121
149,1,185705,-0.0659004886949211,0.135774359311456,0.627716634097003
150,1,185749,-0.0255660512034,0.135812841011626,0.850792979841284
151,1,185806,-0.0562123838662184,0.135968101106199,0.679547526873639
152,1,185879,-0.064495983616967,0.136615066171741,0.637147057474816
153,1,185916,-0.000125418864932884,0.136596033787906,0.999267922257048
154,1,185941,0.0052937875622682,0.137190776597227,0.969241439003439
