SNP,Chr,Pos,Effect,SE,SRO9_GIS2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0112110954584677,0.102182141678824,0.912696338582059
9,1,27272,0.0566474494020777,0.100604144626061,0.573742822847869
16,1,27843,0.0582703265748753,0.0982189613607565,0.553380636914345
17,1,27848,0.0582703265748753,0.0982189613607565,0.553380636914345
18,1,28495,0.107172158580896,0.0981038123290894,0.275386399468639
19,1,28975,0.0575284530028087,0.0975645955136009,0.555806037821865
26,1,31435,0.0755931719393111,0.0972708338288851,0.437595943611443
29,1,36146,0.00409863962171148,0.0968517647575599,0.966268573766783
31,1,37409,0.11572407491648,0.0971806788773519,0.23452689069107
32,1,37478,0.0859470375961357,0.0973519666685024,0.377918947560822
33,1,39144,-0.00735179625190346,0.097013862522863,0.939636353749387
34,1,41499,0.00363798650509749,0.0967453607865071,0.970024889599845
37,1,51248,0.0181722060339502,0.0971525340985279,0.851730304322927
38,1,51462,0.0324844563278843,0.0972737302530449,0.738616408358417
39,1,52124,0.0269524635448217,0.0971467574576966,0.781604146416833
40,1,52667,-0.0367436519205336,0.0969819245204683,0.705011334280935
42,1,59265,0.063226972064283,0.0968942844018126,0.514480403910266
43,1,60165,0.0429078106210173,0.0968525203130003,0.65802109010652
44,1,62308,-0.0424848189136992,0.0967464732301861,0.660831974444351
45,1,62869,-0.010451451748323,0.0967591420361959,0.914045054317863
49,1,66841,0.055727816407723,0.0967608930984106,0.565027281941375
50,1,66948,0.0256603520619444,0.0973908795646649,0.792335925684685
51,1,68621,-0.109858617620765,0.0969604486523653,0.25797269007583
52,1,69417,-0.129112985909614,0.0966354073680048,0.182382602138151
56,1,74327,-0.0402658757888931,0.0973884994480039,0.679523487744378
57,1,74572,-0.0458313397056574,0.0971221065092247,0.637294004667871
58,1,75211,-0.02682895781578,0.0969651208912832,0.782182632809709
59,1,76030,-0.00284250245754014,0.0969755167763558,0.976632681773147
60,1,80108,-0.0470461084111745,0.0969203645440659,0.627686707245657
61,1,81262,-0.06592851776102,0.0968525068427038,0.496500939954572
62,1,81999,-0.107390345590272,0.0969844499461328,0.268920583853256
63,1,82431,-0.0946044882462145,0.0974826732418421,0.332474309185082
64,1,83284,-0.109542772297952,0.0967267601957287,0.258194173295941
65,1,83613,-0.064372864510233,0.0968310438837778,0.506615215162088
66,1,84112,-0.0602744149648955,0.0968492002704468,0.534111400459096
68,1,84858,0.0653912934146302,0.0971134598319992,0.501165613755275
69,1,85751,0.0172074887309916,0.0975709265433352,0.86011322553433
70,1,87445,0.0440581327379237,0.0977533696408827,0.652477409164368
71,1,87467,0.00762303146611096,0.0982925452906084,0.93822635830911
72,1,89070,0.0342612729688522,0.0976611719005229,0.725934343584943
73,1,89616,0.0643293711901624,0.0970923832855806,0.508045791215607
74,1,89679,0.0430161738398818,0.0971380603027868,0.65815601934886
75,1,89880,0.041586809108583,0.0971644493990474,0.668908942717181
76,1,91472,0.050185488502976,0.097874633453076,0.608444981085859
77,1,93789,0.0878360929770026,0.0967894795954704,0.36476349807192
78,1,94351,0.0957822565199549,0.0970235075874124,0.324217488697498
79,1,99148,0.110215199975113,0.0967245962597901,0.255277960039736
82,1,106800,0.0760542632403583,0.0969485569959851,0.433284269307122
83,1,107970,0.089936442533863,0.0966270590895798,0.352614663966971
84,1,109000,0.10312798678316,0.0967604916731576,0.28723942967223
