SNP,Chr,Pos,Effect,SE,ERV25_EMP47_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.069991537488769,0.062939410155126,0.266875020705434
9,1,27272,-0.0974368520705675,0.0618857832238114,0.116276319392685
16,1,27843,0.00330118065044145,0.0606330720710723,0.956611255926303
17,1,27848,0.00330118065044145,0.0606330720710723,0.956611255926303
18,1,28495,-0.00380508594355422,0.0606339701895556,0.949997103160422
19,1,28975,-0.0109353360111318,0.0602261904558938,0.85602353900327
26,1,31435,0.00880972628111071,0.0600675974425374,0.88348132341016
29,1,36146,-0.00606633989095048,0.0597588120168155,0.919200294554363
31,1,37409,0.00643774437838585,0.0600818194089737,0.914731149478822
32,1,37478,-0.00557743501344654,0.0601337133071444,0.92615435266408
33,1,39144,-0.0340091141200962,0.0598326626176844,0.570122196577448
34,1,41499,-0.0614331595054517,0.0596043805530354,0.303395644492334
37,1,51248,-0.037767404565553,0.0599143727960497,0.528869317207574
38,1,51462,-0.0305703420426984,0.0600073190091081,0.610759670334201
39,1,52124,-0.00269666451307638,0.0599479123455731,0.964145928279853
40,1,52667,-0.0445481531416701,0.0598050256662639,0.456833976444113
42,1,59265,0.0599482885618983,0.0597366625924446,0.316286515440929
43,1,60165,0.074137652578481,0.0596462285202312,0.21470890865328
44,1,62308,0.0187536743227036,0.0597025252246882,0.753616510081423
45,1,62869,0.00370200488963056,0.0597030440403046,0.950592374229561
49,1,66841,-0.0222980416954803,0.0597197153408243,0.709091083351758
50,1,66948,-0.0315765777506473,0.060074581731108,0.59948023806107
51,1,68621,-0.0209536050331288,0.0599249021477834,0.726799085571546
52,1,69417,-0.043546907561039,0.0597316586272766,0.466459185383304
56,1,74327,-0.064239939684995,0.0600079276446037,0.285114823424249
57,1,74572,-0.0511393969539594,0.0598834112091849,0.393693719925851
58,1,75211,-0.0480080838330173,0.0597813797309698,0.422479957070426
59,1,76030,0.00704101907738588,0.0598347894753302,0.906392629273492
60,1,80108,0.00208703068806504,0.0598217121750906,0.972189157708665
61,1,81262,-0.00295761784403575,0.0597989925905848,0.960581223331158
62,1,81999,-0.00323981877604182,0.0599449898585308,0.956928665613219
63,1,82431,-0.0115307826063394,0.0602258758385792,0.848276120476817
64,1,83284,-0.040937554910586,0.0597510110391814,0.493707889756594
65,1,83613,-0.00902939182993772,0.0597822053449082,0.88003191990481
66,1,84112,0.0173346014356247,0.0597836066430019,0.772020323711541
68,1,84858,0.0251114928657876,0.0599445750884698,0.675535333637794
69,1,85751,0.02684800732226,0.0601889618636866,0.655825954848666
70,1,87445,0.0392715070232113,0.0602969755896197,0.515275681192229
71,1,87467,0.0595224778903395,0.0605662406970188,0.326395413676521
72,1,89070,0.0655252644060737,0.0601684669626296,0.276883574361273
73,1,89616,0.0406186109148887,0.0599062408011371,0.498192819312086
74,1,89679,0.0721430352611339,0.0598297395293396,0.228700051825642
75,1,89880,0.0603697388933798,0.0598818753165669,0.314074388387035
76,1,91472,0.0664778571591021,0.0603094462418409,0.271091195295884
77,1,93789,0.0799095666661907,0.0596392615650281,0.181145615368378
78,1,94351,0.0593599185768943,0.0598647719920304,0.322088092013752
79,1,99148,0.0591485004902958,0.0597077882066281,0.322543398424726
82,1,106800,0.0710872839914639,0.0597517039023794,0.23495940438112
83,1,107970,0.07191508162373,0.0595711554450618,0.228158357213914
84,1,109000,0.0975293485441315,0.0595734688747031,0.102495007843269
85,1,112549,0.0248653157159774,0.0597168434696657,0.677379913477605
86,1,112742,0.0106484331572406,0.0599615423497955,0.859148633456221
87,1,113050,0.02356868796262,0.0598501990552505,0.693970415932431
88,1,113135,-0.00511454243711192,0.0597102481389203,0.931788422727441
89,1,114076,0.0339582216718232,0.0596835077036063,0.569737225734623
90,1,114628,0.0389739786229877,0.0598259745289196,0.515176174467718
91,1,116283,0.0357662511956667,0.0601647639108491,0.552577460456432
93,1,127853,0.0846187555192371,0.0599137563380257,0.158730056635008
94,1,128302,0.0729514058242131,0.0597259306328202,0.222736063169966
95,1,128704,0.0742128684367953,0.0597812361575033,0.215279553586403
96,1,128911,0.0862721926238157,0.0597420137738614,0.149603670578163
97,1,130267,0.0671113802647527,0.0597832003721095,0.262379177503788
98,1,130271,0.068324557539407,0.059850519941668,0.254399657734174
99,1,130613,0.0600144053268229,0.060436875746128,0.321385396771171
100,1,132012,0.0282537494897248,0.0603740412907141,0.64008880815803
101,1,133231,-0.017475418222627,0.0599570066669745,0.770866275200781
102,1,137074,-0.0570587738123364,0.0598018763756993,0.340670664063942
103,1,137304,-0.0460999257491761,0.0598494771949841,0.44165820779791
104,1,139686,-0.0319698901975002,0.0599543280425074,0.594204809489371
105,1,149562,-0.0324328646391187,0.0600905113827258,0.589721102415838
106,1,150447,-0.0271461455267873,0.0607649404600977,0.655336555174814
108,1,154084,-0.0538978305395131,0.0609023758318687,0.376765878083845
110,1,157269,-0.0470780456207075,0.059810879804273,0.431742640096605
111,1,160054,-0.0778332770738285,0.060289936801318,0.197554419613426
112,1,166222,-0.0858454712686381,0.0598108547933621,0.152092056448562
113,1,166416,-0.0838431908513521,0.0596967823574795,0.161053964461416
114,1,167326,-0.0719530144780349,0.0600815895626769,0.23188083054862
115,1,168836,-0.0712234772478229,0.0597981805353096,0.234428601138686
116,1,171200,-0.0658759054713535,0.0599054295380528,0.272227477577149
117,1,171431,-0.0745228470111736,0.060252166877671,0.216965273222565
118,1,173339,-0.0997865671298978,0.0596771374949904,0.0953892799357879
119,1,173845,-0.109387300478861,0.0595795527157577,0.0672004476426033
120,1,175121,-0.0806306170565701,0.05959031878454,0.176895185981797
121,1,175281,-0.074373308405456,0.0596642619476653,0.213396317322496
122,1,175315,-0.0762068203062675,0.0596388405972686,0.202157783200186
123,1,175523,-0.0746824013441866,0.0599837415109326,0.213941431226399
124,1,175541,-0.0755019161943125,0.059734940418464,0.207082345015412
125,1,175653,-0.0567322661449325,0.059983452949184,0.34489825842521
128,1,175856,-0.067838692694057,0.060944048730041,0.266409705614713
129,1,175876,-0.071406771116262,0.0599950403479854,0.234763197884252
130,1,175989,-0.0700329902635678,0.060171476141356,0.245254578446713
131,1,176001,-0.0801249670708921,0.0604507135147484,0.185876002576244
133,1,177692,-0.0860613388940847,0.0596008502576752,0.149636699076718
134,1,178191,-0.0811868335818823,0.0596797304774024,0.174579211788069
135,1,178224,-0.0860613388940847,0.0596008502576752,0.149636699076718
136,1,178960,-0.107281256317776,0.0599828704291461,0.0745477247929512
140,1,183802,-0.0922401248609641,0.0595822152504532,0.12249062518481
141,1,183954,-0.0838946485043988,0.0600536052056353,0.163292320849138
142,1,184450,-0.0692485548716965,0.0595782277482521,0.245893515559027
144,1,184718,-0.079423211136655,0.0598822571943299,0.185590221059058
145,1,185296,-0.0667336162217733,0.0596709920834447,0.264174003063605
146,1,185438,-0.0653429815136435,0.05967817889331,0.274297091845902
147,1,185469,-0.06756262485608,0.0597576067875351,0.258986312389427
148,1,185503,-0.0573230969433515,0.0596328703961297,0.337076027276437
149,1,185705,-0.0635894125148471,0.0602832853951993,0.292218480803816
150,1,185749,-0.0679188483096949,0.0602699061713541,0.260545367688841
151,1,185806,-0.0632767968510527,0.0603649643438712,0.295246531156236
152,1,185879,-0.0575643513490698,0.0606736781272187,0.343395166637075
153,1,185916,-0.0675953171693184,0.0606166831332255,0.265554470832827
154,1,185941,-0.0587862189322607,0.0609075622167961,0.335119860520023
155,1,185954,-0.0747431445311886,0.0610364814465218,0.221555699343195
156,1,186055,-0.0694324391088924,0.0598312184951803,0.246641002613638
157,1,186896,-0.0692502110385827,0.060816431947157,0.255610483592769
161,1,190132,-0.0260458239232379,0.0600052667641588,0.664510795184319
162,1,190148,-0.0331966660079686,0.0600133759461234,0.580507796549882
163,1,190165,-0.0179951167874222,0.0604931551014671,0.766279942121944
164,1,190169,-0.0260404929174822,0.0604093937119742,0.666682803709799
165,1,190933,-0.017282421647681,0.0599282199832502,0.773221026735564
166,1,192149,-0.0196810251097585,0.0604162109385243,0.744800960138186
168,1,192303,-0.0067853184216542,0.0720351212251006,0.925008027763602
171,1,192795,-0.063355058810685,0.0597267014701867,0.28952904528049
173,1,194187,-0.0556190006914698,0.0597981465031105,0.352948482934799
174,1,194867,-0.100904418649284,0.0595972977182361,0.0913179270053971
190,2,8314,0.0319942292333248,0.0608281278454188,0.599234085009645
194,2,8498,0.0203191670080991,0.0607532143566478,0.738235479457528
195,2,8651,0.0355092019439377,0.0607903595823249,0.559508934285905
197,2,9812,0.0457877706637215,0.0611325534312364,0.454361043410204
198,2,9932,0.0413886384397205,0.0609001483835518,0.497193839677137
199,2,10135,0.0563342419362051,0.0606325073103066,0.353467203451438
200,2,11616,0.0160561580895219,0.0606361424670111,0.791321798525381
201,2,12133,0.0518653724357901,0.0608206292756566,0.394370878644723
202,2,12194,0.0491463348376897,0.0610626713466078,0.421447576864101
203,2,12359,0.0478809876601343,0.0608866671197207,0.432163533942859
204,2,13061,0.0243739150296001,0.0609216814863494,0.689335133084266
205,2,14298,0.0352529926412916,0.0610989208927932,0.564319215398956
206,2,15222,0.0223357673656878,0.061712358764947,0.717618317244963
207,2,17986,0.0217458805457979,0.0606311180227619,0.720064802197098
208,2,19770,0.0194544054198004,0.0610526598703998,0.750180692661753
209,2,19836,0.0135823984656943,0.0608893915532535,0.823612581079141
210,2,19851,0.0242107509463245,0.061058374571307,0.691962445419547
211,2,21595,0.0290393741602645,0.0608000894122251,0.63321587973808
212,2,22385,0.0263326972961001,0.0608611454880551,0.66551986909366
213,2,23441,0.00740187864432418,0.0614672919222651,0.904219121506491
214,2,24209,0.00275388637170781,0.060962239387681,0.963994446876364
215,2,24341,0.0236290274975782,0.0610936674417744,0.699161597362422
216,2,26815,-0.0149855512933224,0.0610281722397791,0.80617223672148
217,2,28209,-0.0188075561158031,0.0610457143144023,0.75819578816737
221,2,41245,-0.0289085381948294,0.0608002660378967,0.634748015890857
222,2,43214,-0.0196287496711458,0.061796958674002,0.750951186510102
223,2,47104,-0.0225257747509885,0.0600708332435558,0.707895411363825
224,2,50915,0.0483929043656417,0.0606184300076054,0.425221562062596
225,2,55834,0.051812423632172,0.0603297718310637,0.391022542205818
226,2,56422,0.042269831479913,0.0604588916586946,0.484918723883628
227,2,57715,0.0501683963558209,0.0602421518791093,0.40553247438097
228,2,59046,0.0572223789431595,0.0605297724079285,0.345122135841464
