SNP,Chr,Pos,Effect,SE,PMC1_GTR2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0962069243353181,0.142590350118077,0.500302615026604
9,1,27272,-0.0756827356320033,0.140481759063485,0.590407840206927
16,1,27843,0.0610128580004429,0.137175852194965,0.656752481383085
17,1,27848,0.0610128580004429,0.137175852194965,0.656752481383085
18,1,28495,0.0971186986634648,0.13711910880177,0.47923892718916
19,1,28975,0.0633252533444736,0.13625761327391,0.64239950736157
26,1,31435,0.010068376364574,0.135937114891234,0.940999481796061
29,1,36146,-0.0976116220496446,0.135137386385148,0.470579697270851
31,1,37409,-0.023912009384376,0.135962468657425,0.860495244407592
32,1,37478,-0.0219507659622883,0.136080293933165,0.87194353164562
33,1,39144,-0.04074703625155,0.135446955634444,0.763718263761522
34,1,41499,-0.117565354778473,0.134943569145236,0.384226891814033
37,1,51248,-0.19376784993602,0.135270992453497,0.152902292339316
38,1,51462,-0.19094814596154,0.135466829411152,0.159551066420652
39,1,52124,-0.150972888609588,0.135425385627538,0.265692419668347
40,1,52667,-0.201643576072907,0.135020276238187,0.136217449207124
42,1,59265,-0.0649699056000244,0.135333648730933,0.631473480994777
43,1,60165,-0.0794483119698846,0.135209412068081,0.557180151537697
44,1,62308,-0.065133696256759,0.135082268974626,0.629978344755538
45,1,62869,-0.0642178359090108,0.135066534296814,0.634757946873017
49,1,66841,-0.00859379162396637,0.135172676744416,0.949343511909838
50,1,66948,-0.0417851320873313,0.13598484087816,0.758813076793614
51,1,68621,-0.133264664034752,0.135449001847632,0.32585164090124
52,1,69417,-0.0945336238393069,0.135181914708471,0.484820880202528
56,1,74327,-0.050004800546041,0.135993213247879,0.71331677891415
57,1,74572,-0.0339576448627754,0.135645087203488,0.802468614525425
58,1,75211,-0.0166535674678814,0.135406935794499,0.902185778550857
59,1,76030,-0.0196741587755073,0.135405787941127,0.884558703936457
60,1,80108,-0.11003741741377,0.135251075016345,0.416434669897953
61,1,81262,-0.167665314581501,0.135032082645402,0.215182645894049
62,1,81999,-0.204576573143831,0.135219438748607,0.131194023513685
63,1,82431,-0.217754906351849,0.135805636309147,0.109733964265399
64,1,83284,-0.157345706687037,0.13504804587173,0.244761548823544
65,1,83613,-0.127433080240758,0.135122432315064,0.346278105952896
66,1,84112,-0.158800426114654,0.135043222153967,0.240418107838852
68,1,84858,-0.0341412874711522,0.135677174704063,0.801468712378958
69,1,85751,-0.12539141600319,0.136083506337185,0.357455306421873
70,1,87445,-0.107061250824783,0.13641611729803,0.433089121246847
71,1,87467,-0.188733500670361,0.136881747135313,0.168827359629469
72,1,89070,-0.16545351882835,0.136106254669673,0.224941963917235
73,1,89616,-0.0898238194330464,0.13557285823352,0.508051042061972
74,1,89679,-0.128961931977875,0.135500566721234,0.341877726445154
75,1,89880,-0.116392183176422,0.135567213972633,0.39116755393965
76,1,91472,-0.0854980142119007,0.136640264646561,0.531905500328865
77,1,93789,-0.0851309247560684,0.135231576260699,0.529416167877587
78,1,94351,-0.144341184326209,0.135445867595059,0.28729922950837
79,1,99148,-0.113210550794009,0.135173229634598,0.40286590225164
82,1,106800,-0.112453183189781,0.135357713219262,0.406656544036055
83,1,107970,-0.0630085069554348,0.135046935918409,0.641097172703255
84,1,109000,-0.0757355736596321,0.13526659167654,0.575903724303053
85,1,112549,-0.178876645141345,0.134837751048713,0.185496427258477
86,1,112742,-0.102046200022092,0.135591348086992,0.452191219423971
87,1,113050,-0.105057511262027,0.135356352272731,0.438177177712796
88,1,113135,-0.145122725123761,0.134905803231574,0.282781027392079
89,1,114076,-0.0761647496772589,0.135065924250287,0.573174846965804
90,1,114628,0.00986728865140978,0.135467574991618,0.941975689154643
91,1,116283,0.00584033279698559,0.136221700784962,0.965826428145642
93,1,127853,0.05298077926114,0.135939181004913,0.696964705771545
94,1,128302,0.103575789227438,0.135333915660653,0.444583440993808
95,1,128704,0.0720396227715972,0.135526748122032,0.595370090455608
96,1,128911,0.123492612356978,0.135436582991727,0.362490295882422
97,1,130267,0.0560389373643,0.135498883745421,0.679436596731644
98,1,130271,0.063150758512403,0.135650930329457,0.641832808657121
99,1,130613,0.125756518756324,0.136796954023445,0.358569936932055
100,1,132012,-0.055879368598235,0.136637528143939,0.682816561231004
101,1,133231,-0.118275093316596,0.135553991385018,0.383511728580224
102,1,137074,-0.0791860723125175,0.135441533438805,0.55915566474529
103,1,137304,-0.10988549158015,0.135427962330641,0.417685963659776
104,1,139686,-0.0451060626866056,0.135711099078867,0.739808474156009
105,1,149562,-0.0883817308710799,0.13596063001222,0.516080250242137
106,1,150447,-0.0582963299783694,0.137515996410945,0.671879453289258
108,1,154084,-0.0712891309569425,0.137923775493098,0.605568215045046
110,1,157269,-0.0871277325628117,0.135392406300212,0.52030452613707
111,1,160054,-0.0454342994568608,0.136737510486811,0.739879697003447
112,1,166222,-0.0197037388878168,0.135743337164465,0.884671833622688
113,1,166416,-0.024540077831994,0.135465503451515,0.856350897583854
114,1,167326,-0.082664821758212,0.136170561848961,0.544195899524982
115,1,168836,-0.0859845165514395,0.135518729527539,0.526175735546502
116,1,171200,-0.118740850434982,0.135651905388038,0.381986896342258
117,1,171431,-0.174470536696928,0.136330953226637,0.201470933077212
118,1,173339,-0.135467700489425,0.135392340052338,0.317726581993968
119,1,173845,-0.129064324925178,0.135297523811495,0.340771993024854
120,1,175121,-0.145827999058721,0.134980225878222,0.280716950082004
121,1,175281,-0.144404024551229,0.135099668483628,0.285858477765062
122,1,175315,-0.144880659036536,0.135055556435408,0.284116735492567
123,1,175523,-0.133950502643811,0.135855040555698,0.324817705908189
124,1,175541,-0.145048856856619,0.13526663908242,0.284309744790157
125,1,175653,-0.173066357296242,0.135602992986019,0.202698290117693
128,1,175856,-0.16071145815007,0.137894244576714,0.244616134742009
129,1,175876,-0.14659866360886,0.135818039419981,0.281157317750722
130,1,175989,-0.148810356998821,0.136200033220072,0.275320349829068
131,1,176001,-0.145658598450828,0.136921722956191,0.288142270660617
133,1,177692,-0.141442335163996,0.135065880940723,0.295719250779365
134,1,178191,-0.149678203417817,0.135175285248946,0.268922637279426
135,1,178224,-0.141442335163996,0.135065880940723,0.295719250779365
136,1,178960,-0.164059461263719,0.136076065665294,0.228761825897193
140,1,183802,-0.239945369360825,0.134688442555307,0.0756930001746749
141,1,183954,-0.235639426379852,0.135699174087975,0.0833507360653671
142,1,184450,-0.175992497385509,0.134759166067285,0.192410449508267
144,1,184718,-0.226949194885551,0.135313760605596,0.0943872022602749
145,1,185296,-0.208546999908149,0.134819360076615,0.122792442727851
146,1,185438,-0.177079573483905,0.134953190970123,0.190320266435561
147,1,185469,-0.178475801787937,0.135143701858522,0.187477905083884
148,1,185503,-0.195911653113867,0.134723822715548,0.146787065128223
149,1,185705,-0.201139336063843,0.136216936209264,0.140671631020542
150,1,185749,-0.2077070610059,0.136189011809968,0.128120043486678
