SNP,Chr,Pos,Effect,SE,TPO1_TCB2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0583619984743808,0.0684276777827199,0.394292826811556
9,1,27272,-0.064431264391793,0.0673822512086961,0.339622913912469
16,1,27843,0.00238265314767644,0.0658729868094296,0.971166922484128
17,1,27848,0.00238265314767644,0.0658729868094296,0.971166922484128
18,1,28495,0.0198385584041218,0.0658657124093288,0.763441576689759
19,1,28975,0.00362637172989674,0.0654335596641131,0.955834682305181
26,1,31435,0.0124485678307866,0.0652571154697102,0.848821844840323
29,1,36146,0.0162073449840128,0.064918237448493,0.802997203581457
31,1,37409,0.0563072143235859,0.0652061688269251,0.388434733414167
32,1,37478,0.0423534518128219,0.0652922133188486,0.516969977604526
33,1,39144,-0.0839557103116148,0.0648792931230078,0.196501246767091
34,1,41499,-0.0518660374558492,0.0647938264680674,0.423972257437238
37,1,51248,-0.0762830305882713,0.0650019712953205,0.241366720263702
38,1,51462,-0.0805170434945748,0.0650760095875671,0.21680671011672
39,1,52124,-0.078044701386724,0.0649960467190747,0.230649136526892
40,1,52667,-0.0999873520504358,0.0648061301322484,0.123758583617905
42,1,59265,-0.090974654806976,0.064810841297208,0.161288778679032
43,1,60165,-0.103906077950715,0.0647064509545089,0.109210462463079
44,1,62308,-0.0119162449278595,0.0648678338331189,0.854353993902801
45,1,62869,-0.0162869037332487,0.0648569938843679,0.801867262977022
49,1,66841,-0.0175706652007633,0.0648866170278679,0.78671060096593
50,1,66948,-0.0289697723615204,0.0652734051247361,0.657443213274721
51,1,68621,-0.00827040163310699,0.0651132498341637,0.899000332638051
52,1,69417,-0.0647314647487522,0.0648509025048694,0.318886339050247
56,1,74327,-0.13791243151088,0.0648855278958337,0.0342411046038679
57,1,74572,-0.116338418148849,0.0648305211780865,0.0735887827714677
58,1,75211,-0.136793101983348,0.0645978299104668,0.0349066866297419
59,1,76030,-0.125600318837663,0.0646621952537021,0.0528828156349438
60,1,80108,-0.158691077764722,0.0644402938090424,0.0142700204418827
61,1,81262,-0.183320065135447,0.0642300250172615,0.00457039655463639
62,1,81999,-0.211588184368871,0.0641444638994683,0.00107052599654448
63,1,82431,-0.208497369253473,0.0644859693394566,0.00133943747976548
64,1,83284,-0.174991224228455,0.064286500269816,0.00680960473811274
65,1,83613,-0.183552688827781,0.0642115902266191,0.00450833846249034
66,1,84112,-0.133797256361939,0.0645661578696358,0.0389676464375316
68,1,84858,-0.102048645887514,0.0649141868491823,0.116833736239243
69,1,85751,-0.0840580540263364,0.0652555807463838,0.198542389472761
70,1,87445,-0.0925424982412376,0.065361711909864,0.157700601697979
71,1,87467,-0.1092592923054,0.0656330586171756,0.0968600980878452
72,1,89070,-0.106120502725905,0.0652337272462699,0.104677480778942
73,1,89616,-0.108651345761051,0.0648682969204238,0.0948290578942145
74,1,89679,-0.087283789720862,0.0649679182939554,0.179976154667104
75,1,89880,-0.110158455784671,0.0648859471154582,0.090441103320862
76,1,91472,-0.0793478331615716,0.06549788893926,0.226530901570394
77,1,93789,-0.0610442891086456,0.0648763855413179,0.347382976954514
78,1,94351,-0.0773328238568214,0.064998457144994,0.234938758323526
79,1,99148,-0.0605480479610706,0.064877702897524,0.351321395144316
82,1,106800,-0.0203786226613581,0.0650362687427646,0.754205575521134
83,1,107970,-0.0166461384334574,0.0648465544152191,0.797559585411668
84,1,109000,-0.0447015622844433,0.0649233181285241,0.491572200183663
85,1,112549,0.054721851699835,0.064827962365875,0.399180298470837
86,1,112742,0.0405236012848654,0.0651104663149819,0.534092332747777
87,1,113050,0.0171005732542846,0.0650302169055251,0.792732126950103
88,1,113135,0.0285119564929384,0.0648531818890208,0.660467966563794
89,1,114076,-0.0384637093423417,0.0648386229615621,0.553412349301565
90,1,114628,-0.0120827719399489,0.0650318666591346,0.852710116247141
91,1,116283,-0.0195464085511461,0.0653884890528316,0.765171371779819
93,1,127853,0.049250432999357,0.065222347732917,0.45068294391891
94,1,128302,0.0795534699316867,0.0648862656184218,0.220999070630578
95,1,128704,0.00873065755472285,0.0650873400761736,0.89337023540115
96,1,128911,0.0164166301298437,0.0650903382125545,0.801023207227322
97,1,130267,0.0188589700327333,0.0650576030515876,0.772077393649663
98,1,130271,0.0196385661881529,0.0651341836088461,0.763203648408943
99,1,130613,0.0626067976916708,0.0656668324429835,0.341039517588121
100,1,132012,-0.018026276255694,0.0656047449214845,0.783652980965991
101,1,133231,-0.0388419176303024,0.0651133697423897,0.551205222104191
102,1,137074,-0.021215149133865,0.0650437287425865,0.744490922325746
103,1,137304,-0.0180849084295951,0.0650690216745827,0.781225561130146
