SNP,Chr,Pos,Effect,SE,SSH1_ERG11_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0260542365029495,0.146442308150575,0.858892032794411
9,1,27272,-0.0152390355774203,0.144247263632671,0.915923842133185
16,1,27843,-0.083677486949258,0.140766110506268,0.552596373676792
17,1,27848,-0.083677486949258,0.140766110506268,0.552596373676792
18,1,28495,-0.0316342429655837,0.140828763954434,0.822397767210852
19,1,28975,-0.000315880193361512,0.139897400749114,0.998199700057943
26,1,31435,-0.0999059538701896,0.139425384352881,0.474122525637069
29,1,36146,-0.0436939825294004,0.138787805388261,0.753079925048216
31,1,37409,0.0104743380094294,0.139556686349261,0.940213974523876
32,1,37478,0.0362977317528626,0.139664408069891,0.795098213999966
33,1,39144,0.0467266221023618,0.139018139862064,0.736980920505028
34,1,41499,0.158917688466578,0.138396485169532,0.251631207029904
37,1,51248,-0.0199308629812496,0.13924085493673,0.886261699684466
38,1,51462,-0.0356678582861284,0.139420788867967,0.798232015166128
39,1,52124,0.049600185831336,0.13921986806235,0.721849473146431
40,1,52667,0.0904695538636693,0.138938321400542,0.515373931948053
42,1,59265,-0.0794909061802857,0.138887176879354,0.567454906078932
43,1,60165,-0.0702741695966579,0.138796214198027,0.612953802584714
44,1,62308,-0.0627889992359965,0.138653632833301,0.650936506291143
45,1,62869,-0.100620146755519,0.13857303355367,0.468248601317416
49,1,66841,-0.122194222405712,0.138589318605501,0.37853894007353
50,1,66948,-0.12244241875524,0.139441108306556,0.380489902164454
51,1,68621,-0.355520884287388,0.137923163208428,0.010351755829776
52,1,69417,-0.200759666659124,0.138434829972744,0.147887704120494
56,1,74327,-0.314085891778067,0.138605491735254,0.0240537812881387
57,1,74572,-0.27463693605205,0.138468877611369,0.0480990468950584
58,1,75211,-0.388113958460082,0.137440754002469,0.00501413989498865
59,1,76030,-0.250846432002291,0.138341703406043,0.0706442817218683
60,1,80108,-0.153569888299931,0.138710990258145,0.2689953470172
61,1,81262,-0.10211829785344,0.138792691102387,0.462364539895624
62,1,81999,-0.0640948759440714,0.139196487239916,0.645467219772941
63,1,82431,-0.0622330639050815,0.139858183446706,0.656612253632075
64,1,83284,-0.0127459292042591,0.138877732950769,0.926926434195976
65,1,83613,0.0161114339396714,0.138861438486387,0.907698501681213
66,1,84112,-0.0891334887381485,0.138798337442193,0.521173265844667
