SNP,Chr,Pos,Effect,SE,MID2_PIN2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0198179036709936,0.052699087613771,0.707099819784201
9,1,27272,-0.0424784213710021,0.0518688120035594,0.413362441880734
16,1,27843,0.0255071371742549,0.0506714801278086,0.615009322611147
17,1,27848,0.0255071371742549,0.0506714801278086,0.615009322611147
18,1,28495,0.0456879113949568,0.0506321235352799,0.367486108155662
19,1,28975,0.0105496382066792,0.0503485165971562,0.834153629986773
26,1,31435,0.00879289968011221,0.0502160613169162,0.861100395553869
29,1,36146,0.00541681542744377,0.0499584637715753,0.913719079315848
31,1,37409,0.0149377751855689,0.0502231258495645,0.766314552678182
32,1,37478,-0.00496332746490533,0.0502719036727056,0.921408965842961
33,1,39144,-0.0564153553391791,0.0499530264276238,0.259509443046445
34,1,41499,-0.03015825456103,0.0498785609027419,0.545810902148955
37,1,51248,-0.0190938993812006,0.0501064936613937,0.703383242594466
38,1,51462,-0.0137925129183559,0.0501793878997543,0.783581439341912
39,1,52124,0.018048797748382,0.0501075909692632,0.718912345611161
40,1,52667,-0.022934449607038,0.0500215878011941,0.646881842739596
42,1,59265,0.0243010226820294,0.0499945092143146,0.627216416186046
43,1,60165,0.0166189228426329,0.0499656167410599,0.739628254100689
44,1,62308,0.053859997234567,0.0498361050380612,0.280549464832387
45,1,62869,0.0500957312152365,0.0498409471668236,0.315531424943698
49,1,66841,0.0476196381555255,0.0498713762691854,0.340307434106203
50,1,66948,0.0348337810292599,0.0502079811111755,0.488270375298331
51,1,68621,0.0462760803636267,0.0500455203016543,0.355764172484331
52,1,69417,0.032008977712165,0.0499443969079466,0.522008521852721
56,1,74327,-0.0380041812753034,0.0502074658877764,0.449589033444882
57,1,74572,-0.0500645524503611,0.0500435265607788,0.317792492979061
58,1,75211,-0.0324367730554649,0.0499932640594505,0.516874747487107
59,1,76030,0.0103080547733077,0.0500200561918869,0.836848446469812
60,1,80108,-0.003914416377505,0.0500108034507998,0.937656502973699
61,1,81262,-0.0255368212046987,0.0499738506094366,0.609667927123404
62,1,81999,-0.0201223739617824,0.0501029734506317,0.688206479579894
63,1,82431,-0.0157786297064076,0.050344643435345,0.754152557070457
64,1,83284,-0.0121707719085414,0.0499810486407237,0.807753542831769
65,1,83613,-0.00983934167725868,0.0499769944926534,0.844036767957378
66,1,84112,-0.00625856260495175,0.0499841363461367,0.900427802320623
68,1,84858,0.00195535020748154,0.050126211995057,0.968905633676662
69,1,85751,-0.0176658901273556,0.0503235690093917,0.725763216910838
70,1,87445,-0.0126492868864444,0.0504342579022278,0.802108913902721
71,1,87467,-0.0214440246223693,0.0506899526819778,0.672521563375894
72,1,89070,-0.00973095438989882,0.0503828055556092,0.846960103841303
73,1,89616,-0.00648076897304473,0.0501132319941265,0.897176113916994
74,1,89679,0.00819847776289141,0.0501188656549428,0.870154873995152
75,1,89880,-0.00258116339682203,0.0501332764278332,0.958967354705579
76,1,91472,0.0103148990456963,0.0505026104564623,0.83827985328035
77,1,93789,0.00790209245676438,0.0499834768277433,0.874473052618129
78,1,94351,-0.00020764566695608,0.0501167973928042,0.996696526675805
79,1,99148,0.00285867909633764,0.0499850147349485,0.954425626792452
82,1,106800,0.00879376066854515,0.0500504822171838,0.860632090132142
83,1,107970,0.0130585299820451,0.0498995421652669,0.79370815418873
84,1,109000,-0.0063055740343048,0.0499912042358549,0.899697925177148
85,1,112549,-0.0277304738269939,0.0499139223118759,0.578859557010135
86,1,112742,-0.0250762538794252,0.0501125184874641,0.617105982535106
87,1,113050,-0.0147910439429261,0.0500397631169805,0.767720202998382
88,1,113135,-0.0279900380124579,0.0498962506340011,0.575177463535838
89,1,114076,-0.00365736745326357,0.0499181061049792,0.94163486849988
90,1,114628,0.00282617091619387,0.0500445445759374,0.954996869770806
91,1,116283,0.0030027238256396,0.0503228607517995,0.952452884285014
93,1,127853,0.0391855544620421,0.0501860997355458,0.435440518791316
94,1,128302,0.026818558584016,0.0500161154705106,0.59215919004385
95,1,128704,0.0463234316940372,0.0500255659780994,0.355081124875702
96,1,128911,0.0524278813038326,0.0500140466583437,0.295234569295673
97,1,130267,-0.00945184192037757,0.0500655589146357,0.850366448032009
98,1,130271,-0.00783866330662225,0.0501257743497003,0.875822978727598
99,1,130613,-0.0271236183536842,0.0505753497162646,0.592088225316503
100,1,132012,0.0108457475550696,0.0504852544786371,0.83002391198234
101,1,133231,0.00876556643753346,0.0501281178718682,0.861287325147603
102,1,137074,0.0221528426569706,0.0500451055282294,0.658284583204382
103,1,137304,0.0181776358173636,0.0500670458988618,0.716772981807029
104,1,139686,-0.00477000979382525,0.050141558400921,0.924264861253867
105,1,149562,0.0353069134844824,0.0502214466556947,0.482503788318269
106,1,150447,0.031854365124345,0.0507857591411393,0.530913786190158
108,1,154084,0.02927580430127,0.0509472178435401,0.565907517413895
110,1,157269,0.0370818935429372,0.0500070222910831,0.45886293391492
111,1,160054,-0.0107998723636358,0.0505181624227147,0.830840508915044
112,1,166222,0.00195970347540275,0.0501476546184634,0.96884976088645
113,1,166416,0.00209233195183878,0.0500458314957855,0.966675142378318
114,1,167326,-0.00890960006536701,0.0503281096111042,0.859586123165262
115,1,168836,0.00859891896652037,0.0500897398081765,0.863795131676807
116,1,171200,0.0104928122430278,0.0501637380291994,0.834435202969465
117,1,171431,-0.00110262792380647,0.0504800070896999,0.982585643287376
118,1,173339,0.0041002667324524,0.0500869995782115,0.934802137992502
119,1,173845,0.00206341097010176,0.0500458348966279,0.967135509520157
120,1,175121,-0.00120947223724141,0.0499466866015994,0.980694584788135
121,1,175281,0.000437742037931732,0.0499891763206672,0.993018171181978
122,1,175315,-0.00140691037407706,0.0499733894479439,0.977555879924277
123,1,175523,-0.00917686680259625,0.050254218907753,0.855209740784005
124,1,175541,-0.000486237034630715,0.0500514786913363,0.992254369792434
125,1,175653,-0.0124045198869072,0.050205523670317,0.804993965139203
128,1,175856,0.00102822972092709,0.0510387390549992,0.98393823584009
129,1,175876,0.00597933885203852,0.0502555848165683,0.905359992599508
130,1,175989,0.0018732359934921,0.0503998841601569,0.970372488238856
131,1,176001,-0.00854920805608969,0.0506605574480324,0.86608623056144
133,1,177692,0.00944111675161255,0.0499709190838129,0.850254515291022
134,1,178191,0.014442564469777,0.0500171583551725,0.772940502875041
135,1,178224,0.00944111675161255,0.0499709190838129,0.850254515291022
136,1,178960,-0.00365984462617036,0.0503721990659814,0.94212097851328
140,1,183802,0.0240400862345131,0.0499633570918276,0.63070491222493
141,1,183954,0.014610708817601,0.0503375986652384,0.771792064807364
142,1,184450,0.0276354772144992,0.0498811341474415,0.579911397698765
144,1,184718,0.038974482813845,0.0501434603876622,0.437526224631858
145,1,185296,0.0324205885064443,0.0499436447937788,0.516667795550722
146,1,185438,0.0057848341156013,0.0499748565682984,0.90791262153281
147,1,185469,0.00713765277983767,0.0500464883117529,0.886671313294601
148,1,185503,0.00453207619297555,0.0499179028430948,0.92771047695756
149,1,185705,-0.00425035728687215,0.0504758869602018,0.932940621242991
150,1,185749,0.00576531654617036,0.0504754611713381,0.909128187274745
151,1,185806,0.0122471233435143,0.0505395902535058,0.808667274959181
152,1,185879,-0.0111227134096049,0.0507845771025395,0.826762957978564
153,1,185916,0.0033191138329076,0.0507646211589221,0.947906531563652
154,1,185941,0.0120778984395708,0.0509820151806382,0.812867847020393
155,1,185954,0.0121569427811846,0.0511308754040361,0.812204186218967
156,1,186055,0.00189619145466815,0.0501143174794772,0.969838777371241
157,1,186896,0.0266732983469978,0.0509162400950451,0.600700332149089
161,1,190132,0.0272932734905407,0.0501569566988138,0.586676778074026
