SNP,Chr,Pos,Effect,SE,SNA4_GTR2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.127826571064502,0.101130067424234,0.207070550630215
9,1,27272,0.167166930008586,0.0994392281984085,0.093628699161102
16,1,27843,-0.0827753498202576,0.0973747024314627,0.395862146815621
17,1,27848,-0.0827753498202576,0.0973747024314627,0.395862146815621
18,1,28495,-0.0839567733200937,0.0973734170126105,0.389154834793673
19,1,28975,-0.0191289510624026,0.0968189730529808,0.843491779873764
26,1,31435,-0.03006551243129,0.0965545329338564,0.755692717656453
29,1,36146,-0.00519988253445552,0.0960694496635218,0.956865168681681
31,1,37409,0.0389329791773104,0.0965670538180645,0.687066941931965
32,1,37478,0.0468631631337826,0.0966401332996634,0.628030720623314
33,1,39144,-0.0224447892359517,0.0962237607892378,0.815697662887576
34,1,41499,-0.0295937167769662,0.0959513246720506,0.757941446908017
37,1,51248,-0.0342329112548325,0.0963554952203834,0.722594115332087
38,1,51462,-0.0528683814858619,0.0964623693871846,0.583988462368527
39,1,52124,-0.0270531992059219,0.0963619632696799,0.779069985296718
40,1,52667,-0.0265831654021584,0.0962078669035494,0.782471918441976
42,1,59265,-0.142932751646911,0.095868359378738,0.136873615360624
43,1,60165,-0.165953448186154,0.0956902607940747,0.083741871831876
44,1,62308,-0.184358923496931,0.0954885314977509,0.0543217786569719
45,1,62869,-0.176922651504649,0.0955162601021414,0.0648205796063691
49,1,66841,-0.176324929830859,0.0955648429910321,0.0658631216536439
50,1,66948,-0.193090548557423,0.0960656987426477,0.0451932728608087
51,1,68621,-0.124971377706342,0.0961222697120557,0.194404910977994
52,1,69417,-0.0975564195118818,0.0959566750938827,0.310006015415526
56,1,74327,-9.75545676678014e-05,0.0966253923016535,0.999195013212282
57,1,74572,0.0490034534952797,0.0963328432227263,0.611288039536587
58,1,75211,-0.0188917676858099,0.0961872188335467,0.844405253405714
59,1,76030,0.087384359309947,0.0960799683051693,0.36370885523262
