SNP,Chr,Pos,Effect,SE,ERG11_PIS1_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.117722675410688,0.112120508972841,0.294452219683449
9,1,27272,-0.00858967973619482,0.110608082341355,0.938143547473989
16,1,27843,0.0177071689913704,0.107987865608523,0.869845698390033
17,1,27848,0.0177071689913704,0.107987865608523,0.869845698390033
18,1,28495,0.0217042388880773,0.107987548022166,0.840823441253354
19,1,28975,0.0210497291287505,0.107265999703196,0.844536342666767
26,1,31435,0.00499168346233085,0.106987306529389,0.962813159384232
29,1,36146,-0.1079329803423,0.10628082021329,0.31054153869117
31,1,37409,-0.0194184003829534,0.107006456178826,0.856103280633214
32,1,37478,-0.0185107975358749,0.107098907075729,0.862877554841766
33,1,39144,0.10577375014167,0.106465955227432,0.321147675414607
34,1,41499,0.16025037591146,0.105976297394767,0.13139445129171
37,1,51248,0.0257749224729671,0.106762702231512,0.809367821193187
38,1,51462,0.0159941897832601,0.106912909767802,0.881165506296938
39,1,52124,0.0408637047493068,0.106749361393517,0.702098114092752
40,1,52667,0.0178435707312815,0.106596169412707,0.867155813563231
42,1,59265,0.0213757723427369,0.10654054808372,0.841099464081241
43,1,60165,0.0506374001504051,0.106431989765436,0.634530849880786
44,1,62308,-0.0639164370604678,0.106294594308926,0.548016750791565
45,1,62869,-0.0221720698559089,0.106329113683161,0.83494086199962
49,1,66841,-0.0246711998346895,0.106377673009352,0.816733880931704
50,1,66948,-0.046924770945551,0.107009537411185,0.66128474058511
51,1,68621,-0.0235888483342708,0.106741325578669,0.825227383585514
52,1,69417,0.024942705470794,0.106457831481661,0.814890574632792
56,1,74327,0.126990701439038,0.106837861891982,0.235384262208717
57,1,74572,0.123831514873035,0.10656281850918,0.245999494447305
58,1,75211,0.101205312190951,0.106435601816621,0.342326227046563
59,1,76030,0.148537288284302,0.106278175642662,0.163102696932976
60,1,80108,0.0645497751324992,0.106491216443778,0.54480395255306
61,1,81262,-0.0504676006522211,0.106472465135205,0.635795277020376
62,1,81999,-0.0218792494832138,0.106760095440538,0.837738324955243
