SNP,Chr,Pos,Effect,SE,HUG1_ADE17_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.124212706692093,0.154332698423129,0.421455331170619
9,1,27272,0.0148686518089993,0.152152324947874,0.922208391443501
16,1,27843,0.0571397558886899,0.148523222226351,0.700677041468481
17,1,27848,0.0571397558886899,0.148523222226351,0.700677041468481
18,1,28495,0.0534752310342251,0.148529493725781,0.719039214629984
19,1,28975,0.0913791315368941,0.147483571566893,0.535928411021836
26,1,31435,0.0292474413232137,0.147164545082206,0.842580760879698
29,1,36146,-0.0367504337224386,0.146400826775567,0.801939958711305
31,1,37409,0.0473648497310633,0.147183944344199,0.747789253069551
32,1,37478,0.0567268250145176,0.147301136246702,0.700389442209409
33,1,39144,-0.0110448703018461,0.14665858431914,0.940010659129716
34,1,41499,-0.0758939422023729,0.146197166857486,0.604002037146172
37,1,51248,-0.105932234830496,0.14676722277878,0.470913472946186
38,1,51462,-0.127165533103632,0.146918824542146,0.387325051319071
39,1,52124,-0.0704669768585315,0.146827586594504,0.631574341063526
40,1,52667,-0.121215183656652,0.146498100619325,0.408559099443886
42,1,59265,0.0318928712014786,0.146556286798705,0.827854696181869
43,1,60165,0.00033202906101432,0.146455360690954,0.998192397475112
44,1,62308,0.052849723191367,0.146267247389054,0.71807414703625
45,1,62869,0.036236326374098,0.146263203341547,0.804473909357982
49,1,66841,0.1123779050488,0.146222575574702,0.442680259936355
50,1,66948,0.100718413596611,0.147145376631235,0.49411976693079
51,1,68621,-0.00884274943871421,0.14684335401812,0.952015347837212
52,1,69417,0.018532529090806,0.146452040027058,0.899373897046171
56,1,74327,0.0962395548701381,0.147171448062365,0.513583852030778
57,1,74572,0.093098603853595,0.146784894290652,0.526327215371809
58,1,75211,0.147044175267461,0.146391722742286,0.315846466554938
59,1,76030,0.0956400447622536,0.146512376096849,0.514324344769041
60,1,80108,0.0662271179370678,0.146523723821047,0.651554475715811
61,1,81262,0.0437685205313744,0.146492186453532,0.765285881035286
62,1,81999,0.0735849625713233,0.146816277590863,0.616539685161739
63,1,82431,0.0200172438418391,0.147559898300519,0.892171315226241
64,1,83284,0.153131436852158,0.146263036301639,0.295834712375233
65,1,83613,0.204600762303283,0.146068433900943,0.16217667667519
66,1,84112,0.12942949508004,0.146327878912656,0.37701925356931
68,1,84858,0.240993766812334,0.146342330708035,0.100492974385539
69,1,85751,0.1693606059762,0.147231511857125,0.250798432479047
70,1,87445,0.146997383608308,0.147611817152839,0.320011232482507
71,1,87467,0.0721351720869961,0.148543246548306,0.627539792225063
72,1,89070,0.177248774743815,0.147361188201236,0.229852664350251
73,1,89616,0.17529595415642,0.146571854496186,0.232509892504309
74,1,89679,0.145344963132039,0.146683255034291,0.32242468825736
75,1,89880,0.168850574511236,0.146649209455697,0.250350686004685
76,1,91472,0.182139819889353,0.147697102266942,0.218322336868298
77,1,93789,0.138594981135192,0.146304097728788,0.344130091954965
78,1,94351,0.100263367778947,0.146778503197074,0.49499615171001
79,1,99148,0.119418913034396,0.14635199054641,0.415067238023048
82,1,106800,0.0720132257292697,0.146637459581783,0.623662971696487
83,1,107970,0.119106083874812,0.146115505214691,0.415535964388169
84,1,109000,0.0503871409681689,0.14648616080603,0.731072127533798
