SNP,Chr,Pos,Effect,SE,TPO1_MID2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.034820037886423,0.0651214378024891,0.593198134059979
9,1,27272,-0.0685993212759675,0.064065473281473,0.285004881948182
16,1,27843,0.0128499775349787,0.0626474266065819,0.837599870402387
17,1,27848,0.0128499775349787,0.0626474266065819,0.837599870402387
18,1,28495,0.0315795386417568,0.0626296241437074,0.614416535670289
19,1,28975,0.0210043440196477,0.0622233382294412,0.73589259426896
26,1,31435,0.0199284659167066,0.0620594309017693,0.748310204543478
29,1,36146,0.0135968125080179,0.0617442023600511,0.825833371930824
31,1,37409,0.0492533381771129,0.0620269360959337,0.427691825891222
32,1,37478,0.0357389048049261,0.0621065536653416,0.565357012507165
33,1,39144,-0.0382248643656477,0.0618186663532082,0.536750954088659
34,1,41499,-0.0222627998992599,0.0616691890972091,0.718312696240074
37,1,51248,0.0161693510575266,0.0619371342476406,0.794197941340335
38,1,51462,0.011012676246566,0.0620243387822093,0.859175005631844
39,1,52124,0.0137345674364955,0.0619387992959018,0.824641268982646
40,1,52667,-0.0406261922929679,0.0618060275502378,0.511405044792741
42,1,59265,-0.00187098936853969,0.0618125617572857,0.975869819839362
43,1,60165,0.00632302555613885,0.0617650153123156,0.918519311798649
44,1,62308,0.0131703526778019,0.0616940208155239,0.831076927572255
45,1,62869,0.0126887632549633,0.0616865572125889,0.837145877256343
49,1,66841,0.0680036180481123,0.06161310668315,0.270466432916614
50,1,66948,0.058454016707108,0.0620201205999342,0.34658084505646
51,1,68621,0.0638839548933015,0.0618364689326889,0.30225907718687
52,1,69417,0.00907444019267084,0.0617640437693763,0.883278183432311
56,1,74327,-0.0250512143737697,0.0620912022505093,0.686855338864822
57,1,74572,-0.0124226007437405,0.0619366428882964,0.84115072437531
58,1,75211,-0.0205402707750504,0.0618175942089423,0.73988091045106
59,1,76030,0.0202045130789706,0.0618179076674678,0.743983249123127
