SNP,Chr,Pos,Effect,SE,ERG11_ORM2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0529910649759537,0.100591226061682,0.598666065095512
9,1,27272,-0.0795773913366665,0.0990289785125382,0.422182186929436
16,1,27843,-0.0542849042536016,0.0967311689448506,0.575021694753178
17,1,27848,-0.0542849042536016,0.0967311689448506,0.575021694753178
18,1,28495,-0.0364869809136601,0.0967563897714351,0.706324764939752
19,1,28975,-0.015311700308492,0.0961255309711593,0.873532606921335
26,1,31435,-0.0292610142512224,0.0958616439223462,0.760361636440818
29,1,36146,-0.0222239834720023,0.0953725910008758,0.815878796389836
31,1,37409,0.0744343584078612,0.0958137610320988,0.437758675609814
32,1,37478,0.0814221428010548,0.0958801794201444,0.396341516694846
33,1,39144,0.0172733335931513,0.0955356715956361,0.856624344933651
34,1,41499,0.0296463111851949,0.0952620208191342,0.755826135065039
37,1,51248,0.0277261588776136,0.0956692422506088,0.772129706978391
38,1,51462,0.0376287182775849,0.095789432034868,0.694684037897928
39,1,52124,0.0853997216684116,0.0955725968620207,0.372166855469366
40,1,52667,0.0633048568300215,0.0954678422967332,0.507698400739309
42,1,59265,-0.0795977457399137,0.0953850529133874,0.404570039883416
43,1,60165,-0.107485006847844,0.0952352672550594,0.259822041539892
44,1,62308,-0.0712746480311196,0.095226480641869,0.454672042075209
45,1,62869,-0.061017904697648,0.0952346847871774,0.522126206131655
49,1,66841,-0.0553256349979113,0.0952894648368991,0.561876490513771
50,1,66948,-0.0304127462036771,0.095906375749944,0.751348589645986
51,1,68621,-0.010015464836443,0.0956587001606901,0.916673334411644
52,1,69417,0.00244994645020101,0.0954068511512242,0.979527934862101
56,1,74327,-0.0193638763843886,0.0959259440324486,0.840140289979212
57,1,74572,-0.0349988955541824,0.0956579442942064,0.714677158744778
58,1,75211,-0.00891749574754296,0.0955004918950318,0.925657482771142
59,1,76030,-0.0191887278946961,0.0954962101138498,0.840863512935588
60,1,80108,0.072756700692877,0.0954005288637363,0.446184674069695
61,1,81262,0.00531501813744986,0.0954425757976312,0.955621764687169
62,1,81999,-0.0140475752958932,0.0956731588360056,0.883350969228671
63,1,82431,0.0311504339524974,0.0961146866928185,0.74605692029257
64,1,83284,0.0187808157058996,0.0954242342614011,0.844086438301578
65,1,83613,0.0296829396016016,0.095405874085366,0.75589093787413
66,1,84112,0.0600739082360611,0.0953758892387345,0.52919056738042
68,1,84858,0.0304292547170007,0.0956850952568325,0.750661928798305
69,1,85751,0.0225215460326173,0.0960846711696851,0.814816010778929
70,1,87445,0.051880074449665,0.0962556814673999,0.590239061800969
71,1,87467,0.0171823174603059,0.0967950702271789,0.859207803063534
72,1,89070,0.0164675296227745,0.0961895601002803,0.864165604595611
73,1,89616,0.0209531631221998,0.095669580417197,0.826764207093573
74,1,89679,0.0117404011708972,0.0956861556309722,0.902416888763229
75,1,89880,0.0200349082647547,0.0957065007943599,0.834305952532748
76,1,91472,0.0249408507753736,0.0964137556492434,0.796028596804056
77,1,93789,0.0645449576283972,0.0953676142235097,0.498975067070924
78,1,94351,0.0743098346231017,0.0955988426919294,0.437497124891271
79,1,99148,0.0789406283859029,0.0953369307563545,0.408220144893741
82,1,106800,0.0958196365647849,0.0954220027693069,0.315985904180255
83,1,107970,0.103462161946972,0.0951158151408044,0.277447917712598
84,1,109000,0.0876464345662427,0.0953289229578096,0.358508603601189
85,1,112549,0.0967840445551098,0.0951956797745255,0.309999489545509
86,1,112742,0.10377412724765,0.0955468656817132,0.278172733919098
87,1,113050,0.110798670234519,0.0953632059544554,0.246077406207212
88,1,113135,0.0957064508017131,0.0951657792241648,0.315257732327199
89,1,114076,0.104004532866,0.095141110285798,0.275068636057213
90,1,114628,0.0600575691149398,0.0954896231652741,0.529792881389039
91,1,116283,0.0459341619777912,0.0960433996752836,0.632757917618732
93,1,127853,-0.0891879662382106,0.0957780675345433,0.352389600722275
94,1,128302,-0.145102801281982,0.0952145799083504,0.128415132331361
95,1,128704,-0.162667264668277,0.0952296108719317,0.088486061610286
96,1,128911,-0.148810509142078,0.0953044054499135,0.11931996473928
97,1,130267,-0.0601191672751586,0.0955340515595771,0.529562532325219
98,1,130271,-0.0583650495392127,0.0956506428338627,0.542128679835917
99,1,130613,0.0270704613232368,0.0965846492407641,0.779429128299463
100,1,132012,-0.0855574048538137,0.0962827356451774,0.37482003420098
101,1,133231,-0.179695446896141,0.0952272883562912,0.0599784585304716
102,1,137074,-0.126321272795421,0.0953334736990129,0.186012814212648
103,1,137304,-0.0908563543078912,0.0954811027454675,0.341969353306247
104,1,139686,-0.153149183165909,0.095381448255698,0.109245095988291
105,1,149562,-0.168004859602028,0.0955299197313213,0.079501351625974
106,1,150447,-0.141138247315243,0.0967205041699648,0.145388844234841
108,1,154084,-0.169511744135919,0.0968923538210831,0.081076173761127
110,1,157269,-0.143421276696236,0.0952399455756066,0.132988630499525
111,1,160054,-0.145970931569549,0.0961397175848834,0.129828621025691
112,1,166222,-0.122290379894921,0.0955182305968062,0.20128622281115
113,1,166416,-0.133022699536663,0.095282688060624,0.16356634600454
114,1,167326,-0.168062303964057,0.0956710507652786,0.0798413744828422
115,1,168836,-0.112187835784107,0.0954463591783809,0.240626120905622
116,1,171200,-0.0903010143120183,0.0956555033171182,0.345803459308371
