SNP,Chr,Pos,Effect,SE,FMP45_HNM1_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.038182615109256,0.0466616605671032,0.413745535622856
9,1,27272,-0.0335989842605185,0.0459697078928982,0.465328736014246
16,1,27843,0.0409866189448553,0.0448629888891794,0.361553066022572
17,1,27848,0.0409866189448553,0.0448629888891794,0.361553066022572
18,1,28495,0.0440415521931772,0.044855515313136,0.326844394277347
19,1,28975,0.0498869765614949,0.0445374020903817,0.263426610415807
26,1,31435,0.0234565695937144,0.0444807532396032,0.598287375556034
29,1,36146,0.0205755610851427,0.044255270946737,0.642268920928751
31,1,37409,0.0439295636800616,0.0444467172572012,0.323651070596477
32,1,37478,0.0315773257127779,0.0445147182904345,0.478564277285125
33,1,39144,0.0380019795491602,0.0442970044708202,0.391535019428737
34,1,41499,0.0429462707762635,0.0441610426386118,0.331471629914222
37,1,51248,0.0562191854626797,0.0443074579820002,0.205333273833521
38,1,51462,0.0501030125467984,0.0443885684047464,0.259775365664539
39,1,52124,0.0521409753711482,0.0443215829827848,0.240218182046966
40,1,52667,0.040092604957601,0.0442858297332188,0.365916259708182
42,1,59265,0.0460756783732943,0.0442469359332447,0.298434908514852
43,1,60165,0.0528516854150373,0.0441919170622036,0.232515592184596
44,1,62308,0.0160698982515637,0.0442243867780834,0.716544617797959
45,1,62869,0.018401496551539,0.0442162556481856,0.677538228673848
49,1,66841,0.0318019130766115,0.0442155586121437,0.4724645418956
50,1,66948,0.0228353730732449,0.0445029066143133,0.608187696548636
51,1,68621,0.0529731000151133,0.0443092826294689,0.232682321357043
52,1,69417,0.0470446357169853,0.0442105064959344,0.288008334158619
56,1,74327,-0.0106854880699594,0.0445211800111727,0.810462518183715
57,1,74572,-0.00197876044470124,0.0444061483278016,0.964482818893268
58,1,75211,0.0037806648027261,0.0443248677829664,0.932075665946681
59,1,76030,0.0195888474600972,0.044313060844767,0.658719495144211
60,1,80108,-0.0205926137669035,0.0443012880459945,0.642339043756333
61,1,81262,-0.0760755933882001,0.0441126478035776,0.0854793592743154
62,1,81999,-0.0601280314232657,0.0442908030093039,0.175466203640194
63,1,82431,-0.0514126029491276,0.0445324867875322,0.24907760892315
64,1,83284,-0.069218152353992,0.0441383288377599,0.117728150358134
65,1,83613,-0.0580689500760972,0.0441789542898537,0.189564009963858
66,1,84112,-0.0598361474901622,0.0441771668065875,0.176456398890165
68,1,84858,-0.0524319996712864,0.0443290640005842,0.237688171162966
69,1,85751,-0.0460188281847329,0.0445320755275304,0.30213068877696
70,1,87445,-0.0259367749735505,0.0446723385164027,0.561880301039079
71,1,87467,-0.0240316036871163,0.0449094256228956,0.59290885734725
72,1,89070,-0.0288412354061955,0.0446200510581184,0.51845726344995
