SNP,Chr,Pos,Effect,SE,SRO9_DHH1_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0210127394472817,0.0579029599536552,0.716899937984331
9,1,27272,-0.0846870825590464,0.0568656659597747,0.137314923801787
16,1,27843,0.060580982709674,0.0556009285768062,0.276646802468169
17,1,27848,0.060580982709674,0.0556009285768062,0.276646802468169
18,1,28495,0.0901469191982972,0.0554881907554851,0.105137230362889
19,1,28975,0.0767335164329892,0.0551719985890449,0.165160513094519
26,1,31435,0.0939885808088037,0.0549491372950564,0.0880585151065314
29,1,36146,0.0516654016567627,0.0548229437959784,0.346629967885965
31,1,37409,0.0801402830276508,0.0550235776098547,0.146151137152537
32,1,37478,0.069498195772266,0.0551121052136859,0.208129654126729
33,1,39144,0.0194523492074902,0.054974296075087,0.723666711560996
34,1,41499,0.0160510608214486,0.0548248753500691,0.769870226865357
37,1,51248,0.0801767192808293,0.0548993157324488,0.145060808966957
38,1,51462,0.0737601387566116,0.0549996529469314,0.180749625354318
39,1,52124,0.0431050627637627,0.0550171044287945,0.43386785011094
40,1,52667,-0.0210047086603489,0.054965302332837,0.702583863664879
42,1,59265,-0.0095206259326247,0.0549465995776493,0.86253810564702
43,1,60165,0.00793841634168088,0.0549057873162336,0.885123020708939
44,1,62308,-0.0138463860303568,0.0548420753507729,0.800819007637944
45,1,62869,-0.0220842652140531,0.0548275399121534,0.68734278142036
49,1,66841,-0.0150322743011398,0.0548601498922458,0.78423657985644
50,1,66948,-0.0135204525398062,0.0551980122404211,0.806641689822246
51,1,68621,0.00729222108552513,0.0550517893543517,0.894695053458629
52,1,69417,-0.0187499049218992,0.0548983431920862,0.732901346893209
56,1,74327,-0.0552460710528938,0.0551309298845768,0.316987261849001
57,1,74572,-0.0594361788975022,0.0549713553835029,0.280336952467812
58,1,75211,-0.0585627948840293,0.0548734756039994,0.286595876193277
59,1,76030,-0.0044094753266426,0.0549614303636224,0.936100955536672
60,1,80108,-0.0668895012280212,0.0548334822872933,0.223330037136524
61,1,81262,-0.0727884001735669,0.054791369232839,0.184882816240731
62,1,81999,-0.0758907567756416,0.0549139494649428,0.167847387564039
63,1,82431,-0.066623812160393,0.0552091939293421,0.22833567876449
64,1,83284,-0.069766110979257,0.0547947041383027,0.203775228461631
65,1,83613,-0.0300954437669792,0.0548909599630936,0.583848364201142
66,1,84112,-0.0252001697821023,0.0549039981326963,0.646526664482266
68,1,84858,-0.00559080839941442,0.0550745771825805,0.919200544331817
69,1,85751,-0.00642608851409809,0.0553006975750359,0.907558001817382
70,1,87445,-0.014786357206522,0.0554130709566474,0.789749093362867
71,1,87467,-0.0244953885456334,0.0556935204481458,0.660333196252946
72,1,89070,-0.0272366537684,0.055341131035383,0.622912645918844
73,1,89616,-0.0239735894057404,0.0550475186317664,0.663460501524152
74,1,89679,-0.0103844938243152,0.0550665040501906,0.850529629557403
75,1,89880,-0.0100300997313061,0.0550806440909558,0.855609992808583
76,1,91472,-0.0149024661814282,0.0554864329736195,0.78841090552657
77,1,93789,-0.0686907443255576,0.054798552819651,0.210848339032536
