SNP,Chr,Pos,Effect,SE,HNM1_TPO2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0230462958875706,0.0606245407610636,0.704064207103505
9,1,27272,-0.0804915626002149,0.0595724721222542,0.177511554523361
16,1,27843,0.0423091541119457,0.058269676432374,0.468263428894356
17,1,27848,0.0423091541119457,0.058269676432374,0.468263428894356
18,1,28495,0.059879789455255,0.0582269597225378,0.304472429782994
19,1,28975,0.0345835176688322,0.0578950673297232,0.550657859709096
26,1,31435,0.0469950018486797,0.0577166777654602,0.416058644175766
29,1,36146,0.00696291711198646,0.0574717663880321,0.903638229367672
31,1,37409,0.0421202603096489,0.057740204817812,0.466192530416774
32,1,37478,0.0441797868650763,0.0577855589006638,0.445052001160047
33,1,39144,-0.0201286519421507,0.0575595047687336,0.726771176469257
34,1,41499,-0.0162319093957741,0.0574032883632841,0.777519135792102
37,1,51248,0.02282721445763,0.0576413487587328,0.692328410324983
38,1,51462,0.0086872840289011,0.0577304798453098,0.880471857139611
39,1,52124,-0.023816828292021,0.0576402144601733,0.679712347060662
40,1,52667,-0.0258278621685558,0.0575453361821027,0.653832340401589
42,1,59265,-0.0494505319223882,0.0574724797043426,0.390140980056065
43,1,60165,-0.0345189099433948,0.0574598739575735,0.548393296887177
44,1,62308,-0.0577476229655375,0.0573437010076464,0.314603478856737
45,1,62869,-0.0668303205685384,0.0573085188488661,0.24434113624587
49,1,66841,0.0210138435589123,0.0574349729995912,0.714679811010206
50,1,66948,0.0284880889516351,0.0577785219824171,0.622279076330785
51,1,68621,0.0439541944995273,0.0575943430261922,0.445872563819604
52,1,69417,0.00241682296751541,0.0574890953022655,0.966490836840393
56,1,74327,-0.0407336271727782,0.0577646395941042,0.481172318266651
57,1,74572,-0.0614483733047581,0.0575585701390569,0.286439599214826
58,1,75211,-0.0527514589677419,0.0574777873052691,0.359365277818316
59,1,76030,-0.055345210084008,0.0574708775609726,0.336200145792622
60,1,80108,-0.0443403976066898,0.0574842906296531,0.441016650087975
61,1,81262,-0.0757766930987567,0.0573693687230389,0.187404898819544
62,1,81999,-0.0954241187541967,0.0574272604545386,0.0974703497730504
63,1,82431,-0.06210885161925,0.0578299160461692,0.283559974526924
64,1,83284,-0.125202977625018,0.0571153777898302,0.029024350324263
65,1,83613,-0.118480225315256,0.0571496154672436,0.0388825465164937
66,1,84112,-0.0926158540453024,0.0572911361500726,0.106861683720563
