SNP,Chr,Pos,Effect,SE,ERG11_ORM2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.162275349749058,0.100065658910621,0.105762812054849
9,1,27272,-0.146706101386973,0.0986207342220192,0.137754738775321
16,1,27843,0.102978724583557,0.0964330270321384,0.286305209406323
17,1,27848,0.102978724583557,0.0964330270321384,0.286305209406323
18,1,28495,0.162780935545384,0.0962008737918322,0.0915104622458627
19,1,28975,0.106416677494711,0.0957772483381191,0.267287906481091
26,1,31435,0.102449290559143,0.0955348869352294,0.284283894044001
29,1,36146,0.040750381464714,0.0951722443497508,0.668784794554811
31,1,37409,0.0989104620036302,0.0955667801920334,0.301383058027875
32,1,37478,0.0949804636894687,0.0956604657704379,0.321442930525995
33,1,39144,-0.0617705930053113,0.0953001234776942,0.517296976661905
34,1,41499,-0.107647862389079,0.0949195538873166,0.257523955441515
37,1,51248,-0.0484757220175978,0.0954622153184207,0.611910678571615
38,1,51462,-0.035750821462312,0.0956076370458956,0.708678882844614
39,1,52124,-0.0527578825511093,0.0954557830217383,0.580822451004124
40,1,52667,-0.123986816816199,0.0951153774356012,0.19323954969351
42,1,59265,-0.0240472857899101,0.0952873344209735,0.800905037582189
43,1,60165,0.0242459992751132,0.0952151731145625,0.799146135180597
44,1,62308,0.014970207646606,0.0951158550949232,0.875028115501178
45,1,62869,0.0247628214849907,0.0950981129385108,0.794712963879456
49,1,66841,0.0545447936870049,0.095107770794675,0.566667915830904
50,1,66948,0.0862246021362087,0.0956259677662359,0.367838459299062
51,1,68621,0.00405504771038834,0.0954764333374086,0.966146673589389
52,1,69417,0.0247064474414814,0.0952148378067723,0.795415351422453
56,1,74327,-0.0163221265567562,0.0957435106624963,0.864732194017902
57,1,74572,-0.0498357615838647,0.0954556955228476,0.601940241604675
58,1,75211,-0.0236203165971038,0.0953101762123473,0.804413317055433
59,1,76030,-0.0266412691886413,0.0953079196815482,0.780003064721878
60,1,80108,-0.119732783373726,0.0950826090274946,0.208772040655665
61,1,81262,-0.0830484101558449,0.0951572953870235,0.38339330500291
62,1,81999,-0.120418307998716,0.0952772134972776,0.207109543706315
63,1,82431,-0.137065458208536,0.09566682428405,0.152817811913383
64,1,83284,-0.101607606060331,0.0950927481038884,0.286020405748379
65,1,83613,-0.105897819436738,0.0950689728072618,0.266077744870702
66,1,84112,-0.120065498658868,0.0950317828648181,0.207270384880795
68,1,84858,-0.0490110095276902,0.095479590788369,0.608052808760218
69,1,85751,-0.0867656944429484,0.0957965639679706,0.365697265814347
70,1,87445,-0.0497247430103783,0.0960741075133451,0.605084914739589
71,1,87467,-0.0899392541725238,0.0964950319958889,0.351942043675951
72,1,89070,-0.083395949647691,0.095906360920052,0.385133971486504
73,1,89616,0.0139277983831075,0.0954896642659462,0.884117840720012
74,1,89679,-0.0268409101196894,0.095493948723554,0.778817965386698
75,1,89880,-0.00158418992017834,0.0955287955638772,0.986778355688125
76,1,91472,-0.0151709422628954,0.0962345349827798,0.874826276051662
77,1,93789,-0.0190331745105116,0.0952410167008806,0.841719066183947
78,1,94351,-0.0105515613744915,0.0954954244126327,0.912081313730912
79,1,99148,-0.0100951609590108,0.0952448885562381,0.91564919846023
82,1,106800,-0.0381664830233889,0.0953532446090271,0.689204104520176
83,1,107970,-0.0262767067816897,0.0950820334745248,0.782434631653831
84,1,109000,-0.13149477720196,0.0950024555723117,0.167196212541927
85,1,112549,-0.0786263495771234,0.0950599977351926,0.408725879926767
86,1,112742,0.0388714243634387,0.0955003735317161,0.684233359288795
87,1,113050,0.0504161086926487,0.0953243236601765,0.597213953443613
88,1,113135,0.0170047853599755,0.0951148863056171,0.858211808414447
89,1,114076,-0.0329669097409993,0.0951030070644549,0.729065146159963
90,1,114628,-0.0415017873179251,0.0953342400374715,0.663589472941411
91,1,116283,-0.0107579758132217,0.0958884992069989,0.910734500869132
93,1,127853,0.0358723098336037,0.0956926264638031,0.707982149947017
94,1,128302,0.0203536951037923,0.0953378742143271,0.831067936127337
95,1,128704,0.070798034207056,0.0953645181806426,0.458342435466327
96,1,128911,0.0601573886301738,0.095395781359682,0.528704590135622
97,1,130267,-0.00181683560309964,0.0954042060055404,0.98481711598069
98,1,130271,0.00766342378094675,0.0955166164721631,0.936098749973189
99,1,130613,0.0484479297569904,0.0963756026030499,0.615489305521062
100,1,132012,-0.0423402615837096,0.0961790558362074,0.660044813513848
101,1,133231,-0.0147155941382714,0.0955195703009485,0.877651709764252
102,1,137074,-0.0271368116176491,0.0953759925408228,0.776175256685867
103,1,137304,-0.010684320248057,0.0954183887556242,0.910908150683576
104,1,139686,-0.0425665302254369,0.0955186152992859,0.656133408919584
105,1,149562,-0.0175415325164411,0.0957589002724767,0.854758536359305
106,1,150447,-0.027645741764682,0.09681450341935,0.775387433820882
108,1,154084,-0.0196571043920458,0.0971191902314909,0.839719178162356
110,1,157269,0.0113691239711069,0.0953601648234712,0.905166512406071
111,1,160054,-0.00228105334859519,0.0962680253720629,0.981109427738771
112,1,166222,-0.00973976407112859,0.0955546721274173,0.91887113804627
113,1,166416,0.00428156126698809,0.0953618124366518,0.964213942969483
114,1,167326,-0.0162823132807725,0.0959000681794303,0.865277136820346
115,1,168836,0.0297665143541224,0.0954363501572437,0.755301324939192
116,1,171200,0.00813923267870054,0.09559146032502,0.932193572099177
