SNP,Chr,Pos,Effect,SE,SRO9_DHH1_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0389742849599168,0.0904682821486317,0.666872317798301
9,1,27272,0.00456602636121395,0.0891327446512169,0.959173404119849
16,1,27843,0.000235891035434976,0.0870241546857003,0.997838757108585
17,1,27848,0.000235891035434976,0.0870241546857003,0.997838757108585
18,1,28495,0.0195812287316925,0.0870193238201999,0.82209266405713
19,1,28975,0.0491771144946712,0.0864042128567541,0.569615073040856
26,1,31435,0.0243801814376651,0.0862050518837257,0.777483534463489
29,1,36146,-0.0127282629581995,0.0857675823751693,0.882108582394749
31,1,37409,0.00666233944400768,0.0862332764808995,0.93846088381953
32,1,37478,0.0160748353487113,0.0863038949666276,0.852349027569008
33,1,39144,0.0148877405717553,0.0859106355269265,0.862520187083128
34,1,41499,0.0805069819054475,0.0855687627745156,0.347427440818256
37,1,51248,0.0496363599041906,0.0860000903994411,0.564194977220661
38,1,51462,0.0555798291548567,0.0861065309721935,0.519037116017103
39,1,52124,0.0608610554115217,0.0859796601030032,0.47950296020624
40,1,52667,0.0510218610911939,0.0858598328234417,0.55272824444931
42,1,59265,0.0111426867942016,0.0858573833181339,0.896813340934559
43,1,60165,0.0536027820187714,0.0857471010602393,0.532291947290313
44,1,62308,-0.0450334615008996,0.0856666700990653,0.599438948630544
45,1,62869,-0.0326186173074481,0.0856718423687707,0.703625896718004
49,1,66841,-0.0259884882931558,0.0857186563632906,0.761928566791338
50,1,66948,-0.0225599526513084,0.0862475921218057,0.793804008195834
51,1,68621,-0.0456519953740802,0.0859879573619758,0.595813971026162
52,1,69417,-0.0146108147292679,0.0857910259544933,0.864866250028918
56,1,74327,-0.0605650667501805,0.0862059933488207,0.482791693126067
57,1,74572,-0.0404823713735872,0.0860095898447823,0.638165132554976
58,1,75211,-0.0477905128989286,0.0858420595896007,0.578067371359843
59,1,76030,-0.00114700643465843,0.0858797154927129,0.989351344012973
60,1,80108,-0.01076028490928,0.0858575214970977,0.900335842896674
61,1,81262,-0.0367534184670625,0.085804676808388,0.668666165471844
62,1,81999,0.0104301552250568,0.0860347831979895,0.903576382099191
63,1,82431,0.0267978642467523,0.0864320808986012,0.756709432837723
64,1,83284,0.0541924448332451,0.0857663221053161,0.52788630922724
65,1,83613,0.103205371688055,0.0856293462428624,0.228911420831052
66,1,84112,0.103643365737245,0.0856373234538448,0.226989182860349
68,1,84858,0.095734511686819,0.0859060230326346,0.265861599266588
69,1,85751,0.0559386775758364,0.0863594150011412,0.51757245610557
70,1,87445,0.0601342030748049,0.0865342186890598,0.487563719561501
71,1,87467,0.0553745074662776,0.0869967991494847,0.524855269831764
72,1,89070,0.0929012001186478,0.0863604725533156,0.282779343944205
73,1,89616,-0.0105845032072672,0.0860347297973808,0.902156573362817
74,1,89679,0.0399426644675196,0.0860212030060698,0.642693913001129
75,1,89880,0.0362997629918502,0.0860475841788437,0.673386296460737
76,1,91472,0.0441551514961491,0.08667629011735,0.610771995907144
77,1,93789,-0.00129440705651263,0.0858147823361947,0.987973901968031
78,1,94351,-0.030717907304933,0.0860251242550091,0.721244799218087
79,1,99148,-0.012688446929104,0.0858121525926021,0.882535268094964
82,1,106800,0.0999180710222206,0.0857658420214804,0.244801570508186
83,1,107970,0.0383247860370899,0.0856516965390385,0.654825175215313
84,1,109000,0.0985790714073171,0.085666445922561,0.250621636441336
85,1,112549,0.083141589269881,0.0856155309912143,0.332161390047342
