SNP,Chr,Pos,Effect,SE,SRO9_DHH1_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.153147821334498,0.156312264161264,0.327877743980971
9,1,27272,-0.0889493779726485,0.154101300178362,0.564163058409134
16,1,27843,-0.0306082481696504,0.150517378524114,0.83897584744407
17,1,27848,-0.0306082481696504,0.150517378524114,0.83897584744407
18,1,28495,-0.0273408098718066,0.150521597737122,0.855969160990483
19,1,28975,-0.0270753740269155,0.14951548949454,0.856402886772963
26,1,31435,-0.0848528229325343,0.149057875447385,0.569541121230536
29,1,36146,-0.231745318515707,0.147843678048964,0.117893254507893
31,1,37409,-0.149002470556813,0.148948488653341,0.317820381486049
32,1,37478,-0.141534095658983,0.149097508503509,0.343131702649065
33,1,39144,-0.120580430378958,0.148467804988023,0.417244012958696
34,1,41499,-0.147483988017745,0.147986206151151,0.319638294407181
37,1,51248,-0.201755313200946,0.148437121157075,0.174951816833339
38,1,51462,-0.188818436853354,0.148687597694827,0.204956579807081
39,1,52124,-0.177205418832402,0.148525870838512,0.233633593895694
40,1,52667,-0.204951757077763,0.148185559000058,0.167516003845427
42,1,59265,0.0447397532286236,0.148492472681197,0.763368423350983
43,1,60165,0.0394589561255967,0.14838447727886,0.79045318145357
44,1,62308,0.0444816521242992,0.148217224977242,0.764268973189294
45,1,62869,0.057637938546278,0.148185763250457,0.69754222484546
49,1,66841,0.104875774308811,0.148182269659572,0.479568489334788
50,1,66948,0.0768348970537423,0.149141367712932,0.606748541420399
51,1,68621,-0.0477431458751564,0.148771545482674,0.748464072751357
52,1,69417,-0.0358108525985377,0.148387098422932,0.809436378429664
56,1,74327,-0.00457386346025346,0.149215029122906,0.975563729883186
57,1,74572,0.0126870182290044,0.148816437207058,0.932108744547036
58,1,75211,0.0341578154664638,0.148535561567,0.818253028886815
59,1,76030,0.127037175668907,0.148392723329513,0.392530039049042
60,1,80108,0.0370936161042284,0.148498441037004,0.802894058831311
61,1,81262,-0.00996657728045072,0.148454472374034,0.946511776329504
62,1,81999,-0.064018988343341,0.148778955755898,0.667242922540782
63,1,82431,-0.0988169521439126,0.149429903319413,0.50885580119812
64,1,83284,0.000851229466262787,0.148434375428322,0.995427620593129
65,1,83613,0.0422396464902401,0.148400997397918,0.776093130755906
66,1,84112,-0.00481576455296728,0.148434161036717,0.974136489537964
68,1,84858,0.0605942873825549,0.148818367514959,0.684130352027404
69,1,85751,0.00224321297177289,0.149465088065117,0.988034058280234
70,1,87445,0.0501003084333358,0.14975735611205,0.738168363713931
71,1,87467,-0.0111284718566244,0.150564040455983,0.941122364208386
72,1,89070,0.0469958670365447,0.149601955323972,0.753600742334061
73,1,89616,0.0593430170635096,0.148784447357782,0.690243211373995
74,1,89679,0.0481854318613768,0.148814716606092,0.746285143876294
75,1,89880,0.0606969394283395,0.148839470440539,0.683666726127516
76,1,91472,0.0784287528105372,0.149921486503794,0.601210488755854
77,1,93789,0.107644285200537,0.148323769743882,0.468479902784029
78,1,94351,0.0394493422331441,0.148810223086028,0.791088444552159
79,1,99148,0.102150316540134,0.148334776235765,0.49149769448673
82,1,106800,0.103994228312884,0.148531506506481,0.484295249740873
83,1,107970,0.164015332756475,0.14793691015019,0.268321166975081
84,1,109000,0.0634916466360512,0.148416953087049,0.669063119952885
85,1,112549,-0.149554526258136,0.148073569986228,0.313186373085187
86,1,112742,-0.106994546202291,0.148756131163175,0.472455741764281
87,1,113050,-0.0732938721409906,0.148563453164628,0.622071645600061
88,1,113135,-0.115834463019814,0.148107868343894,0.434682868604318
89,1,114076,-0.0363954949855547,0.148223474623918,0.806177363096372
90,1,114628,0.0167079051866446,0.148608482981262,0.91054715699561
91,1,116283,0.0869466606573542,0.149366032358289,0.560867778133922
93,1,127853,0.0262508646721234,0.149152923411714,0.860395126028874
94,1,128302,0.024706601739658,0.148580704120416,0.86802861549378
95,1,128704,-0.0199379946858482,0.148730644286988,0.893435966089402
96,1,128911,0.0370686159191127,0.148737806603537,0.803334622602325
97,1,130267,0.0512788808447176,0.148655328365166,0.730336259387975
98,1,130271,0.0461239097102079,0.148836600674803,0.756822690735525
99,1,130613,0.0793672682712054,0.150188508785859,0.597518417302138
100,1,132012,-0.182592898243058,0.14961368105999,0.223116861159138
101,1,133231,-0.273074938960136,0.148153874203263,0.0661402394797027
102,1,137074,-0.247540317866632,0.14806836263569,0.0954503940229966
103,1,137304,-0.328210924738855,0.147675416896292,0.0268815956828023
104,1,139686,-0.250442052558549,0.148302627670304,0.092155624189842
105,1,149562,-0.216159991264112,0.148796035391636,0.147187926046026
106,1,150447,-0.178000130854953,0.150597866201582,0.23801853941586
108,1,154084,-0.200335295988623,0.150985721445231,0.185416188319828
110,1,157269,-0.253979128265673,0.147998590822204,0.0870226390161091
111,1,160054,-0.180247254655267,0.14971957190261,0.229435250296992
112,1,166222,-0.180758067767007,0.148605886096143,0.224660994348687
113,1,166416,-0.180806246881279,0.1483027610808,0.223593788214305
114,1,167326,-0.19770613846169,0.149088274881994,0.185663576571265
115,1,168836,-0.157602188360901,0.148514187259079,0.289327779212863
116,1,171200,-0.176027184324883,0.148678755922353,0.237232208915424
117,1,171431,-0.251253917742361,0.149306018384868,0.0932957434381504
118,1,173339,-0.211619413157106,0.148310877787225,0.15450306260077
119,1,173845,-0.215329147364808,0.148172087327374,0.147046371314893
120,1,175121,-0.224012792963458,0.147839996371717,0.13060701803725
121,1,175281,-0.224454282176688,0.147964578878691,0.130175302778824
122,1,175315,-0.233897430581234,0.147876244527866,0.114611174996965
123,1,175523,-0.211423246946779,0.148815314034324,0.15628408242723
124,1,175541,-0.229821323083862,0.148126882687677,0.121673977682537
125,1,175653,-0.255208473022077,0.148481377953356,0.0865291412590001
128,1,175856,-0.233969653046234,0.151050427793034,0.122289628921433
129,1,175876,-0.213086179078573,0.148808594806889,0.153043519979897
