SNP,Chr,Pos,Effect,SE,SRO9_GIS2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0541974486590808,0.09584127762632,0.572098601575257
9,1,27272,0.00783904589397544,0.0944437869315032,0.933896804633765
16,1,27843,0.0369424630438157,0.0921891469431572,0.688865292116242
17,1,27848,0.0369424630438157,0.0921891469431572,0.688865292116242
18,1,28495,0.0930730390233429,0.0920784468978866,0.312803748491932
19,1,28975,0.022246797476942,0.0915875705254802,0.808222449955635
26,1,31435,0.0487255159139227,0.0913157257834345,0.593958333401327
29,1,36146,0.0158832650827073,0.0908775608936905,0.861355427366513
31,1,37409,0.0996446442160154,0.0912188296484916,0.275415786273156
32,1,37478,0.0623480351700121,0.0913911967506559,0.495553243510796
33,1,39144,-0.092634824555773,0.0909004918905318,0.30886316167479
34,1,41499,-0.0186200555382657,0.0907761898373717,0.83759622398157
37,1,51248,0.0433645519398283,0.0911387873432498,0.634505584892459
38,1,51462,0.0379074886529073,0.0912693346278909,0.678147901978677
39,1,52124,0.0794615218674471,0.0910698558577675,0.383510372159278
40,1,52667,0.0130493565893591,0.0910192492079534,0.886080414133976
42,1,59265,0.0402097806573535,0.0909508043427417,0.658684155097924
43,1,60165,0.0267068183906141,0.0908961191200062,0.76907047607423
44,1,62308,-0.044816961681135,0.0907759195705595,0.621818175626076
45,1,62869,-0.0114451005831133,0.0907938063443994,0.899759391104045
49,1,66841,0.0956553167914734,0.0906958554839652,0.292291957997248
50,1,66948,0.0757702351310376,0.0913071108947575,0.40719044191871
51,1,68621,-0.0697594385927163,0.0910728803649613,0.444203778069187
52,1,69417,-0.0883843924747453,0.0907854353611154,0.330945399176554
56,1,74327,-0.15861398544405,0.091016348309612,0.0822572371487618
57,1,74572,-0.136817367617878,0.0908723729458557,0.13306436627963
58,1,75211,-0.141829290821154,0.0906838451752747,0.118714200025753
59,1,76030,-0.0868565338981191,0.0908799926420045,0.339863823083021
60,1,80108,-0.117897694514268,0.0907593117195799,0.194786665507844
61,1,81262,-0.11742264671731,0.0907265815605762,0.19642601240577
62,1,81999,-0.177889132709903,0.0906706781255056,0.0505565392701848
63,1,82431,-0.182382341496551,0.0910793870759957,0.0460003143113679
64,1,83284,-0.198925596941395,0.0903101777654509,0.0282621854593838
65,1,83613,-0.15534771387852,0.0905419306859305,0.087084432391633
66,1,84112,-0.143554331624159,0.0906071150850774,0.114007136355689
68,1,84858,-0.0216032537717563,0.0911780788704007,0.812844861039953
69,1,85751,-0.0797315009242536,0.0914617270914687,0.383938838095592
70,1,87445,-0.0517160960663466,0.0917123786512775,0.573184070118038
71,1,87467,-0.0591934179815742,0.0921801863571458,0.521193214675354
72,1,89070,-0.0491925687046596,0.0916193427272392,0.591658774451611
73,1,89616,-0.0150616585902338,0.0911601548174638,0.868863865462085
74,1,89679,-0.0419510892395529,0.0911478793283694,0.64561797346361
75,1,89880,-0.0554062605832878,0.0911506341844327,0.543675290955106
76,1,91472,-0.0419272714046804,0.0918481655727825,0.648322294332288
77,1,93789,-0.0140383284259324,0.0909256299751182,0.877387692853622
78,1,94351,0.0101308227161621,0.0911664135683719,0.911580770788855
79,1,99148,-0.00923476801767628,0.0909273714701786,0.919161985939891
82,1,106800,0.0169185727436153,0.0910468992820007,0.852690601691261
83,1,107970,0.0147017712321324,0.0907782270821932,0.871435827546982
84,1,109000,-0.0108549113415104,0.0909397521362997,0.905055066526043
85,1,112549,-0.0397071263406464,0.090814053227339,0.662207943416553
86,1,112742,0.0109819476570045,0.091190675202162,0.904212304905639
87,1,113050,0.023129990217695,0.0910308123859168,0.799574212761999
88,1,113135,-0.0132717252649759,0.0908045074280042,0.883880783048276
89,1,114076,0.00772245134595803,0.0908063246942303,0.932275337267362
90,1,114628,0.0070330546587922,0.0910362116879084,0.938464002371547
