SNP,Chr,Pos,Effect,SE,noPPI_reference_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0867551083299136,0.0775224279344647,0.263859721448894
9,1,27272,-0.0836044992536695,0.0763640112140738,0.274343937613293
16,1,27843,0.0619883563416624,0.0746107722193712,0.406635127278308
17,1,27848,0.0619883563416624,0.0746107722193712,0.406635127278308
18,1,28495,0.0950888193202097,0.0745132134931427,0.202747268418992
19,1,28975,0.0537029928771844,0.0741305831745556,0.469276898777076
26,1,31435,0.0514333434195995,0.07393845506756,0.487122197728779
29,1,36146,0.0245266954733979,0.0735960193857319,0.739135001377819
31,1,37409,0.0118832059881074,0.0740028792309834,0.872517937639263
32,1,37478,0.0127255223060599,0.0740661033110717,0.863682967109647
33,1,39144,-0.0935591646033409,0.0735628536740283,0.204272126944601
34,1,41499,-0.099518392590121,0.0733356507587616,0.175639982273408
37,1,51248,0.0423819195725934,0.0738051890575697,0.566170879502774
38,1,51462,0.0471020695654233,0.0738972674056036,0.524277945051892
39,1,52124,0.0142395785163442,0.0738357636047304,0.847183622998043
40,1,52667,-0.0371749213320143,0.0736947581765328,0.614263721214871
42,1,59265,-0.105044427799727,0.0734717052955086,0.153680020052863
43,1,60165,-0.109593822452174,0.0733970217101591,0.136287383515708
44,1,62308,-0.0775789383377993,0.0734314686386896,0.291471078854646
45,1,62869,-0.0852021926392538,0.0733982734844427,0.246499462882891
49,1,66841,-0.021210110613363,0.073564227751584,0.773270262943384
50,1,66948,-0.0200702185069158,0.0740167066220853,0.786428045477918
51,1,68621,0.00549297685958849,0.0738233019478378,0.940728616114925
52,1,69417,-0.0290944711106439,0.0736121576769896,0.692904486398692
56,1,74327,-0.16291250996623,0.0735237119877822,0.0273438776287791
57,1,74572,-0.145698651291804,0.0734277904645595,0.0480026795412028
58,1,75211,-0.132342691229863,0.0733641750248755,0.0720970953299105
59,1,76030,-0.0842570891018215,0.0735649873489193,0.252843308843226
