SNP,Chr,Pos,Effect,SE,ERG11_HYR1_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.118675238169303,0.13702374232732,0.387027694389127
9,1,27272,0.173537294030524,0.134793195041546,0.198786630682354
16,1,27843,-0.0794048531896517,0.131844826754387,0.547387796591852
17,1,27848,-0.0794048531896517,0.131844826754387,0.547387796591852
18,1,28495,-0.0250910870108414,0.131907922236387,0.84924868007371
19,1,28975,-0.0504215733764255,0.131005423337885,0.700556943404416
26,1,31435,-0.0863753682148138,0.13060485228269,0.50882005103844
29,1,36146,-0.192729296423365,0.129606560994956,0.137898610538292
31,1,37409,-0.118455525787166,0.130562688232247,0.36488329302469
32,1,37478,-0.101471609031311,0.130715667787524,0.438105064568721
33,1,39144,0.0140811829153056,0.130228038234847,0.913956286284921
34,1,41499,0.11699572623971,0.129719589553084,0.367718288859127
37,1,51248,-0.0678512152220502,0.130371739274425,0.603080273929747
38,1,51462,-0.0803547016090592,0.130528552701341,0.538548550663575
39,1,52124,-0.0831702935756634,0.130346601596753,0.523841624085641
40,1,52667,-0.0831211757929216,0.130137551382706,0.523420693467882
42,1,59265,-0.169355613881353,0.129834517014939,0.192948440551939
43,1,60165,-0.159309593836188,0.129771975328817,0.220410761176398
44,1,62308,-0.108715245078668,0.129776734005659,0.402760511408797
45,1,62869,-0.0852854989979679,0.129810008872425,0.511607424972227
49,1,66841,-0.122600416800589,0.129786630537531,0.345493624892829
50,1,66948,-0.115547275957977,0.130603371771731,0.376910450024592
51,1,68621,-0.184834181518176,0.130022249654649,0.156037435465811
52,1,69417,-0.0955298083235321,0.129949258482323,0.462747450007949
56,1,74327,-0.0978819900998646,0.130659868839832,0.454274240077848
57,1,74572,-0.11823021805395,0.130263649111522,0.364696882708361
58,1,75211,-0.160347279319318,0.129897760899945,0.217870747626519
59,1,76030,-0.0121912015686002,0.130176202333327,0.925439099623968
60,1,80108,-0.110022137797754,0.130015232182882,0.398000522229032
61,1,81262,-0.161561508482283,0.129813342182365,0.214116322340502
62,1,81999,-0.129398703570675,0.130233573265726,0.321103366476752
63,1,82431,-0.0923770917410834,0.130940630548007,0.480971645640024
64,1,83284,-0.0268594143428761,0.130071546008604,0.836521577695446
65,1,83613,-0.087735241566408,0.129981214113217,0.500127778522745
66,1,84112,-0.120772200445236,0.129920479091687,0.35322094658528
