SNP,Chr,Pos,Effect,SE,ERV25_EMP47_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0558235509140976,0.0497108290129203,0.262215274705348
9,1,27272,-0.102137070719558,0.0487494990961299,0.036870610906097
16,1,27843,0.0223912107113422,0.047876256130065,0.640295418837124
17,1,27848,0.0223912107113422,0.047876256130065,0.640295418837124
18,1,28495,0.0247969253939934,0.0478736732003761,0.604806600246463
19,1,28975,0.02174188533145,0.0475576558028675,0.647830804438531
26,1,31435,0.0309159600334964,0.047417149848028,0.514825761282431
29,1,36146,0.0318867429150856,0.047170521148673,0.499490396761171
31,1,37409,0.0687329405028321,0.0473150377370137,0.147204846620233
32,1,37478,0.0658284141113736,0.0473676432907285,0.165485554932568
33,1,39144,-0.00298888816994277,0.0472800384756098,0.94962972450876
34,1,41499,0.000699577598705106,0.047149146338133,0.988170168241527
37,1,51248,0.0213704206785214,0.0473361861398167,0.651934883535754
38,1,51462,0.0253699714786199,0.0473948248963103,0.592786456817028
39,1,52124,0.0337214217123296,0.0473158211160758,0.476509612330505
40,1,52667,0.0070749572904607,0.0472724654609311,0.881115667120952
42,1,59265,0.0416826906225854,0.047198003911074,0.377758861187099
43,1,60165,0.0573717877479729,0.0471155621999568,0.22415804177568
44,1,62308,-0.0187668674944851,0.0471519069925731,0.690864394405903
45,1,62869,-0.0223925904826971,0.0471414985278657,0.635075002230892
49,1,66841,-0.00691942911920748,0.0471773491946889,0.883477440634746
50,1,66948,-0.0192113837060967,0.0474573141141069,0.685859451253249
51,1,68621,-0.00581872103318137,0.0473387226206429,0.902242987396798
52,1,69417,-0.0240697573429467,0.0471970274416439,0.610380956077573
56,1,74327,-0.0451769087396783,0.0474130596833362,0.341324737947848
57,1,74572,-0.0284299491894809,0.0473234158218591,0.54838630617408
58,1,75211,-0.0426713891549682,0.0472066884405931,0.366650689304661
59,1,76030,0.0208543922142683,0.047248255144505,0.65920880157499
60,1,80108,-0.0105785536682194,0.0472467618481388,0.822964581039755
61,1,81262,-0.0345726740235146,0.0471963956736192,0.464332555209928
62,1,81999,-0.0271212653374396,0.0473255917148472,0.566956607758136
63,1,82431,-0.00808820805730426,0.0475697847651627,0.865085308743261
64,1,83284,-0.053584428970914,0.0471393634998717,0.256424892918037
65,1,83613,-0.0415909173275801,0.0471684404187302,0.378510350492987
66,1,84112,-0.0279079414992548,0.0472021946192651,0.554736377952105
68,1,84858,-0.0190659584668341,0.0473479721970403,0.687429306134629
69,1,85751,-0.0284059543305067,0.047529462333967,0.550457093793427
70,1,87445,-0.0403299530250601,0.0476056580060543,0.397475909867961
71,1,87467,-0.0327063043671189,0.0478718586635131,0.494925324308853
72,1,89070,-0.00716546723821276,0.0476021577640375,0.880433877866611
73,1,89616,-0.0406155603673142,0.047298226434186,0.391082072603791
74,1,89679,-0.0147105481173985,0.0473471239984784,0.756215334336275
75,1,89880,-0.0268548309529615,0.0473440243842715,0.57092017984367
76,1,91472,-0.00847374099956091,0.0477150486968691,0.859146418931176
77,1,93789,-0.0192726376372477,0.0472144187438585,0.68337880959018
78,1,94351,-0.0380731684346486,0.0473064673354801,0.421465556974786
79,1,99148,-0.0236754253323547,0.0472087456748172,0.616328324518768
82,1,106800,-0.0136817572257236,0.0472836551142036,0.77247967272673
83,1,107970,-0.0375899440279327,0.047106693186374,0.425421713770797
84,1,109000,-0.0368313647721581,0.0471915551932652,0.435640153604874
85,1,112549,-0.00685444573858845,0.0471773760679307,0.884564083719676
86,1,112742,-0.0275052166324727,0.0473399647613971,0.561601296186526
87,1,113050,-0.029909152009225,0.0472561123926165,0.527198251985184
88,1,113135,-0.0418305384392369,0.0471099047984246,0.375180262309882
