SNP,Chr,Pos,Effect,SE,HUG1_PGM2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.00832159402557409,0.186960472372493,0.964523119117247
9,1,27272,0.0626073344180591,0.18412311602965,0.734036373212466
16,1,27843,0.00296985699011006,0.179796065572108,0.986830537914148
17,1,27848,0.00296985699011006,0.179796065572108,0.986830537914148
18,1,28495,-0.0141894173610892,0.179797460155552,0.937141849230734
19,1,28975,0.00148909560945235,0.178597174993858,0.993352238348427
26,1,31435,-0.0552042528586786,0.178099768541613,0.75677236457624
29,1,36146,-0.199280760203552,0.176887805995089,0.260679400523603
31,1,37409,-0.13989478768843,0.178007989546316,0.43245883977588
32,1,37478,-0.142623527614643,0.178155150844955,0.423926042267575
33,1,39144,-0.111325346943871,0.177404175034734,0.530721622923543
34,1,41499,-0.205488984131346,0.17667253304783,0.245571904036379
37,1,51248,-0.251544018954064,0.177259294679651,0.156759866873542
38,1,51462,-0.278092181873503,0.177388790977109,0.11784740137002
39,1,52124,-0.215428261241341,0.177394007558978,0.225404674786321
40,1,52667,-0.262542466074331,0.176928331342768,0.13872999828847
42,1,59265,-0.102696486182476,0.177305525944394,0.562819368974559
43,1,60165,-0.0960468710703969,0.177181979721988,0.588105164565747
44,1,62308,-0.167837591463411,0.17683527798009,0.343209789006725
45,1,62869,-0.163874924663824,0.176823541129834,0.354678651635215
49,1,66841,-0.0632366129242259,0.177089985211868,0.721239706234955
50,1,66948,-0.0988768423808193,0.178131262262304,0.579192494136852
51,1,68621,-0.247123976117221,0.177238831014873,0.164104168114528
52,1,69417,-0.223899884475107,0.176854664835095,0.206344137116104
56,1,74327,-0.113345665512226,0.178128120865866,0.52498323783647
57,1,74572,-0.0567819088323962,0.177730050435445,0.749548503568849
58,1,75211,-0.00883902550820234,0.177431087324238,0.960296659248348
59,1,76030,-0.0386268972134534,0.177419799745261,0.827777207027828
60,1,80108,-0.0441652952899687,0.177374182989434,0.803509411872233
61,1,81262,-0.0086760311856266,0.177322095585408,0.961004275454102
62,1,81999,-0.084797462513414,0.177698436959417,0.633515942242627
63,1,82431,-0.144572075862624,0.178431351853601,0.418348583081956
64,1,83284,0.00746460404153494,0.177297123119584,0.966441006892899
65,1,83613,0.0183544039302864,0.177275339508408,0.917596265602799
66,1,84112,-0.00559148632234488,0.177297318495124,0.974858835096838
68,1,84858,0.098554041145526,0.177720561667167,0.579557113448522
69,1,85751,-0.00633525169977661,0.178528434083325,0.971712304520789
70,1,87445,-0.061382465819605,0.178876316986168,0.731685439435229
71,1,87467,-0.131365011675699,0.179706767065252,0.465266232953012
72,1,89070,-0.0406250732917277,0.178704071556971,0.820297546267118
73,1,89616,0.0123140982561981,0.177754535611068,0.944809266392368
74,1,89679,-0.00623181429167266,0.177777944133778,0.972056556429709
75,1,89880,0.00225929928646987,0.177823257822159,0.989870080986861
76,1,91472,0.0649815802417934,0.17910985215004,0.716969231231542
