SNP,Chr,Pos,Effect,SE,ERG11_TPO4_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0993828102958809,0.140794409289899,0.480733406658302
9,1,27272,-0.0225607890656891,0.138772639668382,0.8709470754987
16,1,27843,0.116933807641954,0.135351285975539,0.388213914010849
17,1,27848,0.116933807641954,0.135351285975539,0.388213914010849
18,1,28495,0.128008934704707,0.135325090932489,0.34482804639248
19,1,28975,0.130877481934438,0.134410393829341,0.330864585638511
26,1,31435,0.0651486792169656,0.134189390572612,0.627624326674645
29,1,36146,0.00628125951712255,0.133541597703765,0.962511152448514
31,1,37409,0.11258082962792,0.134130282222678,0.401846938037036
32,1,37478,0.0884066935647203,0.134297070467012,0.510779580125295
33,1,39144,-0.0539968088311642,0.133735393030562,0.68663475467975
34,1,41499,-0.00229824100517137,0.133395176019724,0.986263806923409
37,1,51248,-0.183375987475989,0.133607005465077,0.170778372436228
38,1,51462,-0.163733956167322,0.133861306169396,0.222084731712369
39,1,52124,-0.1721753392548,0.133649218145343,0.198498203496214
40,1,52667,-0.273423811683213,0.132954238437156,0.040466476766635
42,1,59265,-0.065119480040142,0.133635918593183,0.626355118875534
43,1,60165,-0.0819197082843863,0.133508660860407,0.539880830462475
44,1,62308,-0.0989110801440082,0.133329036155066,0.458667267085279
45,1,62869,-0.123243519582406,0.133254818382119,0.355664811542138
49,1,66841,-0.0408014248262569,0.133461382461856,0.760000269201333
50,1,66948,-0.0809386789735613,0.134229114884026,0.546903211087195
51,1,68621,-0.198970179509348,0.133515075714776,0.137052777503447
52,1,69417,-0.0686260501377347,0.133529891562057,0.607617081513686
56,1,74327,-0.0836057208225975,0.134240517577352,0.533814532942764
57,1,74572,-0.0886018536728608,0.133873630567808,0.508510687080244
58,1,75211,-0.0754468299640275,0.133652160640432,0.572771469530495
59,1,76030,-0.00683242467355494,0.133711978076145,0.959276271507249
60,1,80108,-0.126515731573783,0.133511153803283,0.343979218010525
61,1,81262,-0.0661919066233856,0.133583870641693,0.620549739260599
62,1,81999,-0.0756266500838634,0.13389617433078,0.572557929737238
63,1,82431,-0.0643602824821182,0.134547179088262,0.632699137854043
64,1,83284,-0.0488664318643046,0.133586065540321,0.714729806523188
65,1,83613,0.0150386083086266,0.133594261691265,0.910436036605678
66,1,84112,-0.0156124846813785,0.133608798611171,0.907043614386258
68,1,84858,0.138743673551883,0.133784825046782,0.300415036326588
69,1,85751,0.0862971307696316,0.134460775624698,0.521418591668288
70,1,87445,0.0920921073430367,0.134734480409558,0.494734230427311
71,1,87467,0.0130955894980333,0.135527624586282,0.923077673004586
72,1,89070,0.0684657230613465,0.134631873034826,0.611392204618184
73,1,89616,0.10095884265302,0.133848844854822,0.451186950561852
74,1,89679,0.0619207991511178,0.133933084010671,0.644132106147161
75,1,89880,0.0766155377045481,0.13394551439943,0.567692591892645
76,1,91472,0.0977807233396484,0.134901930690656,0.469037602853015
77,1,93789,0.0672428461997049,0.133563440016845,0.614960187965751
78,1,94351,0.0274522913485432,0.133955055551775,0.837739789926651
79,1,99148,0.0469694664981959,0.133587993147019,0.725348446616989
82,1,106800,0.0273092917253718,0.133783713072545,0.838369415149621
83,1,107970,0.0891993191299957,0.133310720633028,0.503863709379963
84,1,109000,0.0381218915956782,0.133614914464553,0.77557271810114
85,1,112549,-0.0896858704969295,0.13339366685201,0.501807233487255
86,1,112742,-0.0534313477156311,0.133968902801492,0.690256705332725
87,1,113050,0.030062757360991,0.133764089365702,0.822307999651953
88,1,113135,0.00716154890606882,0.133432385911603,0.957227056361424
89,1,114076,0.098280216665055,0.13333035772922,0.461540187630422
90,1,114628,0.140224974078011,0.133562127510591,0.294488875749044
91,1,116283,0.142489605010991,0.134300547264447,0.289426342102102
93,1,127853,0.0791957809609828,0.134197875997884,0.55547313866641
94,1,128302,0.122809735188209,0.133588509981389,0.358559314898172
95,1,128704,0.130490790872869,0.133701195407544,0.329738657914278
96,1,128911,0.173409263484595,0.133577800000501,0.195069841182419
97,1,130267,0.119168998126459,0.133682430830287,0.373303853767837
98,1,130271,0.118660179639416,0.13384273196308,0.375917138909762
99,1,130613,0.164953166817123,0.13495853144209,0.222428304054031
100,1,132012,-0.0594175281253067,0.134919675447051,0.659922858539759
101,1,133231,-0.158041159926518,0.13373480504811,0.238100233806709
102,1,137074,-0.102850843887707,0.133696486065451,0.442237932791585
103,1,137304,-0.13797361293447,0.133653424243151,0.302627189498033
104,1,139686,-0.072543113413131,0.1339753001373,0.588527768703161
105,1,149562,-0.0714738475200795,0.134282821055186,0.594878338823299
106,1,150447,-0.0543819843374351,0.135795948821679,0.689053818634497
108,1,154084,-0.0611226648024752,0.136207581669064,0.653889936383071
110,1,157269,-0.129579180480848,0.133595755744989,0.332743065470754
111,1,160054,-0.0646274945706103,0.135000802365802,0.632434686822078
112,1,166222,-0.0521381967629738,0.134017064996707,0.697480033481553
113,1,166416,-0.0355762979196165,0.133760257106462,0.790417113787225
114,1,167326,-0.0988258752849873,0.134430967678708,0.462741021891955
115,1,168836,-0.0905402248865773,0.133809538175074,0.499080650088667
116,1,171200,-0.150890045120441,0.133856096894076,0.260400047285769
117,1,171431,-0.210851817629455,0.134466477467257,0.117762522899338
118,1,173339,-0.166365573927814,0.133591507015573,0.213836305032996
119,1,173845,-0.143425678385209,0.133555671093009,0.283600217473626
120,1,175121,-0.184010446819124,0.133148709059028,0.167848055411425
121,1,175281,-0.169643020735534,0.13331649005524,0.204038934217287
122,1,175315,-0.172345651692169,0.13326450711301,0.196766839293253
123,1,175523,-0.166387492431417,0.134044472263553,0.215324418634313
124,1,175541,-0.171475250843427,0.133476777434159,0.199745709601766
125,1,175653,-0.190685433106322,0.133827498627482,0.155081213496191
128,1,175856,-0.176650803410243,0.13610309399,0.195162568659894
129,1,175876,-0.171019054802033,0.134027958191876,0.202796089614253
130,1,175989,-0.162107099825062,0.134443404742626,0.228715841629602
131,1,176001,-0.171518488163669,0.135113911854587,0.205121810707886
133,1,177692,-0.218353143842796,0.133073318035118,0.101719551099873
134,1,178191,-0.227347163163207,0.133163823864194,0.0886504039458275
135,1,178224,-0.218353143842796,0.133073318035118,0.101719551099873
136,1,178960,-0.223093593792645,0.134122129826786,0.0971275867106773
140,1,183802,-0.207628167221196,0.133138816021728,0.119777358736335
141,1,183954,-0.190100394117752,0.134188364556591,0.157461820569203
142,1,184450,-0.142521792524049,0.133175180138268,0.28526821024136
