SNP,Chr,Pos,Effect,SE,ALO1_HYR1_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0171869428684017,0.140605227144173,0.90278211120831
9,1,27272,0.0755376632240723,0.13843821864944,0.585656887384239
16,1,27843,-0.0611121573913385,0.135180581300909,0.651490505126277
17,1,27848,-0.0611121573913385,0.135180581300909,0.651490505126277
18,1,28495,0.0123294929397366,0.135220305110595,0.927400664640204
19,1,28975,-0.015313084333037,0.134315543680213,0.909296042942066
26,1,31435,0.012819512037601,0.133960406628489,0.923816100665457
29,1,36146,-0.0738373955027975,0.133213422077099,0.57973892535683
31,1,37409,0.0157745635564782,0.133989328105444,0.906348554161263
32,1,37478,0.00699730740094745,0.134106626307467,0.958417018583104
33,1,39144,-0.0325612012403648,0.133483928499266,0.807424035969191
34,1,41499,-0.0444906959373362,0.13310382998859,0.738385214003703
37,1,51248,-0.159524222124543,0.133421645963452,0.232639735886241
38,1,51462,-0.159279230721677,0.133604127016938,0.233994238204646
39,1,52124,-0.173524783779522,0.133372134792998,0.194087448157344
40,1,52667,-0.227588713894477,0.132926484635601,0.0877491626247135
42,1,59265,-0.0684002949973443,0.13336025625855,0.608343028323711
43,1,60165,-0.0354483320041145,0.13329577317121,0.790442670709244
44,1,62308,-0.100470757447794,0.13305509855298,0.450688642781462
45,1,62869,-0.116015437206531,0.133002526820451,0.383648585403992
49,1,66841,-0.114451632908822,0.133069181060318,0.39032251716098
50,1,66948,-0.155550539609251,0.133770101267156,0.245688053133398
51,1,68621,-0.167530096902467,0.133365225378883,0.209883149340553
52,1,69417,-0.127645411634888,0.133135893251991,0.338335701467371
56,1,74327,-0.0150549519439479,0.13403965378024,0.910635785016545
57,1,74572,-0.0223299583236894,0.133679902996181,0.867433824421607
58,1,75211,0.00538315921144172,0.133441182397478,0.967844022575246
59,1,76030,-0.0947941141477948,0.13334607371744,0.477623119432653
60,1,80108,-0.110426630858234,0.133280410226158,0.407931042552359
61,1,81262,-0.175058295592013,0.133033615969116,0.189063132856575
62,1,81999,-0.209863775900733,0.133217723501342,0.116072758683639
63,1,82431,-0.220792614193567,0.133802949633735,0.0998052588702681
64,1,83284,-0.210689242226838,0.132868229229222,0.113702588828585
65,1,83613,-0.165163445996946,0.133035789155384,0.215246750819968
66,1,84112,-0.182856086491663,0.132984947984448,0.169999359728214
68,1,84858,-0.04043042024215,0.133699616862802,0.762527214762894
69,1,85751,-0.151421883534411,0.134024443651366,0.25932427071452
70,1,87445,-0.144140145664819,0.134331480789101,0.283995853344175
71,1,87467,-0.193525785387931,0.134861970148272,0.152174893191158
72,1,89070,-0.144749029035048,0.134187252390547,0.281453898404677
73,1,89616,-0.128458216944977,0.133510233723401,0.336627810039081
74,1,89679,-0.117952414016543,0.133554642824866,0.377741604199894
