SNP,Chr,Pos,Effect,SE,ADE17_PGM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0254721675212317,0.0700517075491953,0.716359827354432
9,1,27272,-0.0203952850655821,0.0690040729025837,0.767735020040543
16,1,27843,0.0346917294021952,0.0673544432633698,0.606831908506326
17,1,27848,0.0346917294021952,0.0673544432633698,0.606831908506326
18,1,28495,0.0387238675621179,0.0673493092960551,0.565677504926312
19,1,28975,0.0363462434471594,0.0669024736704585,0.587285399349371
26,1,31435,0.0484813862687976,0.066703213396439,0.467816495116217
29,1,36146,0.0252014529963303,0.0663953512140014,0.704495448757865
31,1,37409,0.0430425362929773,0.0667286481115894,0.51932133470328
32,1,37478,0.0184473727927887,0.0668181453392672,0.78264566116895
33,1,39144,-0.0656773449208314,0.0664285058410825,0.323490963761815
34,1,41499,0.0133028019379974,0.0663321261327164,0.84116720039629
37,1,51248,0.0117939490798374,0.0666153037196476,0.85957407866998
38,1,51462,0.011451692155716,0.0667058115636902,0.863791742976574
39,1,52124,0.0197694494790848,0.066609950926807,0.766798161172007
40,1,52667,0.0403903889541503,0.0664767454529033,0.543852254085072
42,1,59265,0.0663268777921967,0.0663841428723711,0.318412544180176
43,1,60165,0.0743248534933627,0.066309811574804,0.263104031700794
44,1,62308,0.000937025878988004,0.0663546330151568,0.98874103816766
45,1,62869,0.0170734854836949,0.0663400942178039,0.797048519493465
49,1,66841,0.0503483677195199,0.0663234707309545,0.448279314696616
50,1,66948,0.0346691509674891,0.0667594565376187,0.603866917135353
51,1,68621,0.0187902267662293,0.0665965223502729,0.777993637404884
52,1,69417,0.037810768547293,0.0663972163961807,0.569404051712134
56,1,74327,-0.0970365575237967,0.0665929424643291,0.145961246532647
57,1,74572,-0.0909596244579785,0.0664389434475956,0.17184758107283
58,1,75211,-0.0668847679020306,0.0663983016329048,0.314467886943464
59,1,76030,-0.0508275438040611,0.0664386103411506,0.444764706481205
60,1,80108,-0.127656169147048,0.0661298141585177,0.0543595810217019
61,1,81262,-0.147243434455092,0.0659890740499405,0.026286694485547
62,1,81999,-0.131471436355058,0.0662465550245487,0.0479653332010353
63,1,82431,-0.148826795000817,0.0664600414908155,0.0257559245235533
64,1,83284,-0.15058119059007,0.0659582469917854,0.0230256459326217
65,1,83613,-0.131202054166316,0.0660680474993244,0.0478217914624149
66,1,84112,-0.140100286824855,0.0660236393584595,0.0345361814587735
68,1,84858,-0.11080099842956,0.0663694248142408,0.0959130768182425
69,1,85751,-0.14094867259047,0.0664828666882694,0.0346969156287903
70,1,87445,-0.125425497348476,0.0667130447061341,0.0609212077447037
71,1,87467,-0.134505993777119,0.0670159101654793,0.0455036085082567
72,1,89070,-0.14852299783418,0.0665072390515343,0.0261629738898691
73,1,89616,-0.126786770243652,0.0662724180904597,0.0565420669398324
74,1,89679,-0.129297856127881,0.0662671538418042,0.0518286883373796
75,1,89880,-0.134158845454218,0.0662567532982105,0.0436368892084724
76,1,91472,-0.129223235634739,0.066781831051827,0.053788126771234
77,1,93789,-0.106205551980178,0.0662025000577831,0.109552595882973
78,1,94351,-0.126050372709539,0.0662795765018196,0.0580114134228136
79,1,99148,-0.113593218360965,0.0661677490469481,0.0869027900366703
82,1,106800,-0.0649521618423477,0.0664431435093556,0.328961423309739
83,1,107970,-0.0680185660311447,0.0662370437838646,0.305172503905242
84,1,109000,-0.0718512290535623,0.0663426799257363,0.279533543798509
85,1,112549,-0.0528954838860668,0.0663178543133344,0.425635663960732
86,1,112742,-0.0538664630410422,0.0665744879528887,0.418993613521426
