SNP,Chr,Pos,Effect,SE,ALO1_UIP4_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0575820956126762,0.0630012984552896,0.361349796668883
9,1,27272,0.00183185330517843,0.0621284678824097,0.976494503153843
16,1,27843,-0.0511246302199189,0.0605974972952805,0.399422046636007
17,1,27848,-0.0511246302199189,0.0605974972952805,0.399422046636007
18,1,28495,-0.0447818351744411,0.0606126975634356,0.460507637613891
19,1,28975,-0.0897109244515245,0.060064580151292,0.136180143921653
26,1,31435,-0.0589284879638753,0.0600125225738489,0.326803626905926
29,1,36146,-0.0683242395208754,0.0596738522050582,0.253000962431104
31,1,37409,-0.0258205831881833,0.060092088765022,0.667687996188275
32,1,37478,-0.0366459403083105,0.0601278456887609,0.542606981613893
33,1,39144,-0.0830075451383939,0.0597217553674771,0.165433699705308
34,1,41499,-0.064550233431021,0.0596199322846711,0.279682601636938
37,1,51248,-0.123321260072206,0.0596127686063112,0.0393013511975424
38,1,51462,-0.119055265004171,0.0597191124522907,0.0469663246457546
39,1,52124,-0.108880056352765,0.059692390800481,0.0689945190927135
40,1,52667,-0.103705678680402,0.0596219615742257,0.0828383483868837
42,1,59265,0.0452575487475021,0.0597982149922613,0.449651888730377
43,1,60165,0.0277670456334105,0.0597832230185312,0.642602982123548
44,1,62308,0.0607326555157106,0.0596481956043082,0.309289294118474
45,1,62869,0.0577445746615594,0.0596490891544132,0.333671523192373
49,1,66841,0.048378062102582,0.0597008635686936,0.418290122293341
50,1,66948,0.0403176554643094,0.0600847902056238,0.502651274680354
51,1,68621,0.0501429329738867,0.0599007980881381,0.403102949546273
52,1,69417,0.00165889700145311,0.0598014223883922,0.977885122294427
56,1,74327,-0.0704225778957679,0.0600133356108818,0.241407015540816
57,1,74572,-0.0690632720924584,0.0598574237455817,0.249364283202624
58,1,75211,-0.0525733989435177,0.0597954286444313,0.37987954520104
59,1,76030,-0.00522990228345077,0.0598602182100975,0.930428082481015
60,1,80108,-0.125879070799789,0.0594705027358346,0.0349876443281797
61,1,81262,-0.147484595036886,0.0593068445095947,0.0133510318258319
