SNP,Chr,Pos,Effect,SE,FMP45_HNM1_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0633694020333921,0.128684998600158,0.622715768279511
9,1,27272,-0.0264061264068675,0.126788181523294,0.835138565214504
16,1,27843,0.0687020788960052,0.123741917048987,0.579106389319106
17,1,27848,0.0687020788960052,0.123741917048987,0.579106389319106
18,1,28495,0.0704258761227124,0.123741177189798,0.569624053216433
19,1,28975,0.043265764509107,0.122948855697635,0.725122854544437
26,1,31435,-0.0150988871210055,0.122641979318733,0.902087260965146
29,1,36146,-0.0293599027260862,0.122002197643956,0.809965628001271
31,1,37409,0.0103054987768193,0.12267068149717,0.933096524649635
32,1,37478,-0.000925190144192789,0.122777351591219,0.993991845351784
33,1,39144,0.0395629611317122,0.122198955607698,0.746312541691832
34,1,41499,0.0301890039873691,0.121867501828704,0.804495169584042
37,1,51248,-0.128283405443008,0.12220627195059,0.294561089541122
38,1,51462,-0.121152993305861,0.122393086513973,0.322916680168118
39,1,52124,-0.0983707722828173,0.122284828177023,0.421684504229439
40,1,52667,-0.181323547154152,0.121819018061792,0.137520654773062
42,1,59265,0.0565025651932076,0.122102029740512,0.643829573909959
43,1,60165,0.0168247690688835,0.122043477002532,0.890430602612359
44,1,62308,-0.021450767780493,0.121907191300115,0.860426404156035
45,1,62869,-0.0523100613991569,0.121865425556619,0.668007172359554
49,1,66841,-0.0137580691415886,0.121952476232165,0.910241350155277
50,1,66948,-0.0335564449077491,0.122690125846895,0.784624489209954
51,1,68621,-0.175370211382893,0.122014216932908,0.151520472693324
52,1,69417,-0.135724909859604,0.121832784329524,0.266025901640968
56,1,74327,-0.0281063864495093,0.122708647952479,0.818962885180041
57,1,74572,-0.0262009491682768,0.122383107452153,0.830600803795318
58,1,75211,-0.0561458662819326,0.122131390145442,0.646002423972241
59,1,76030,0.0149066233972339,0.122165368126832,0.902952578359329
60,1,80108,-0.11154892694273,0.121994671750035,0.361143760793435
61,1,81262,-0.171562294988189,0.121750938624198,0.159678486449497
62,1,81999,-0.219760432952127,0.121830856871701,0.0721125776324467
63,1,82431,-0.22116361967636,0.122405715974916,0.0716436123331086
64,1,83284,-0.163817978819646,0.121763805123894,0.179367745472105
65,1,83613,-0.104775152658067,0.121934675255424,0.390773148259814
66,1,84112,-0.136923075989916,0.121857858001476,0.261933819057909
68,1,84858,-0.0212536892301436,0.122414890671414,0.862263528482275
69,1,85751,-0.124962372043931,0.122743227390908,0.309337391483956
70,1,87445,-0.115754170598317,0.123028981009745,0.347415324764131
71,1,87467,-0.179275731536403,0.123459832089783,0.147362669203356
72,1,89070,-0.139252077381103,0.122829606711551,0.257689232986938
73,1,89616,-0.090963570297886,0.122295255733598,0.457490495740118
74,1,89679,-0.109409067846929,0.122267957509774,0.371487559038879
75,1,89880,-0.0937249819556569,0.122335901077438,0.444112027904956
76,1,91472,-0.0525344552545934,0.123314696893121,0.670353340102928
77,1,93789,-0.0291421389963054,0.122065728149401,0.811444674717749
78,1,94351,-0.0672474117832866,0.122344519504737,0.582902841497428
79,1,99148,-0.052303674550894,0.122043836594338,0.668501463130803
82,1,106800,-0.0808990174211378,0.122164390135963,0.508265920024049
83,1,107970,-0.0418075397411694,0.121857779109085,0.731738963512761
84,1,109000,-0.09181796446389,0.121995040361561,0.452169760433661
85,1,112549,-0.186994249280527,0.121547877174249,0.124836662956178
86,1,112742,-0.148520129243409,0.122174344758084,0.224934106151037
87,1,113050,-0.156013520197195,0.121941447439388,0.201591823926639
88,1,113135,-0.170687813749277,0.121573571463673,0.161201632591989
89,1,114076,-0.0722374496740006,0.121851894589512,0.553674563690704
90,1,114628,-0.067189086710688,0.122168626009005,0.582687709829365
91,1,116283,-0.103018915616908,0.122778360635282,0.402001181422086
93,1,127853,-0.0122145624822481,0.122670185082314,0.920740343506541
94,1,128302,-0.00114309172919713,0.122200691152028,0.992541808047843
95,1,128704,-0.0523599190269367,0.122290598056494,0.668795887498748
96,1,128911,-0.00534625003568534,0.122335555314186,0.965167034865353
97,1,130267,-0.0452471119843822,0.122254179450004,0.711524818399099
98,1,130271,-0.0464960637992071,0.122398009422378,0.704265922507416
99,1,130613,0.0157129060693794,0.123564231435811,0.898883104373908
100,1,132012,-0.207189704155199,0.122810669349764,0.0924740687833728
101,1,133231,-0.260001636558565,0.121645199617947,0.0332540150670865
102,1,137074,-0.257619658505423,0.121484330922561,0.0346523760646853
103,1,137304,-0.306739476171806,0.121203565990438,0.0118147309373718
104,1,139686,-0.211845262869645,0.121938708013414,0.083204784796519
105,1,149562,-0.238147478357197,0.122082022032701,0.05188167283922
